vid,start,end,text
LPJ6iqiJ3so,200,4790,[Music]
LPJ6iqiJ3so,8840,11599,[Music]
LPJ6iqiJ3so,11599,14920,let's go
LPJ6iqiJ3so,18320,20830,oh
LPJ6iqiJ3so,20830,28459,[Music]
LPJ6iqiJ3so,31359,34359,now
LPJ6iqiJ3so,35840,40029,[Music]
LPJ6iqiJ3so,51280,53160,what
LPJ6iqiJ3so,53160,57420,[Music]
LPJ6iqiJ3so,60079,62879,i don't have anything
LPJ6iqiJ3so,62879,66199,just then
LPJ6iqiJ3so,70080,73129,[Music]
LPJ6iqiJ3so,81439,83240,yay
LPJ6iqiJ3so,83240,85920,[Music]
LPJ6iqiJ3so,85920,88999,[Applause]
LPJ6iqiJ3so,91690,93130,[Applause]
LPJ6iqiJ3so,93130,93490,[Music]
LPJ6iqiJ3so,93490,94900,[Applause]
LPJ6iqiJ3so,94900,98350,[Music]
LPJ6iqiJ3so,98350,99600,[Applause]
LPJ6iqiJ3so,99600,105360,[Music]
LPJ6iqiJ3so,105360,108680,what happened
LPJ6iqiJ3so,110320,114040,[Music]
LPJ6iqiJ3so,121520,124240,go away
LPJ6iqiJ3so,126240,129630,let's go somewhere else
LPJ6iqiJ3so,129630,135520,[Music]
LPJ6iqiJ3so,135520,139480,we don't play with you
LPJ6iqiJ3so,144280,148720,[Music]
LPJ6iqiJ3so,148720,151720,anybody
LPJ6iqiJ3so,168959,171040,come here come on
LPJ6iqiJ3so,171040,172480,come on
LPJ6iqiJ3so,172480,175140,come on let's go
LPJ6iqiJ3so,175140,180669,[Music]
LPJ6iqiJ3so,182480,185480,dinosaur
LPJ6iqiJ3so,210480,213480,huh
LPJ6iqiJ3so,214470,217509,[Music]
LPJ6iqiJ3so,223680,227799,much much much later
LPJ6iqiJ3so,231560,233730,[Applause]
LPJ6iqiJ3so,233730,237800,[Music]
LPJ6iqiJ3so,240959,243680,what happened
LPJ6iqiJ3so,246000,250519,the motorcycle was broken
LPJ6iqiJ3so,251110,254649,[Music]
LPJ6iqiJ3so,264560,267560,roma
LPJ6iqiJ3so,267690,271430,[Music]
LPJ6iqiJ3so,278280,280960,[Music]
LPJ6iqiJ3so,280960,281560,stop what
LPJ6iqiJ3so,288490,291638,[Music]
LPJ6iqiJ3so,297520,300520,aah
LPJ6iqiJ3so,322080,324070,what happened
LPJ6iqiJ3so,324070,331539,[Music]
LPJ6iqiJ3so,334100,338830,[Music]
LPJ6iqiJ3so,346730,349829,[Music]
LPJ6iqiJ3so,360210,365509,[Music]
LPJ6iqiJ3so,366400,369400,oh
LPJ6iqiJ3so,385780,390930,[Music]
LPJ6iqiJ3so,390930,391550,[Applause]
LPJ6iqiJ3so,391550,397120,[Music]
LPJ6iqiJ3so,397120,400120,phew
LPJ6iqiJ3so,403200,409599,[Music]
LPJ6iqiJ3so,409599,412599,wow
LPJ6iqiJ3so,420400,424789,[Music]
LPJ6iqiJ3so,442360,447979,[Music]
LPJ6iqiJ3so,452520,455649,[Music]
LPJ6iqiJ3so,461759,465000,come on
LPJ6iqiJ3so,470080,477250,[Music]
LPJ6iqiJ3so,477840,480840,wow
LPJ6iqiJ3so,491870,494990,[Music]
LPJ6iqiJ3so,497039,500039,oh
LPJ6iqiJ3so,503040,506739,[Music]
LPJ6iqiJ3so,509759,510790,huh
LPJ6iqiJ3so,510790,513850,[Music]
LPJ6iqiJ3so,522450,529909,[Music]
LPJ6iqiJ3so,534480,535630,ah
LPJ6iqiJ3so,535630,541480,[Music]
LPJ6iqiJ3so,547770,561249,[Music]
LPJ6iqiJ3so,577760,580760,oh
