vid,start,end,text
NM5UVduK3ww,10910,15348,"Here with us today, Pastillas Girl, Angelica and Archie."
NM5UVduK3ww,15348,19085,"But you know him as Flow G, in the house."
NM5UVduK3ww,19519,20185,Hello.
NM5UVduK3ww,20186,21921,I didn't know this was your first interview.
NM5UVduK3ww,21921,23590,"Yes, this is our first."
NM5UVduK3ww,23957,25025,I was actually really nervous.
NM5UVduK3ww,25025,26726,What year did you join Ex-Batallion?
NM5UVduK3ww,26726,28795,2014.
NM5UVduK3ww,28995,31231,You and Angelica didn't know each other yet?
NM5UVduK3ww,31231,32132,"No, not yet."
NM5UVduK3ww,32132,33033,What's your pet name for her?
NM5UVduK3ww,34067,34934,Angelica?
NM5UVduK3ww,34934,35802,Angel.
NM5UVduK3ww,35802,37370,But I call her Love. 
NM5UVduK3ww,37370,38104,"Oh, Love."
NM5UVduK3ww,38471,40273,"But when using her name, I call her Angel. "
NM5UVduK3ww,40273,41708,That's your term of endearment?
NM5UVduK3ww,41808,44944,"That's where Team Ebs started,"
NM5UVduK3ww,45311,48281,"because he's the one who invented it when we did the ""Jowa Challenge"". (Lovers Challenge)"
NM5UVduK3ww,48715,49816,"It's like ""ebeb"". "
NM5UVduK3ww,50016,57424,And he didn't want us to have the typical nicknames that most people in relationships have. 
NM5UVduK3ww,57624,61061,"So he said, instead of ""bebe"" (Filipino slang for baby), ""baby"""
NM5UVduK3ww,61561,62729,"We would use ""ebeb""."
NM5UVduK3ww,62896,64898,"So that's where ""ebs"" started. "
NM5UVduK3ww,64898,69069,"Until we eventually ended up together and started calling each other ""love""."
NM5UVduK3ww,69536,71004,How did you end up together?
NM5UVduK3ww,71271,72839,From simply doing the challenge to ending up together.
NM5UVduK3ww,73773,74874,When did you meet him?
NM5UVduK3ww,75542,76342,"Oh I know, "
NM5UVduK3ww,76576,77377,let me tell you.
NM5UVduK3ww,77377,78378,In a music video?
NM5UVduK3ww,80447,82615,First time he met me...
NM5UVduK3ww,83283,84617,Though they were
NM5UVduK3ww,84918,86785,really famous then.
NM5UVduK3ww,86953,88922,"That was the peak of your fame, right?"
NM5UVduK3ww,89456,95728,"That was really the peak of the ""Hayaan Mo Sila"" days."
NM5UVduK3ww,96429,97564,What year was that in?
NM5UVduK3ww,97564,98898,Around 2018.
NM5UVduK3ww,98898,100800,"So that's the first time you both met, okay."
NM5UVduK3ww,100800,105972,"I really didn't like them, as a group, as a whole."
NM5UVduK3ww,105972,107073,Why didn't you like them?
NM5UVduK3ww,107507,108908,They were arrogant.
NM5UVduK3ww,109109,110677,"Oh, arrogant, okay."
NM5UVduK3ww,110977,111778,Were you arrogant back then?
NM5UVduK3ww,113913,115181,I wasn't arrogant.
NM5UVduK3ww,115748,117717,I always tell her
NM5UVduK3ww,117717,120320,that I only become arrogant when I'm boasting about her.
NM5UVduK3ww,122822,124057,How did he seem arrogant?
NM5UVduK3ww,124057,125725,Or maybe he was just chill?
NM5UVduK3ww,125725,126758,Airy.
NM5UVduK3ww,126759,127694,Smooth.
NM5UVduK3ww,127694,128360,Yes.
NM5UVduK3ww,128360,132765,"When he first approached me to introduce himself,"
NM5UVduK3ww,132999,135702,he gave me a compliment but it was like
NM5UVduK3ww,136336,137770,I didn't like the tone he used. 
NM5UVduK3ww,137770,139606,Why? What pick up line did he use on you?
NM5UVduK3ww,139939,142542,I think it was...
NM5UVduK3ww,143443,144611,You have nice boobs.
NM5UVduK3ww,144611,145111,That!
NM5UVduK3ww,145111,146713,Your boobs look good.
NM5UVduK3ww,146713,147714,"Okay, you were immediately complimented."
NM5UVduK3ww,147714,150450,"Straight to the point, no need to waste time."
NM5UVduK3ww,150817,152986,"He immediately complimented your boobs, okay. "
NM5UVduK3ww,152986,154754,"So I didn't know, Ate Toni--"
NM5UVduK3ww,154754,156956,Would he take you seriously or would he just play with you?
NM5UVduK3ww,156956,158525,Should I be offended by him?
NM5UVduK3ww,158525,160592,What was your reaction when he said 
NM5UVduK3ww,160860,162162,I was just...
NM5UVduK3ww,162729,163563,Like that.
NM5UVduK3ww,164397,166332,I also noticed he had a towel with him.
NM5UVduK3ww,166799,168168,So I asked him for it.
NM5UVduK3ww,168601,170470,And I used it to cover myself.
NM5UVduK3ww,171004,173606,"Apparently his motive was,"
NM5UVduK3ww,173973,175975,that I wouldn't forget him.
NM5UVduK3ww,176442,177310,Wow.
NM5UVduK3ww,177310,179278,"It's annoying because it was effective,"
NM5UVduK3ww,179279,181447,because I was still annoyed by it even when I got home. 
NM5UVduK3ww,181447,183383,Why did someone say something like that to me?
NM5UVduK3ww,183383,184984,Why did he do that?
NM5UVduK3ww,186352,187687,Why was that his pick up line?
NM5UVduK3ww,187687,190957,I couldn't forget him because I was really annoyed by him.
NM5UVduK3ww,190957,193326,Was that your style with the ladies even back then?
NM5UVduK3ww,193693,194928,Or just with your type?
NM5UVduK3ww,194928,195762,No.
NM5UVduK3ww,195762,196862,You were that aggressive?
NM5UVduK3ww,197230,198864,I actually don't know why I even said that. 
NM5UVduK3ww,200200,201668,Did you have a crush on her when you first met?
NM5UVduK3ww,202235,203836,"- Maybe. - Because out of all the girls,"
NM5UVduK3ww,203836,204537,she was the one you complimented.
NM5UVduK3ww,204537,206472,"I can't really say that she was my crush,"
NM5UVduK3ww,206472,209275,but I wouldn't greet her like that
NM5UVduK3ww,209876,211477,if she wasn't my type.
NM5UVduK3ww,211477,214013,Your first impression of her was that she was your type.
NM5UVduK3ww,214013,216249,While with you was that you thought he was arrogant.
NM5UVduK3ww,216849,218785,So when did you start texting each other?
NM5UVduK3ww,219319,220320,It wasn't really texting.
NM5UVduK3ww,220320,224324,It was more on meeting up during events.
NM5UVduK3ww,224324,226292,"Until I realized that,"
NM5UVduK3ww,226793,228261,he was just really persistent. 
NM5UVduK3ww,228261,230730,He was really playful.
NM5UVduK3ww,230730,232097,Who first asked for the other's number?
NM5UVduK3ww,232565,235335,"Exchanging numbers is no longer a thing, Ate Toni. "
NM5UVduK3ww,235335,238104,It's like when you're connected in Facebook--
NM5UVduK3ww,238104,239205,"Facebook, yes."
NM5UVduK3ww,239205,242075,"- You first exchanged messages in Facebook? - Facebook, IG."
NM5UVduK3ww,243042,246813,The story she just told was our first real meeting.
NM5UVduK3ww,246813,250049,We didn't have any courtships and such.
NM5UVduK3ww,250049,251384,It's like we got to know each other.
NM5UVduK3ww,251384,253653,"- Years have passed, - Because you always saw each other."
NM5UVduK3ww,253886,257790,before she asked me to join her to do the jowa challenge.
NM5UVduK3ww,257790,260293,Why did you choose him to join you for the jowa challenge.
NM5UVduK3ww,260293,264130,"That's something you should answer, because that's always been one of my why's."
NM5UVduK3ww,264130,265965,So why him?
NM5UVduK3ww,265965,268935,"Of all the members of Ex Battalion, there were 14, 15."
NM5UVduK3ww,269602,272604,Why choose him out of all the members of Ex Battalion?
NM5UVduK3ww,272972,276642,"Because when we started hanging out,"
NM5UVduK3ww,277777,280113,he was the one I felt most comfortable with.
NM5UVduK3ww,280880,283516,"Because he's, as I said, persistent."
NM5UVduK3ww,283516,287253,So him annoying me became normal to me.
NM5UVduK3ww,287253,289988,It didn't feel normal if he didn't annoy me.
NM5UVduK3ww,289989,292258,And then I realized
NM5UVduK3ww,292625,294227,that we have chemistry together.
NM5UVduK3ww,294227,297597,Because someone told me that we had chemistry.
NM5UVduK3ww,297597,300800,Someone sent us an IG story
NM5UVduK3ww,301000,303336,where he was feeding me shanghai.
NM5UVduK3ww,303803,304937,He got you with shanghai.
NM5UVduK3ww,307006,309642,The story sounds different when told here.
NM5UVduK3ww,309642,311244,I fed her shanghai.
NM5UVduK3ww,311244,313845,You really fed me shanghai.
NM5UVduK3ww,313846,314747,"Ah, he gushed."
NM5UVduK3ww,314747,316749,It actually became viral.
NM5UVduK3ww,316749,319085,But it was a short IG story.
NM5UVduK3ww,319319,323690,"So I said, we must really have chemistry because it became viral."
NM5UVduK3ww,324057,325958,So I nagged him.
