vid,start,end,text
NnfrYz2MU7o,0,1680,hey folks if you missed the kickstarter
NnfrYz2MU7o,1680,4160,and want to pre-order flea mortals the
NnfrYz2MU7o,4160,6879,mcdm monster book pre-orders are open we
NnfrYz2MU7o,6879,8480,also have a channel in our discord for
NnfrYz2MU7o,8480,9599,talking about the monsters we've
NnfrYz2MU7o,9599,11679,released so far and there are more
NnfrYz2MU7o,11679,13599,monsters coming soon a link in the
NnfrYz2MU7o,13599,16000,doobly-doo on with the show this is one
NnfrYz2MU7o,16000,17119,of those videos that has a couple of
NnfrYz2MU7o,17119,18160,lessons in it i think you could
NnfrYz2MU7o,18160,20480,basically use this video to run your own
NnfrYz2MU7o,20480,22400,dusk adventure but i couldn't figure out
NnfrYz2MU7o,22400,23920,how to turn each of these lessons into
NnfrYz2MU7o,23920,25840,their own videos so there's a bunch of
NnfrYz2MU7o,25840,28240,advice in here that usually means fewer
NnfrYz2MU7o,28240,30080,people watch it which you know that that
NnfrYz2MU7o,30080,31679,makes me sad because i put a lot of work
NnfrYz2MU7o,31679,33920,into this stuff but i see it as my role
NnfrYz2MU7o,33920,35680,to teach what i've learned and if some
NnfrYz2MU7o,35680,37920,lessons are complex and they don't boil
NnfrYz2MU7o,37920,39680,down easily into a video with a clear
NnfrYz2MU7o,39680,41760,thesis and a clever title
NnfrYz2MU7o,41760,43440,i know some people will still get use
NnfrYz2MU7o,43440,46079,out of it anyway you get it i think the
NnfrYz2MU7o,46079,47200,first part of this video could have been
NnfrYz2MU7o,47200,49440,called too many villagers hair mozart
NnfrYz2MU7o,49440,52239,how shall one say director
NnfrYz2MU7o,52239,54719,too many notes your majesty exactly very
NnfrYz2MU7o,54719,56960,well put too many notes so if you don't
NnfrYz2MU7o,56960,59120,know what dusk is it's a campaign i ran
NnfrYz2MU7o,59120,60800,last year for my friends you can watch
NnfrYz2MU7o,60800,61840,the whole thing right here on this
NnfrYz2MU7o,61840,64239,channel playlist here the idea was very
NnfrYz2MU7o,64239,66080,simple and straightforward and that was
NnfrYz2MU7o,66080,68400,the power of it step one find the
NnfrYz2MU7o,68400,70240,missing villagers a whole town full of
NnfrYz2MU7o,70240,72320,them they are in the forest somewhere
NnfrYz2MU7o,72320,73600,they live up in the north and there's a
NnfrYz2MU7o,73600,75119,lot of strife up there so they decided
NnfrYz2MU7o,75119,77200,to brave the elf haunted forest to the
NnfrYz2MU7o,77200,79439,south and make for literally greener
NnfrYz2MU7o,79439,81439,pastures there used to be a road through
NnfrYz2MU7o,81439,83119,the forest so the villagers think how
NnfrYz2MU7o,83119,84479,hard can it be
NnfrYz2MU7o,84479,86320,that's the setup find the missing
NnfrYz2MU7o,86320,88080,caravan and originally i thought that
NnfrYz2MU7o,88080,89439,would be the whole thing i didn't think
NnfrYz2MU7o,89439,91759,it was a campaign i just wanted to show
NnfrYz2MU7o,91759,93840,off fourth edition 4e was a lot of fun
NnfrYz2MU7o,93840,95840,it had a ton of cool features it was a
NnfrYz2MU7o,95840,98320,very forward-looking product and the
NnfrYz2MU7o,98320,100159,players loved it a couple of them asked
NnfrYz2MU7o,100159,102880,can we just run the chain of akron in 4e
NnfrYz2MU7o,102880,105280,yep i don't i don't know no not not
NnfrYz2MU7o,105280,107600,right now but maybe later like after the
NnfrYz2MU7o,107600,109759,heist we'll see so for the entire first
NnfrYz2MU7o,109759,111680,part of the campaign there were no
NnfrYz2MU7o,111680,113360,villagers to worry about i figured the
NnfrYz2MU7o,113360,114960,game would end when they found the
NnfrYz2MU7o,114960,117759,missing villagers this was just a a demo
NnfrYz2MU7o,117759,119280,an excuse to throw a bunch of fun
NnfrYz2MU7o,119280,120960,encounters at the players which meant it
NnfrYz2MU7o,120960,122960,was also very easy to prep mostly what i
NnfrYz2MU7o,122960,125280,did was scrub through a few fantasy map
NnfrYz2MU7o,125280,127119,patreons links in the doobly-doo and
NnfrYz2MU7o,127119,129200,when i saw a map that inspired me well
NnfrYz2MU7o,129200,131599,that was the next encounter that process
NnfrYz2MU7o,131599,134400,find a cool enchanted forest map build
NnfrYz2MU7o,134400,136800,and encounter for it was easy and fun
NnfrYz2MU7o,136800,138400,for me i could prep an entire session in
NnfrYz2MU7o,138400,140000,just a couple of hours before we played
NnfrYz2MU7o,140000,142319,which compared to the chain of akron was
NnfrYz2MU7o,142319,145040,like paradise one thing i did which i
NnfrYz2MU7o,145040,146239,don't think would have worked anywhere
NnfrYz2MU7o,146239,147760,near as well if we were playing in
NnfrYz2MU7o,147760,149680,person was one session i just put a
NnfrYz2MU7o,149680,152239,gigantic tactical map in front of them i
NnfrYz2MU7o,152239,154080,dropped them on the edge of this huge
NnfrYz2MU7o,154080,157760,forest map and i said okay go ahead we
NnfrYz2MU7o,157760,159120,were using fantasy grounds which has
NnfrYz2MU7o,159120,160879,dynamic lighting and i dropped a bunch
NnfrYz2MU7o,160879,162879,of encounters around it was really cool
NnfrYz2MU7o,162879,164720,it was a knight and od's character
NnfrYz2MU7o,164720,166080,doesn't have dark vision so when the
NnfrYz2MU7o,166080,168480,player with the light walked away matt
NnfrYz2MU7o,168480,170560,was literally plunged into darkness his
NnfrYz2MU7o,170560,172640,entire map turned totally black with
NnfrYz2MU7o,172640,174879,just his icon there floating in space
NnfrYz2MU7o,174879,176640,and you could hear him yell
NnfrYz2MU7o,176640,178159,this was awesome and letting them
NnfrYz2MU7o,178159,179760,literally just walk around on the map
NnfrYz2MU7o,179760,181680,and explore on their own go in different
NnfrYz2MU7o,181680,183599,directions until eventually one or two
NnfrYz2MU7o,183599,185920,of them ran into a threat was something
NnfrYz2MU7o,185920,187680,i don't even know how i would do at the
NnfrYz2MU7o,187680,189200,table so that's a little something if
NnfrYz2MU7o,189200,191440,you're using a vtt feel free to rip this
NnfrYz2MU7o,191440,193760,idea off find a really big map that is
NnfrYz2MU7o,193760,195280,suited to whatever wilderness your
NnfrYz2MU7o,195280,196959,players are exploring drop a bunch of
NnfrYz2MU7o,196959,199040,encounters in and just sit back and see
NnfrYz2MU7o,199040,200959,where they go might be even cooler to do
NnfrYz2MU7o,200959,203120,this with a big dungeon eventually they
NnfrYz2MU7o,203120,204959,find the caravan and i think okay
NnfrYz2MU7o,204959,207360,mission complete good job adventure over
NnfrYz2MU7o,207360,209280,but the players indicated no surprise
NnfrYz2MU7o,209280,210560,that they wanted to keep playing and i
NnfrYz2MU7o,210560,212400,thought okay seemed like an obvious next
NnfrYz2MU7o,212400,214799,step was escort the villagers safely out
NnfrYz2MU7o,214799,215920,of the forest
NnfrYz2MU7o,215920,217440,i basically imagined this adventure as a
NnfrYz2MU7o,217440,219599,kind of heart of darkness apocalypse now
NnfrYz2MU7o,219599,221760,adventure where instead of a jungle it's
NnfrYz2MU7o,221760,223599,a forest but otherwise it is very
NnfrYz2MU7o,223599,225440,episodic they have no idea what's going
NnfrYz2MU7o,225440,227599,to happen next and because it is a wode
NnfrYz2MU7o,227599,229040,i could play around with time and
NnfrYz2MU7o,229040,230879,alternate realities and that gave me a
NnfrYz2MU7o,230879,233120,very broad palette to paint with lots of
NnfrYz2MU7o,233120,234480,cool encounters straightforward
NnfrYz2MU7o,234480,236480,encounters along with high weirdness and
NnfrYz2MU7o,236480,238799,mysteries and foreshadowing i could run
NnfrYz2MU7o,238799,240480,this adventure 10 times and i would
NnfrYz2MU7o,240480,242319,never get bored because i'd always have
NnfrYz2MU7o,242319,244319,new ideas for what crazy stuff might
NnfrYz2MU7o,244319,246720,happen in this forest however and here
NnfrYz2MU7o,246720,248159,we come to the lesson i knew the
NnfrYz2MU7o,248159,250239,villagers would work as a kind of hit
NnfrYz2MU7o,250239,252400,points for the adventure when they left
NnfrYz2MU7o,252400,253920,the village there were 40 of them but by
NnfrYz2MU7o,253920,255120,the time the heroes find them there's
NnfrYz2MU7o,255120,257359,only 28 and the question was
NnfrYz2MU7o,257359,259199,how many will we lose trying to get out
NnfrYz2MU7o,259199,260959,of here now that wasn't the problem that
NnfrYz2MU7o,260959,263440,was a good idea and it worked well uh
NnfrYz2MU7o,263440,265040,with that many villagers i could create
NnfrYz2MU7o,265040,267120,scenarios where i knew some might die
NnfrYz2MU7o,267120,269120,but it didn't mean total failure using
NnfrYz2MU7o,269120,270960,the villagers as a kind of adventure hit
NnfrYz2MU7o,270960,273120,points worked the problem wasn't the
NnfrYz2MU7o,273120,275600,number of villagers it was my ridiculous
NnfrYz2MU7o,275600,277199,idea to try to make each of them
NnfrYz2MU7o,277199,278960,individuals and develop all their
NnfrYz2MU7o,278960,280800,relationships like i knew there were
NnfrYz2MU7o,280800,282160,three generations of families
NnfrYz2MU7o,282160,284000,represented so i had each family tree
NnfrYz2MU7o,284000,285840,mapped out they were all named they all
NnfrYz2MU7o,285840,288160,got unique art and fantasy grounds and i
NnfrYz2MU7o,288160,290560,imagined that a lot of complex behavior
NnfrYz2MU7o,290560,292160,would arise out of this that the
NnfrYz2MU7o,292160,294000,villagers would feel real like real
NnfrYz2MU7o,294000,295440,people that they would argue about what
NnfrYz2MU7o,295440,298160,to do about who to trust now in the end
NnfrYz2MU7o,298160,299280,i don't think the players could even
NnfrYz2MU7o,299280,301919,have named more than maybe two villagers
NnfrYz2MU7o,301919,303680,and that includes anne paulie who became
NnfrYz2MU7o,303680,305600,sort of the only villager they cared
NnfrYz2MU7o,305600,307039,about but that's not because the players
NnfrYz2MU7o,307039,308960,weren't engaged they were super engaged
NnfrYz2MU7o,308960,311039,it was because of my decision to try to
NnfrYz2MU7o,311039,313840,present all the villagers equally and it
NnfrYz2MU7o,313840,314960,wasn't like
NnfrYz2MU7o,314960,316400,i did that and the players were
NnfrYz2MU7o,316400,320000,overloaded no i was overloaded i bit off
NnfrYz2MU7o,320000,322960,so much i couldn't even swallow it that
NnfrYz2MU7o,322960,324800,analogy turned out different than i
NnfrYz2MU7o,324800,326720,imagined anyway i couldn't do it i
NnfrYz2MU7o,326720,328160,couldn't keep all the villagers and
NnfrYz2MU7o,328160,329759,their personalities and motivations in
NnfrYz2MU7o,329759,331840,my head at once and it was stupid to try
NnfrYz2MU7o,331840,334080,if this were a game i was designing for
NnfrYz2MU7o,334080,336160,other people to play without me i would
NnfrYz2MU7o,336160,338479,never have made that mistake but as a dm
NnfrYz2MU7o,338479,340720,i get these grandiose ideas and i think
NnfrYz2MU7o,340720,343120,i can do anything nope what i should
NnfrYz2MU7o,343120,345039,have done was had like three
NnfrYz2MU7o,345039,346800,maybe five but certainly no more than
NnfrYz2MU7o,346800,348880,five villagers who represented all the
NnfrYz2MU7o,348880,350000,others and they could each have a point
NnfrYz2MU7o,350000,351759,of view and they could disagree and come
NnfrYz2MU7o,351759,353440,into conflict and the players would get
NnfrYz2MU7o,353440,355360,to know them the reason the players
NnfrYz2MU7o,355360,357600,focused on anne paulie was because she
NnfrYz2MU7o,357600,360639,was cute and simple protect the kid but
NnfrYz2MU7o,360639,362160,if i had picked five villagers and
NnfrYz2MU7o,362160,364800,focused exclusively on them i am 90
NnfrYz2MU7o,364800,366400,certain the players would have had a
NnfrYz2MU7o,366400,368479,more memorable and meaningful experience
NnfrYz2MU7o,368479,369840,dealing with them
NnfrYz2MU7o,369840,371280,five is a good number because i can
NnfrYz2MU7o,371280,373680,create conflicts or explore themes using
NnfrYz2MU7o,373680,375440,different combinations of characters
NnfrYz2MU7o,375440,377919,without overloading one character you
NnfrYz2MU7o,377919,379440,know it would be kind of unbelievable if
NnfrYz2MU7o,379440,381440,every time there was an issue it was
NnfrYz2MU7o,381440,384000,always between these three people with
NnfrYz2MU7o,384000,386560,only three every issue turns into the
NnfrYz2MU7o,386560,388720,reasonable one the unreasonable one and
NnfrYz2MU7o,388720,390960,the one in the middle but five gives me
NnfrYz2MU7o,390960,393520,a lot more subtlety and with five named
NnfrYz2MU7o,393520,395280,important villagers i could lose one or
NnfrYz2MU7o,395280,397360,two including through self-sacrifice and
NnfrYz2MU7o,397360,399120,i would still have a few left
NnfrYz2MU7o,399120,401280,there's so much i could have done themes
NnfrYz2MU7o,401280,402800,about relying on the heroes instead of
NnfrYz2MU7o,402800,404800,themselves about being inspired by the
NnfrYz2MU7o,404800,406800,dragon knight but also sort of blaming
NnfrYz2MU7o,406800,408880,all this on them if the dragon phalanx
NnfrYz2MU7o,408880,410400,had stayed true
NnfrYz2MU7o,410400,412319,good king omen would still be alive and
NnfrYz2MU7o,412319,414160,none of this would have happened themes
NnfrYz2MU7o,414160,415919,about generations and parents and
NnfrYz2MU7o,415919,417680,children and about being afraid of the
