vid,start,end,text
OUVrqNG4d9o,299,3868,- These are 10 new summer fast food secrets
OUVrqNG4d9o,3868,6779,to save you money in 2022.
OUVrqNG4d9o,6780,9371,And some of these hacks will save you serious cash
OUVrqNG4d9o,9371,12570,at your favorite fast food restaurants.
OUVrqNG4d9o,12570,15615,Secret number one will save you almost 50%
OUVrqNG4d9o,15616,19440,the next time you go to order a large pizza at Pizza Hut.
OUVrqNG4d9o,19440,22140,Here's how this Pizza Hut hack works.
OUVrqNG4d9o,22140,25289,If you were to order a regular Create Your Own pizza
OUVrqNG4d9o,25290,28470,it starts at 12.49 for this particular pizza.
OUVrqNG4d9o,28470,31470,And then you add the toppings which have additional fees.
OUVrqNG4d9o,31470,34800,"I added pepperoni, sausage, green bell peppers, and onions."
OUVrqNG4d9o,34800,36300,The total cost for the pizza
OUVrqNG4d9o,36300,40410,"with the toppings before tax, $20.49."
OUVrqNG4d9o,40410,42030,"The secret is, instead,"
OUVrqNG4d9o,42030,44370,"order the $10 Tastemaker pizza,"
OUVrqNG4d9o,44370,46410,which is also a large pizza
OUVrqNG4d9o,46410,49860,except this one includes up to three free toppings
OUVrqNG4d9o,49860,52740,and you can even opt to pay for additional toppings.
OUVrqNG4d9o,52740,54540,So I ordered the exact same ingredients
OUVrqNG4d9o,54540,55530,as the one I just showed you
OUVrqNG4d9o,55530,59850,"and the price for the exact same pizza before tax, $12."
OUVrqNG4d9o,59850,62340,That's an $8.50 discrepancy.
OUVrqNG4d9o,62340,64860,And that can certainly add up very quickly
OUVrqNG4d9o,64860,66720,if you're ordering multiple pizzas.
OUVrqNG4d9o,66720,69030,Here are the two pizzas side-by-side.
OUVrqNG4d9o,69030,71190,On the left is the Tastemaker.
OUVrqNG4d9o,71190,74070,And on the right is a virtually identical pizza
OUVrqNG4d9o,74070,76740,that would cost $8.50 more
OUVrqNG4d9o,76740,78900,if you did not know this trick.
OUVrqNG4d9o,78900,81780,"For secret number two, before I discuss Chick-fil-A,"
OUVrqNG4d9o,81780,82979,let's head over to Wendy's
OUVrqNG4d9o,82980,86610,where one of the most popular burgers is the Dave's Single.
OUVrqNG4d9o,86610,90420,Now this has a steeper price tag of $5.19
OUVrqNG4d9o,90420,92549,but there is a way around this.
OUVrqNG4d9o,92550,95340,"The hack is instead of ordering the Dave's Single,"
OUVrqNG4d9o,95340,97590,order a Double Stack at Wendy's
OUVrqNG4d9o,97590,100350,and add tomatoes and lettuce to it
OUVrqNG4d9o,100350,103979,and you essentially get a Dave's Single for more than $2
OUVrqNG4d9o,103980,106890,less with an additional patty.
OUVrqNG4d9o,106890,108780,Here they are side-by-side.
OUVrqNG4d9o,108780,112080,On the left is the Double Stack for $3.09.
OUVrqNG4d9o,112080,116400,And on the right is the Dave's Single for $5.19.
OUVrqNG4d9o,116400,120300,Perhaps the bun with the Dave's Single is around 10% larger
OUVrqNG4d9o,120300,121830,"but ordering the double stack,"
OUVrqNG4d9o,121830,124380,"you get an extra burger, more protein."
OUVrqNG4d9o,124380,127049,So I'd say the overall difference is negligible.
OUVrqNG4d9o,127050,129330,Secret number three is tied to Chick-fil-A.
OUVrqNG4d9o,129330,131850,If you frequently find yourself at this restaurant
OUVrqNG4d9o,131850,135030,"but also craving a McFlurry from McDonald's,"
OUVrqNG4d9o,135030,137520,you can now have your cake and eat it too.
