vid,start,end,text
Oy8zSYKkczI,3603,6472,"Hello. All right, you come over all the way to this side..."
Oy8zSYKkczI,6505,9475,- Okay. - ...behind the table.
Oy8zSYKkczI,9508,11511,"- What's your name?   Raja, Marques.  - Raja."
Oy8zSYKkczI,11544,13245,- Good to meet you. - Marques. Nice to meet you.
Oy8zSYKkczI,13279,16049,- I wanna give you this.   It's a blindfold. - Cool.
Oy8zSYKkczI,16082,19185,So go ahead and put that on and let me know when you're totally blind.
Oy8zSYKkczI,19218,22789,- I'm totally blind. - I'm gonna put an object   over here on this table.
Oy8zSYKkczI,22822,24590,"All right, go ahead and reach down,"
Oy8zSYKkczI,24623,28428,- pick it up and see   if you can ID it. - Okay.
Oy8zSYKkczI,28461,30229,Oh.
Oy8zSYKkczI,30262,31497,Man: It's a brick.
Oy8zSYKkczI,31530,34467,Definitely a screen.
Oy8zSYKkczI,34500,36469,Maybe a GPS.
Oy8zSYKkczI,36502,37836,Is this a cassette tape player?
Oy8zSYKkczI,37870,39538,"Uh, it's a controller."
Oy8zSYKkczI,39572,40807,"Man 2: Oh, there's some buttons."
Oy8zSYKkczI,40840,42542,"Oh, it's definitely a gaming thing."
Oy8zSYKkczI,42575,44310,"Oh, snap. Is this a Game Boy?"
Oy8zSYKkczI,44343,46845,"Is this a Game Boy? Oh, my God, it's a Game Boy."
Oy8zSYKkczI,46879,48648,"Oh, yeah, it's totally a Game Boy."
Oy8zSYKkczI,48681,50349,- ( Game Boy chiming ) - ( gasps )
Oy8zSYKkczI,50382,51518,"Oh, love that sound."
Oy8zSYKkczI,55788,60325," I'm Marques Brownlee  and I review dope, new tech."
Oy8zSYKkczI,60359,62628, But on this show  I'm rewinding the clock
Oy8zSYKkczI,62661,64564, to discover the tech  of the past
Oy8zSYKkczI,64597,66666,that changed our lives forever.
Oy8zSYKkczI,67900,71504," This is ""Retro Tech."""
Oy8zSYKkczI,71537,73272,"All right, it's time to break the seal"
Oy8zSYKkczI,73305,75508,on literally the oldest piece of tech I've ever held.
Oy8zSYKkczI,75541,79579, The Game Boy first came out  back in April of 1989.
Oy8zSYKkczI,79612,83149, So this year is  the 30th anniversary  of its release.
Oy8zSYKkczI,83182,84750,Let's get in there. This is happening.
Oy8zSYKkczI,84783,86819,Ready?
Oy8zSYKkczI,86852,91523,The Game Boy is the most popular portable handheld gaming console ever.
Oy8zSYKkczI,91557,94360,And it kinda changed the course of gaming history.
Oy8zSYKkczI,94393,95660,I was not a part of that.
Oy8zSYKkczI,95694,97130,I never used the Game Boy. Never owned one.
Oy8zSYKkczI,97163,99799," So, this is a totally fresh"
Oy8zSYKkczI,99832,101534, true first impression for me
Oy8zSYKkczI,101567,104170, of a piece of tech  that changed history.
Oy8zSYKkczI,104203,105404,I recognize this guy. Don't worry.
Oy8zSYKkczI,105437,107140,I know who Mario is.
Oy8zSYKkczI,107173,109208,This is Tetris.
Oy8zSYKkczI,109241,111377,This is Tetris. I'm holding Tetris.
Oy8zSYKkczI,111410,112579,Let me pop this open.
Oy8zSYKkczI,115514,117283,I don't know how to open this.
Oy8zSYKkczI,117316,120853,Uh... think like 1989.
Oy8zSYKkczI,120886,122255,How would you...
Oy8zSYKkczI,122288,125591,Push.
