vid,start,end,text
PFbhJJBWBI0,0,14630,[Music]
PFbhJJBWBI0,15040,17199,what is up og's your girl is back with
PFbhJJBWBI0,17199,19279,another vlog vlog and as y'all can see i
PFbhJJBWBI0,19279,21359,am at the airport and i'm starting this
PFbhJJBWBI0,21359,22880,vlog off now because i didn't get to
PFbhJJBWBI0,22880,24880,start off when i was at my airbnb
PFbhJJBWBI0,24880,26480,earlier because i had a lot going on i
PFbhJJBWBI0,26480,28720,had to get my feeds done i had to
PFbhJJBWBI0,28720,31519,run a few errands before my trip and
PFbhJJBWBI0,31519,33280,yeah so i'm getting ready we about to
PFbhJJBWBI0,33280,36320,get ready to boy y'all it is 5 25 this
PFbhJJBWBI0,36320,39200,is about to be a 16 hour flight because
PFbhJJBWBI0,39200,40399,i'm flying
PFbhJJBWBI0,40399,41360,from
PFbhJJBWBI0,41360,43600,la which is where i'm at now
PFbhJJBWBI0,43600,47600,to doha and then doha too
PFbhJJBWBI0,47600,48879,should i tell y'all now i mean i'm
PFbhJJBWBI0,48879,49920,probably gonna be excited it's probably
PFbhJJBWBI0,49920,50960,gonna be something i'll probably gonna
PFbhJJBWBI0,50960,53440,fight to get there thailand stuff
PFbhJJBWBI0,53440,55039,this is probably my first first ever
PFbhJJBWBI0,55039,56800,travel vlog like real world travel y'all
PFbhJJBWBI0,56800,59120,like out the country your girls finally
PFbhJJBWBI0,59120,60719,can fly out of the country and like
PFbhJJBWBI0,60719,63039,really just relax so i'm super excited
PFbhJJBWBI0,63039,64960,and it's about to be a late trip so
PFbhJJBWBI0,64960,67670,we're getting ready for it so let's go
PFbhJJBWBI0,67670,70880,[Music]
PFbhJJBWBI0,70880,74560,one two three
PFbhJJBWBI0,76020,78799,[Music]
PFbhJJBWBI0,78799,81200,y'all this is my little area
PFbhJJBWBI0,81200,83840,let me give y'all a little room tour we
PFbhJJBWBI0,83840,85840,have a little light here we have my bed
PFbhJJBWBI0,85840,88720,seat my tv all the compartments here
PFbhJJBWBI0,88720,90720,y'all we got a cover
PFbhJJBWBI0,90720,91520,oh
PFbhJJBWBI0,91520,92640,what's this
PFbhJJBWBI0,92640,94240,a little travel thing
PFbhJJBWBI0,94240,95439,remote
PFbhJJBWBI0,95439,96479,tv
PFbhJJBWBI0,96479,98640,also look at this y'all it's a doe for
PFbhJJBWBI0,98640,100960,privacy so it's literally blocked off
PFbhJJBWBI0,100960,103200,and then this here let's down
PFbhJJBWBI0,103200,105439,wow
PFbhJJBWBI0,105439,108479,wait y'all this is an actual storage
PFbhJJBWBI0,108479,110240,unit
PFbhJJBWBI0,110240,113200,look at that
PFbhJJBWBI0,113200,116799,cute so i got a water bottle headphones
PFbhJJBWBI0,116799,118000,and
PFbhJJBWBI0,118000,119200,they just brought
PFbhJJBWBI0,119200,122320,pajamas so when it's time for bedtime
PFbhJJBWBI0,122320,123840,change into the pajamas probably
PFbhJJBWBI0,123840,126079,wondering why my hair is still twisted
PFbhJJBWBI0,126079,127520,because if y'all didn't plan on taking
PFbhJJBWBI0,127520,129119,these twists down until i make it to my
PFbhJJBWBI0,129119,131280,destination because i'm not wasting a
PFbhJJBWBI0,131280,133840,twist that i did freshly until i get
PFbhJJBWBI0,133840,136480,there and get cute and they thick so
PFbhJJBWBI0,136480,138080,i left my hair twisted for this whole
PFbhJJBWBI0,138080,140319,flight this whole trip y'all know what
PFbhJJBWBI0,140319,143480,i'm excited
PFbhJJBWBI0,153360,155680,oh yeah when she say hot she meant hot
PFbhJJBWBI0,155680,159120,champagne could be fancy
PFbhJJBWBI0,159840,161360,all right shawn so let me give y'all a
PFbhJJBWBI0,161360,162800,tour and if you don't know i'm on the
PFbhJJBWBI0,162800,164720,guitar airlines which i knew before but
PFbhJJBWBI0,164720,166319,this is the first time
PFbhJJBWBI0,166319,168879,in the q suite which is kind of like
PFbhJJBWBI0,168879,171040,a
PFbhJJBWBI0,173120,176400,so you get lotion you get face cream and
PFbhJJBWBI0,176400,178720,you get moisturizing lip balm and this
PFbhJJBWBI0,178720,179920,is the last time i was flying this
PFbhJJBWBI0,179920,181360,airlines y'all this is literally the
PFbhJJBWBI0,181360,182239,best
PFbhJJBWBI0,182239,184959,lip balm i ever
PFbhJJBWBI0,197040,198480,yeah i'm gonna be pressing this bill
PFbhJJBWBI0,198480,200159,every two seconds because i'm literally
PFbhJJBWBI0,200159,202270,trying every single thing
PFbhJJBWBI0,202270,208110,[Music]
PFbhJJBWBI0,209040,211360,y'all we just took off and i forgot to
PFbhJJBWBI0,211360,214080,mention that our seat is literally
PFbhJJBWBI0,214080,215760,facing the opposite way of the plane
PFbhJJBWBI0,215760,217360,like the plane is
PFbhJJBWBI0,217360,219680,all the plane is facing this way so like
PFbhJJBWBI0,219680,221280,when we took off i literally cleaned the
PFbhJJBWBI0,221280,223040,floor like what's happening but it's
PFbhJJBWBI0,223040,224720,because the seat is placing the opposite
PFbhJJBWBI0,224720,227440,way of playing
PFbhJJBWBI0,228239,229760,so y'all this
PFbhJJBWBI0,229760,232400,is what it looks like outside because as
PFbhJJBWBI0,232400,234799,y'all can see there's no windows but you
PFbhJJBWBI0,234799,236799,can go look and see the view of the
PFbhJJBWBI0,236799,239519,camera look at that
PFbhJJBWBI0,239519,241920,look at this y'all so they let down this
PFbhJJBWBI0,241920,244640,little thingy the divider and this is so
PFbhJJBWBI0,244640,246480,freaking crazy like
PFbhJJBWBI0,246480,248239,i wonder if you could buy two seats and
PFbhJJBWBI0,248239,249439,literally like half both of them to
PFbhJJBWBI0,249439,251840,yourself that would be so far but like
PFbhJJBWBI0,251840,255319,that's crazy
PFbhJJBWBI0,258859,271219,[Music]
PFbhJJBWBI0,272240,274870,now
PFbhJJBWBI0,274870,275860,[Music]
PFbhJJBWBI0,275860,277130,[Applause]
PFbhJJBWBI0,277130,295840,[Music]
