vid,start,end,text
PT765vSgH6o,0,4960,[Music]
PT765vSgH6o,4960,7600,why do so many people come to the us to
PT765vSgH6o,7600,9920,get their education if we look at top 10
PT765vSgH6o,9920,12160,universities in the world eight of them
PT765vSgH6o,12160,14719,will be here in the united states top
PT765vSgH6o,14719,17359,researchers professors work in american
PT765vSgH6o,17359,19039,universities
PT765vSgH6o,19039,22480,graduates work as ceos of top companies
PT765vSgH6o,22480,25439,they are prime ministers of countries if
PT765vSgH6o,25439,27119,you graduate from an american university
PT765vSgH6o,27119,29279,as an international student under
PT765vSgH6o,29279,31519,certain conditions you can stay here for
PT765vSgH6o,31519,34160,up to three years to work also there is
PT765vSgH6o,34160,36480,an opportunity to get financial aid for
PT765vSgH6o,36480,38879,your education especially if you are
PT765vSgH6o,38879,41840,doing your master's or phd but for me
PT765vSgH6o,41840,44480,education in the us is being a part of
PT765vSgH6o,44480,46640,this amazing community of talented
PT765vSgH6o,46640,47600,people
PT765vSgH6o,47600,49760,setting with them spending years of your
PT765vSgH6o,49760,51760,life together with them american
PT765vSgH6o,51760,54399,university is not just a building it's a
PT765vSgH6o,54399,57199,small town with its own museum
PT765vSgH6o,57199,58480,church
PT765vSgH6o,58480,59920,stadium
PT765vSgH6o,59920,62399,labs let's walk around stanford campus
PT765vSgH6o,62399,64320,today and talk about education in the
PT765vSgH6o,64320,66320,usa i'm going to talk about
PT765vSgH6o,66320,68080,how you can study here what do you need
PT765vSgH6o,68080,70080,to do to get admitted how you can get
PT765vSgH6o,70080,71360,financial aid and if you're an
PT765vSgH6o,71360,73200,international student how you can get a
PT765vSgH6o,73200,75840,visa let's walk around and talk about
PT765vSgH6o,75840,77380,education in the usa
PT765vSgH6o,77380,83520,[Music]
PT765vSgH6o,83520,84960,let's talk about different levels of
PT765vSgH6o,84960,87439,education in the us so you can come here
PT765vSgH6o,87439,89520,for your high school
PT765vSgH6o,89520,91680,but if you're an international student i
PT765vSgH6o,91680,93600,think it is better that you graduate
PT765vSgH6o,93600,95759,from school in your own country because
PT765vSgH6o,95759,97360,if you graduate from a school here in
PT765vSgH6o,97360,99520,the us when you apply for university
PT765vSgH6o,99520,101520,they would actually look at your school
PT765vSgH6o,101520,104320,ranking and your gpa your average grade
PT765vSgH6o,104320,105840,there when you come from your own
PT765vSgH6o,105840,107840,country they can't really tell whether
PT765vSgH6o,107840,110880,the school was challenging or not so you
PT765vSgH6o,110880,112799,have higher chances of getting admitted
PT765vSgH6o,112799,114399,because you have higher chances of
PT765vSgH6o,114399,116560,getting a perfect score back in your
PT765vSgH6o,116560,118799,country and another thing if you come
PT765vSgH6o,118799,120880,here for your high school that means new
PT765vSgH6o,120880,123200,curriculum new environment new language
PT765vSgH6o,123200,125439,and there might be a chance that your
PT765vSgH6o,125439,128879,grades become lower so ideally if i were
PT765vSgH6o,128879,130479,you i would graduate from high school in
PT765vSgH6o,130479,131760,my own country
PT765vSgH6o,131760,134160,and then come here either for bachelors
PT765vSgH6o,134160,136480,it typically takes about four years to
PT765vSgH6o,136480,138640,earn a bachelor's degree in your first
PT765vSgH6o,138640,141120,two years of study you will be required
PT765vSgH6o,141120,143360,to take a wide variety of classes in
PT765vSgH6o,143360,145760,different subjects commonly known as
PT765vSgH6o,145760,149040,prerequisite courses literature science
PT765vSgH6o,149040,151840,social sciences arts history and so
PT765vSgH6o,151840,154400,forth this way you can achieve general
PT765vSgH6o,154400,155840,knowledge to get admitted to a
PT765vSgH6o,155840,158000,bachelor's program you would need to
PT765vSgH6o,158000,161760,take an sat or a ct and if you come from
PT765vSgH6o,161760,163920,a non-english speaking country you would
PT765vSgH6o,163920,166560,need to take a test like toefl or ielts
PT765vSgH6o,166560,168319,and some colleges also accept the
PT765vSgH6o,168319,170560,duolingo test please check the exact
PT765vSgH6o,170560,173280,requirements and exams on the website of
PT765vSgH6o,173280,175280,the universities you want to apply to
PT765vSgH6o,175280,177599,and bachelor's is not the best level of
PT765vSgH6o,177599,179519,education in terms of financial aid
PT765vSgH6o,179519,180800,because it's not really finance
PT765vSgH6o,180800,182319,especially for international students
PT765vSgH6o,182319,184239,there is also an option to get admitted
PT765vSgH6o,184239,186720,to a bachelor's program without taking
