vid,start,end,text
PiYAKZxaAiw,80,1599,hello everyone welcome back to my
PiYAKZxaAiw,1599,3520,channel victoria xavier here back with a
PiYAKZxaAiw,3520,5200,new video today i'm going to be showing
PiYAKZxaAiw,5200,7600,you guys some spring outfits this video
PiYAKZxaAiw,7600,10000,is sponsored by fashion nova so get
PiYAKZxaAiw,10000,12400,ready and let's get started
PiYAKZxaAiw,12400,19680,[Music]
PiYAKZxaAiw,19680,22080,starting off this spring lookbook i got
PiYAKZxaAiw,22080,24640,these really cute jeans and they're
PiYAKZxaAiw,24640,26800,super adorable because they got little
PiYAKZxaAiw,26800,30480,butterflies on them so cute and they're
PiYAKZxaAiw,30480,33120,flared i got this in a size three and
PiYAKZxaAiw,33120,35280,i'm super obsessed it fits so well
PiYAKZxaAiw,35280,37360,they're really nice stretchy fabric and
PiYAKZxaAiw,37360,39200,i really like how there's no pockets on
PiYAKZxaAiw,39200,41680,the back and there is a pocket on the
PiYAKZxaAiw,41680,44079,front super cute it's really nice color
PiYAKZxaAiw,44079,46879,like a light wash jean overall this is
PiYAKZxaAiw,46879,49360,just such a unique pair of jeans and i
PiYAKZxaAiw,49360,51199,think it just suits really well for the
PiYAKZxaAiw,51199,53920,spring because you know butterflies we
PiYAKZxaAiw,53920,56879,got springtime i love it so much so i
PiYAKZxaAiw,56879,60079,paired these really cute jeans with this
PiYAKZxaAiw,60079,62960,amazing knit top you guys this is so
PiYAKZxaAiw,62960,65760,soft and i absolutely love the color
PiYAKZxaAiw,65760,67520,it's kind of like a green
PiYAKZxaAiw,67520,70000,and it's really nice stretchy fabric as
PiYAKZxaAiw,70000,71520,well it has this really nice little
PiYAKZxaAiw,71520,73280,color on the front and it's kind of like
PiYAKZxaAiw,73280,76000,a wraparound shirt so i think it's gonna
PiYAKZxaAiw,76000,79439,look super fabulous and it is a crop top
PiYAKZxaAiw,79439,81119,so you already know that it's gonna be a
PiYAKZxaAiw,81119,83520,little bit sexy i think this outfit is
PiYAKZxaAiw,83520,85840,such a cute look for spring i absolutely
PiYAKZxaAiw,85840,87759,love the jeans and the top and together
PiYAKZxaAiw,87759,90079,they're going to look so amazing so let
PiYAKZxaAiw,90079,92159,me know what you would rate this outfit
PiYAKZxaAiw,92159,93600,down in the comments below other than
PiYAKZxaAiw,93600,95680,that i'm ready to try it on so let's do
PiYAKZxaAiw,95680,98680,it
PiYAKZxaAiw,100790,119520,[Music]
PiYAKZxaAiw,119520,121439,let's move on to the next look now i
PiYAKZxaAiw,121439,123840,have a two-piece set and i absolutely
PiYAKZxaAiw,123840,126479,love this color it's really pretty
PiYAKZxaAiw,126479,128959,purple and it's a really nice soft
PiYAKZxaAiw,128959,131360,fabric as well it's pretty stretchy so
PiYAKZxaAiw,131360,133680,let's start off with the pants they're
PiYAKZxaAiw,133680,136239,really long pants and
