vid,start,end,text
PkujpWzHrpA,399,4320,welcome back to brain candy tv
PkujpWzHrpA,7040,10160,hey brainiacs do you know what a planet
PkujpWzHrpA,10160,11440,is
PkujpWzHrpA,11440,14480,planets are big balls of rock or huge
PkujpWzHrpA,14480,18400,balls of gas that move around a star
PkujpWzHrpA,18400,21119,a star is an even bigger ball of glowing
PkujpWzHrpA,21119,24720,gas and the star that's closest to us is
PkujpWzHrpA,24720,27119,called the sun
PkujpWzHrpA,27119,29679,we live on one of the rocky planets and
PkujpWzHrpA,29679,32640,we call that planet earth
PkujpWzHrpA,32640,34559,do you know where on planet earth you
PkujpWzHrpA,34559,35840,live
PkujpWzHrpA,35840,39760,hey that's where lizzy lives
PkujpWzHrpA,39920,42640,alright this is gonna be fun
PkujpWzHrpA,42640,44960,here comes a big space train with models
PkujpWzHrpA,44960,47840,of all the planets in our solar system
PkujpWzHrpA,47840,50160,let's join lizzy on the planet's train
PkujpWzHrpA,50160,53920,to learn a bit about each planet
PkujpWzHrpA,54239,57680,the closest planet to the sun is mercury
PkujpWzHrpA,57680,61280,it's very small and mostly made of rock
PkujpWzHrpA,61280,64158,daytime on mercury is really hot but the
PkujpWzHrpA,64158,67040,nights are super cold giving mercury the
PkujpWzHrpA,67040,68960,biggest temperature range of all the
PkujpWzHrpA,68960,71960,planets
PkujpWzHrpA,72320,75520,the second planet from the sun is venus
PkujpWzHrpA,75520,77920,unlike mercury it's covered in a thick
PkujpWzHrpA,77920,80400,layer of clouds and it's the hottest
PkujpWzHrpA,80400,82960,planet in our solar system
PkujpWzHrpA,82960,85600,the surface of venus is so hot that it
PkujpWzHrpA,85600,87759,could cook a whole pizza in only three
PkujpWzHrpA,87759,91119,to seven seconds
PkujpWzHrpA,92400,94479,the third planet from the sun is called
PkujpWzHrpA,94479,95439,earth
PkujpWzHrpA,95439,97600,the one we all live on
PkujpWzHrpA,97600,99439,it's the only planet we know of that
PkujpWzHrpA,99439,101920,contains life but scientists are
PkujpWzHrpA,101920,104000,constantly looking for signs of life on
PkujpWzHrpA,104000,106799,other planets
PkujpWzHrpA,107439,110479,the next planet is mars it's covered in
