vid,start,end,text
PnloC_ELVl4,9599,12840,i know
PnloC_ELVl4,12850,44389,[Music]
PnloC_ELVl4,47570,55750,[Music]
PnloC_ELVl4,56840,60920,yeah oh
PnloC_ELVl4,61770,81439,[Music]
PnloC_ELVl4,81439,85759,i'm up i'm about to get ready do my
PnloC_ELVl4,85759,88960,it is four o'clock four one just turned
PnloC_ELVl4,88960,89920,four
PnloC_ELVl4,89920,92880,um i dig it up like around
PnloC_ELVl4,92880,95119,i think twelve or one
PnloC_ELVl4,95119,98320,and i'm going to show you guys my hair i
PnloC_ELVl4,98320,100000,was thinking to like do my makeup first
PnloC_ELVl4,100000,102320,but i'll show you guys my hair because
PnloC_ELVl4,102320,104560,we did finish around like three in the
PnloC_ELVl4,104560,106399,morning last night and that's only
PnloC_ELVl4,106399,108079,because we took like
PnloC_ELVl4,108079,110560,two breaks and each break was like an
PnloC_ELVl4,110560,112880,hour and we started at like seven
PnloC_ELVl4,112880,115040,so
PnloC_ELVl4,115040,117680,this is my hair super cute i love my
PnloC_ELVl4,117680,119600,hair i haven't done my edges like at all
PnloC_ELVl4,119600,121360,and this is how
PnloC_ELVl4,121360,125200,long it is these are 36 inches
PnloC_ELVl4,125200,127759,and if i if they actually had longer at
PnloC_ELVl4,127759,129039,the beauty store would have got longer
PnloC_ELVl4,129039,132000,but this is how long it goes on me
PnloC_ELVl4,132000,133440,so it's still like
PnloC_ELVl4,133440,136160,a little bit past my butt but
PnloC_ELVl4,136160,138080,somewhat like on top of my butt i'm
PnloC_ELVl4,138080,139760,gonna actually do
PnloC_ELVl4,139760,141920,um my makeup right now just because i
PnloC_ELVl4,141920,143360,want to get ready
PnloC_ELVl4,143360,144640,i'm not going to wear nothing i just
PnloC_ELVl4,144640,145760,want to get ready i actually haven't
PnloC_ELVl4,145760,149200,wear makeup ever since june 4th and it's
PnloC_ELVl4,149200,150239,actually
PnloC_ELVl4,150239,152800,june 14th so i haven't
PnloC_ELVl4,152800,155280,10 days i'm just not feeling makeup
PnloC_ELVl4,155280,157840,anymore like at first it's like oh my
PnloC_ELVl4,157840,160080,god like i'm not into like the eye
PnloC_ELVl4,160080,162239,shadow and none of that extra stuff so
PnloC_ELVl4,162239,164480,maybe i just feel like my makeup's been
PnloC_ELVl4,164480,167680,becoming like very just basic
PnloC_ELVl4,167680,169040,but
PnloC_ELVl4,169040,171200,that's what i like natural face and then
PnloC_ELVl4,171200,172959,i feel so much better when i take it off
PnloC_ELVl4,172959,175120,like during the day but
PnloC_ELVl4,175120,177040,because of today and i want to take some
PnloC_ELVl4,177040,178720,pictures and stuff like that i also have
PnloC_ELVl4,178720,180959,to do a thumbnail so i have to get ready
PnloC_ELVl4,180959,183280,for that and then i have a haul gotta do
PnloC_ELVl4,183280,184720,but that's not gonna be in this video
PnloC_ELVl4,184720,187680,that's a separate video
PnloC_ELVl4,189840,191680,i do got my mirror right here so i will
PnloC_ELVl4,191680,193280,be looking at myself
PnloC_ELVl4,193280,194800,right here
