vid,start,end,text
Q3yqnFXOemw,5960,14160,[Music]
Q3yqnFXOemw,14160,17160,shot
Q3yqnFXOemw,19279,21840,back on
Q3yqnFXOemw,21970,26680,[Music]
Q3yqnFXOemw,28960,28960,all ebay
Q3yqnFXOemw,29610,32710,[Music]
Q3yqnFXOemw,42100,42490,[Music]
Q3yqnFXOemw,42490,45560,[Applause]
Q3yqnFXOemw,46870,54218,[Music]
Q3yqnFXOemw,54399,56450,foreign
Q3yqnFXOemw,56450,60779,[Music]
Q3yqnFXOemw,64720,67879,all right
Q3yqnFXOemw,72060,72360,[Music]
Q3yqnFXOemw,72360,74020,[Applause]
Q3yqnFXOemw,74020,84080,[Music]
Q3yqnFXOemw,84080,87080,oh
Q3yqnFXOemw,88400,91400,huh
Q3yqnFXOemw,94400,97320,[Music]
Q3yqnFXOemw,97320,103379,[Laughter]
Q3yqnFXOemw,105610,108670,[Music]
Q3yqnFXOemw,124640,127640,foreign
Q3yqnFXOemw,133290,140640,[Music]
Q3yqnFXOemw,140640,142180,foreign
Q3yqnFXOemw,142180,145228,[Music]
Q3yqnFXOemw,153680,156680,negative
Q3yqnFXOemw,173280,176280,shot
Q3yqnFXOemw,179680,182859,[Music]
Q3yqnFXOemw,186160,190239,[Music]
Q3yqnFXOemw,190239,193630,my name is
Q3yqnFXOemw,193630,197550,[Music]
Q3yqnFXOemw,203980,211519,[Music]
Q3yqnFXOemw,211519,214519,here
Q3yqnFXOemw,220490,223539,[Music]
Q3yqnFXOemw,226690,229599,[Music]
Q3yqnFXOemw,229599,232599,foreign
Q3yqnFXOemw,247920,250920,foreign
Q3yqnFXOemw,265040,267759,bye
