vid,start,end,text
QLyr8mSuvTo,0,5609,[Music]
QLyr8mSuvTo,7040,11120,hey it's me me me me me me me me me me
QLyr8mSuvTo,11120,12880,me
QLyr8mSuvTo,12880,15360,today's video is another art things to
QLyr8mSuvTo,15360,17279,do when you're bored if you are new here
QLyr8mSuvTo,17279,18960,and you've never seen this series before
QLyr8mSuvTo,18960,20960,basically i do
QLyr8mSuvTo,20960,23519,art things to do when you're bored i
QLyr8mSuvTo,23519,25279,guess the title says it all doesn't it
QLyr8mSuvTo,25279,27199,basically each video i just gave a
QLyr8mSuvTo,27199,29199,couple different ideas for creative
QLyr8mSuvTo,29199,31279,activities that you can do i also
QLyr8mSuvTo,31279,33040,include kind of a mixture of art and
QLyr8mSuvTo,33040,35280,craft we may throw some crafts in there
QLyr8mSuvTo,35280,37520,a little crafty who knows i don't know
QLyr8mSuvTo,37520,39040,actually i do know because i already
QLyr8mSuvTo,39040,40239,planned this video and got all the
QLyr8mSuvTo,40239,41840,supplies for everything so
QLyr8mSuvTo,41840,45840,i do know cool so
QLyr8mSuvTo,47039,49360,let's get into the little ideas shall we
QLyr8mSuvTo,49360,53680,number one is make beads that's right
QLyr8mSuvTo,53680,56800,make beads did you hear me make beads
QLyr8mSuvTo,56800,59920,you can make beads out of paper who knew
QLyr8mSuvTo,59920,61760,i sure didn't maybe it's a thing that
QLyr8mSuvTo,61760,63680,everyone knows and now i'm just gonna
QLyr8mSuvTo,63680,66239,look stupid
QLyr8mSuvTo,66479,67920,of course this is gonna be extremely
QLyr8mSuvTo,67920,69439,time consuming because beads are these
QLyr8mSuvTo,69439,71280,little tiny little things it's gonna
QLyr8mSuvTo,71280,74640,take forever also this is slightly a
QLyr8mSuvTo,74640,77040,double activity
QLyr8mSuvTo,77040,79280,because not only can you make the beads
QLyr8mSuvTo,79280,80880,but then you can make something with the
QLyr8mSuvTo,80880,82640,beads which i will do but we'll get
QLyr8mSuvTo,82640,84240,there when we get there honey things
QLyr8mSuvTo,84240,85439,that you will need
QLyr8mSuvTo,85439,87680,paper i'm going to be using this sketch
QLyr8mSuvTo,87680,89119,paper
