vid,start,end,text
QmIcFWu0US0,110,2129,So I uploaded a video recently
QmIcFWu0US0,2130,5100,where I compared the brand new M2 MacBook Pro
QmIcFWu0US0,5100,8580,"against its predecessor, the M1 MacBook Pro."
QmIcFWu0US0,8580,11730,"But during testing, I noticed a really weird issue"
QmIcFWu0US0,11730,13920,with the SSD on the M2.
QmIcFWu0US0,13920,16470,It was nowhere near as fast as the M1.
QmIcFWu0US0,16470,18869,And this could have a massive impact
QmIcFWu0US0,18870,22350,on the performance of M2 MacBook Pro base models.
QmIcFWu0US0,22350,24390,So what could be the reason for this?
QmIcFWu0US0,24390,26220,Is it just Apple being greedy?
QmIcFWu0US0,26220,27900,Is it some secret plan to get you
QmIcFWu0US0,27900,29730,to spend more money on upgrades
QmIcFWu0US0,29730,33600,or was Apple forced to do this by external circumstances?
QmIcFWu0US0,33600,35340,"Well, I'm going to do a deep dive"
QmIcFWu0US0,35340,36180,into this topic
QmIcFWu0US0,36180,38130,and see if we can figure it out.
QmIcFWu0US0,38130,41040,"First things first, let's run some SSD speed tests"
QmIcFWu0US0,41040,44400,to find out just how bad the M2 SSD is.
QmIcFWu0US0,44400,46860,"Starting with Blackmagic Disk Speed Test,"
QmIcFWu0US0,46860,50070,you can immediately see a massive difference in speeds.
QmIcFWu0US0,50070,53940,The M2 is roughly twice as slow in read speeds.
QmIcFWu0US0,53940,55980,"On the AJA System Speed Test,"
QmIcFWu0US0,55980,58410,"but this time with the disk cache disabled,"
QmIcFWu0US0,58410,60780,"the write speeds seem about the same,"
QmIcFWu0US0,60780,64739,"but the read speeds, again, are significantly worse."
QmIcFWu0US0,64739,66390,So what the hell is going on here?
QmIcFWu0US0,66390,69150,Isn't the M2 supposed to be the faster
QmIcFWu0US0,69150,72120,and more improved clone of M1?
QmIcFWu0US0,72120,74970,"Well, to find out, let's open these two machines up"
QmIcFWu0US0,74970,76560,and have a look inside.
QmIcFWu0US0,76560,78600,"Taking a look at the M2, you can see"
QmIcFWu0US0,78600,81840,that there's only one NAND flash chip soldered on
QmIcFWu0US0,81840,84479,with a big old empty space to the left.
QmIcFWu0US0,84480,85313,So it seems
QmIcFWu0US0,85313,89760,that Apple is using a single 256 gigabyte NAND flash chip
QmIcFWu0US0,89760,92280,on these base model M2 MacBooks.
QmIcFWu0US0,92280,95159,"When I compared with the base model M1 MacBook Pro,"
QmIcFWu0US0,95160,97260,"oh, look, there's a second chip!"
QmIcFWu0US0,97260,102150,It looks like the M1 is using two 128 gigabyte NAND chips
QmIcFWu0US0,102150,106770,"instead of one big 256 gigabyte chip, like the M2."
QmIcFWu0US0,106770,108090,So I did some more digging
QmIcFWu0US0,108090,109829,and read through some of my comments
QmIcFWu0US0,109830,113970,and it looks like Max Tech also has only one NAND chip
QmIcFWu0US0,113970,115380,"on their M2 MacBook,"
QmIcFWu0US0,115380,117000,which basically confirms to me
QmIcFWu0US0,117000,121230,that this is widespread across all M2 Pro base models.
QmIcFWu0US0,121230,122490,"So this begs the question,"
QmIcFWu0US0,122490,126570,why is having two smaller NAND chips actually faster
QmIcFWu0US0,126570,128310,than having one big one?
QmIcFWu0US0,128310,131520,"Well, by using two of them, it allows each one to connect"
QmIcFWu0US0,131520,134460,to the M1 or M2 controller separately
QmIcFWu0US0,134460,136860,and fill two buses in parallel.
QmIcFWu0US0,136860,138810,"No, not school buses."
QmIcFWu0US0,138810,141569,I mean the communication system that transfers data
QmIcFWu0US0,141570,144270,between components inside a computer.
QmIcFWu0US0,144270,147810,"Think of a bus as a data highway of sorts,"
QmIcFWu0US0,147810,151050,having two NAND chips using two separate buses
QmIcFWu0US0,151050,153630,is like having two lanes instead of just one
QmIcFWu0US0,153630,154800,on a highway.
QmIcFWu0US0,154800,158310,Traffic or data will be able to flow much quicker
QmIcFWu0US0,158310,159569,with two lanes.
QmIcFWu0US0,159570,160680,"So on the M1,"
