vid,start,end,text
RRPYq7seutM,80,1839,i don't know about you but a while ago
RRPYq7seutM,1839,3840,the ads that i get on instagram started
RRPYq7seutM,3840,6290,turning into an absolute fever dream
RRPYq7seutM,6290,9519,[Music]
RRPYq7seutM,9519,11200,specifically what i'm talking about is
RRPYq7seutM,11200,13519,the ungodly amount of mobile game ads
RRPYq7seutM,13519,15599,that i get and these ones are just out
RRPYq7seutM,15599,17359,of control like mobile game ads have
RRPYq7seutM,17359,19199,been stupid for a while games that would
RRPYq7seutM,19199,21039,show like an insanely basic game premise
RRPYq7seutM,21039,22720,but then have a caption that says only
RRPYq7seutM,22720,24800,one percent of players can beat this and
RRPYq7seutM,24800,27279,the game is like stacking three cups but
RRPYq7seutM,27279,29439,those ads were at least
RRPYq7seutM,29439,32000,some of the time showing the actual game
RRPYq7seutM,32000,35440,nowadays the games that i get
RRPYq7seutM,36079,37920,oh no
RRPYq7seutM,37920,39760,i don't know what the [ __ ] is going on
RRPYq7seutM,39760,41360,you'd think in order to sell something
RRPYq7seutM,41360,43040,the customer should understand the
RRPYq7seutM,43040,45440,product that is not the case with mobile
RRPYq7seutM,45440,47600,game ads the gameplay itself is usually
RRPYq7seutM,47600,49600,pretty simple and a carbon copy of
RRPYq7seutM,49600,51440,another game there's the isometric
RRPYq7seutM,51440,53360,farmville game there's the isometric
RRPYq7seutM,53360,56079,empire game it's usually named like age
RRPYq7seutM,56079,59120,of kingdoms or clash of cups so what
RRPYq7seutM,59120,61440,there's a super sexualized dating sim a
RRPYq7seutM,61440,63359,fallout shelter duplicate a bunch of
RRPYq7seutM,63359,66400,bejeweled games or i want that treasure
RRPYq7seutM,66400,69200,oh not the right move treasure treasure
RRPYq7seutM,69200,70799,whatever the hell you do in that game
RRPYq7seutM,70799,72880,the games are simple for a reason
RRPYq7seutM,72880,75200,they're for simple people and by simple
RRPYq7seutM,75200,78159,people i mainly mean children with mommy
RRPYq7seutM,78159,79680,and daddy's credit card that they
RRPYq7seutM,79680,81520,usually don't know about so they can pay
RRPYq7seutM,81520,83600,to keep playing so they can buy more
RRPYq7seutM,83600,85840,energy for their kingdom or buy cool
RRPYq7seutM,85840,88159,cosmetics for their digital dollhouse
RRPYq7seutM,88159,89920,and that point will become more evident
RRPYq7seutM,89920,92240,as we watch some of these ads together
RRPYq7seutM,92240,93920,there's a lot of these game ads though
RRPYq7seutM,93920,96159,where i truly don't know what's going on
RRPYq7seutM,96159,97200,in them
RRPYq7seutM,97200,101479,like this state of survival ad
RRPYq7seutM,107710,110880,[Music]
RRPYq7seutM,111759,112640,just
RRPYq7seutM,112640,115840,so much is happening
RRPYq7seutM,120240,122799,you'll see a lot of this this like rapid
RRPYq7seutM,122799,124560,arrow clicking and touching things
RRPYq7seutM,124560,127040,around the screen when it looks like a
RRPYq7seutM,127040,129200,cursor is doing it but these are all
RRPYq7seutM,129200,131360,mobile game ads i like how they grabbed
RRPYq7seutM,131360,133280,a pickup truck and then put it onto the
RRPYq7seutM,133280,135360,bike and it turned it into like a
RRPYq7seutM,135360,137440,backwards convertible a lot of these
RRPYq7seutM,137440,139599,state of survival ads are like hot girl
RRPYq7seutM,139599,142319,wakes up to zombies then goes and runs
RRPYq7seutM,142319,144959,gets another girl they get guns kill a
RRPYq7seutM,144959,147440,bunch of zombies grow vegetables and
RRPYq7seutM,147440,149440,then build a base around the
RRPYq7seutM,149440,151360,farm there's just so much going on in
RRPYq7seutM,151360,153519,this ad that doesn't make sense and just
RRPYq7seutM,153519,156080,feels so improvised like i feel like
RRPYq7seutM,156080,158000,they got an eight-year-old kid to just
RRPYq7seutM,158000,160640,like make up a crazy video game idea to
RRPYq7seutM,160640,162480,them and then they just made an entire
