vid,start,end,text
RZmePljY48U,560,15920,this is the renault megane e-tec it's a quirky  ev and i really like it why keep watching
RZmePljY48U,34240,39200,the electric megane is shorter than the  megane 4 and even shorter than the megane 3.  
RZmePljY48U,39200,46000,it has a longer wheelbase it's taller but narrower  strange but then is an eevee on a new platform  
RZmePljY48U,46720,51360,the front is smooth and round and the air  intake is masked in the lower part of the bumper  
RZmePljY48U,52000,57120,gold elements on the corners under the funky  daytime running lights lead into actual air  
RZmePljY48U,57120,63280,ducts which have aerodynamic benefits after  all evs have to be efficient in every way  
RZmePljY48U,64239,69119,from the side you'll notice black cladding  around the wheel arches along with the sills and  
RZmePljY48U,69120,74640,the bottom part of the door these are supposed to  make the car look less chunky i guess there is an  
RZmePljY48U,74640,80720,11 centimeters thick battery in the floor and the  silver line from the a-pillar kinking around the  
RZmePljY48U,80720,88800,c-pillar makes the roof seem suspended over the  car in the rear i lined the 3d lamps and a light  
RZmePljY48U,88800,94080,strip across the boot lid a lot of black with some  gold accents on the bottom to mask the battery  
RZmePljY48U,94080,99120,it looks interesting and the megane turns heads  many people have no idea what they're looking  
RZmePljY48U,99120,105040,at but them again was always interesting  in the megane 4 review a few years ago i  
RZmePljY48U,105040,110400,even said it's probably the best looking compact  hatchback you'll see in the showrooms that year  
RZmePljY48U,112320,118640,first things first how do i get in well if  i have the key with me the door handles just  
RZmePljY48U,118640,125280,pop out but what if i don't have the key on  me or if i disable the hands-free operation  
RZmePljY48U,127040,134560,okay oh this is interesting fortunately  the rear door handles are concealed in  
RZmePljY48U,134560,138880,the sea pillars which may fool some  into thinking this is a coupe anyway  
RZmePljY48U,138880,143600,renault doesn't care much about passengers  in the back but more about that later
RZmePljY48U,148880,154880,inside we are greeted with a sound and a graphics  display nothing strange if it was played when i  
RZmePljY48U,154880,160640,press the start button instead it is played when  i open the door or when the passenger opens the  
RZmePljY48U,160640,168640,door fortunately this can be turned off another  quirk is the seat memory function not your regular  
RZmePljY48U,168640,174960,button on the door or on the seat affair instead  there is a prompt on the screen and i know it  
RZmePljY48U,174960,182400,works i just don't know how for sure the sitting  position is low like in a traditional car because  
RZmePljY48U,182400,189599,of the batteries in the floor obviously the driver  gets a wide display with several viewing options  
RZmePljY48U,190320,195360,including a map and you can sort of  change your most important settings or  
RZmePljY48U,196160,204000,computer readouts like your range and the day trip  meter with the button on the right side on the  
RZmePljY48U,204000,206800,of the wheel and on the left side  are the cruise control buttons  
RZmePljY48U,207520,210880,in the middle is the large infotainment  screen this is where i tell you that again  
RZmePljY48U,210880,217440,e-tech runs android automotive i've experienced  this already in the electric volvo xc40 recharge  
RZmePljY48U,217440,222720,the system can be synced with your google  account should be actually so in theory you don't  
RZmePljY48U,222720,230240,have to use android auto unfortunately android  automotive is far from what i would consider to be  
RZmePljY48U,231200,237120,ready for prime time let's say for example  google's native podcasts app in android automotive  
RZmePljY48U,238560,245840,looks like early irc chatroom stream forget  about manual refresh or playing the podcast  
RZmePljY48U,245840,250560,from where you left off on your mobile  device so you have to start android auto  
RZmePljY48U,251680,256959,but when you set android out or sata for example  you lose the map on the driver's display you also  
RZmePljY48U,256959,262400,lose charging network information i'm not sure how  the system works in western europe but in poland  
RZmePljY48U,262400,269840,google automotive shows only one charging network  unfortunately basic climate control functions are  
RZmePljY48U,269840,274720,still set with physical buttons for which the  designers should receive medals monuments and  
RZmePljY48U,274720,280720,special pension bonuses i also like this little  detail this bit of plastic under the screen  
RZmePljY48U,280720,287840,has a bit rougher anti-slip texture so i can rest  my fingers on it why so that my hand doesn't move  
RZmePljY48U,287840,294000,about when i'm pressing something on the screen  the interior is dark neither the ambient lighting  
RZmePljY48U,294000,300720,nor the pixelated faux wood make it look any  brighter however in the top spec there is a light  
RZmePljY48U,300720,307360,interior upholstery option i strongly recommend  it the wireless charger under the central screen  
RZmePljY48U,307360,313439,is big enough for large smartphones in protective  cases i don't know about your phone but mine is so  
RZmePljY48U,313440,319120,slippery it slides off the table just from looking  at it so i need a protective case sounds familiar  
RZmePljY48U,319760,325200,drop me a comment below the charger is a  large storage cubby and two cup holders  
RZmePljY48U,325200,330800,one of them is so deep under the center console  the driver should not be using it the armrest  
RZmePljY48U,330800,337919,slides to reveal a coin cubby and two usb c ports  storage under the armrest is average size and so  
RZmePljY48U,337920,343840,is the glove box i know it's broken that's how  i got it door pockets accommodate large bottles
RZmePljY48U,346000,354000,and one more thing before we set off the drive  selector is one of three stocks here behind on  
RZmePljY48U,354000,358400,the right side of the steering wheel there's  the media stock the wiper stock and then the  
RZmePljY48U,359200,379840,drive selector convince me this is  a good idea drop me a comment below
RZmePljY48U,399040,404000,it's worth clarifying the magan e-tec can  mean the fourth generation plug-in hybrid or  
RZmePljY48U,404000,410960,the fifth generation ev the electric  megane e-tec comes in ev40 or ev60 variants  
RZmePljY48U,410960,415199,which is exactly what you think the  battery size expressed in kilowatt hours  
RZmePljY48U,415200,422880,the electric motor power output is 130 or 218  horsepower respectively and the range is up to 300  
RZmePljY48U,422880,430640,or up to 450 kilometers respectively this is the  more powerful ev60 renault claims this car will  
RZmePljY48U,430640,436880,use around 16 kilowatt hours per 100 kilometers  divide 60 by 16 and you get 375 kilometer  
RZmePljY48U,436880,441440,kilometers which is 75 less than the claimed  range on the motorway of the cruise control  
RZmePljY48U,441440,447760,set to 120 kilometers per hour the megan e-tech  uses 18 19 kilowatt hours per 100 kilometers so  
RZmePljY48U,447760,453200,realistic range can drop to about 300 kilometers  however around the city i managed to get below  
RZmePljY48U,453200,460720,12 kilowatt hours which means a theoretical range  of more than 500 kilometers helping achieve this  
RZmePljY48U,460720,467120,range is four stage recuperation which you  can set using paddles on the steering wheel  
RZmePljY48U,468240,473599,as it is the case with evs a lot depends on the  road conditions driving style and weather i was on  
