vid,start,end,text
SOWVdnPHeV8,0,3689,o Cruzeiro Cruzeiro querido tão
SOWVdnPHeV8,3689,7609,combatido jamais vencido
SOWVdnPHeV8,9110,10870,[Aplausos]
SOWVdnPHeV8,10870,11940,e
SOWVdnPHeV8,11940,14100,aqui só
SOWVdnPHeV8,14100,18279,emoção só emoção é a toda vez que a
SOWVdnPHeV8,18279,20400,gente entra aqui né em várias ações
SOWVdnPHeV8,20400,24119,do Cruzeiro a gente fica emocionado
SOWVdnPHeV8,24119,27130,faça um filme na cabeça e lembra gols
SOWVdnPHeV8,27130,28710,títulos
SOWVdnPHeV8,28710,31029,recentemente 25 anos o maior da história
SOWVdnPHeV8,31029,33730,do Mineirão então é só alegria só emoção
SOWVdnPHeV8,33730,36190,tem que controlar a cidade chora coisa
SOWVdnPHeV8,36190,37960,boa me acompanhado de um grande colega e
SOWVdnPHeV8,37960,39399,amigo né isso aqui era mais ou menos
SOWVdnPHeV8,39399,42399,jogava nada imagina só de vez em quando
SOWVdnPHeV8,42399,44769,ele ele dava os passos assim assim lá
SOWVdnPHeV8,44769,47789,algumas bolas mas esse aqui é
SOWVdnPHeV8,47789,52149,o maior é o vários amigos que eu tô no
SOWVdnPHeV8,52149,55480,futebol um pai um irmão e para mim o
SOWVdnPHeV8,55480,56769,maior lateral-esquerdo da história do
SOWVdnPHeV8,56769,58510,Cruzeiro com todo respeito aos outros a
SOWVdnPHeV8,58510,60760,emoção é muito grande né foram 14
SOWVdnPHeV8,60760,65830,títulos o primeiro mais importante e que
SOWVdnPHeV8,65830,69100,ficou marcante né aquela Supercopa de 91
SOWVdnPHeV8,69100,71799,contra o risco da gente tem perdê-la nós
SOWVdnPHeV8,71799,74420,conseguimos fazer três a zero aqui sem
SOWVdnPHeV8,74420,77329,dor nenhuma Copa do Brasil de 93 que
SOWVdnPHeV8,77329,79850,fazer foi de várias conquistas e do
SOWVdnPHeV8,79850,82250,Campeonato Mineiro de 97 o maior público
SOWVdnPHeV8,82250,84610,da história do Mineirão né
SOWVdnPHeV8,84610,86170,132
SOWVdnPHeV8,86170,90020,1834 torcedores e o Google e o Homem do
SOWVdnPHeV8,90020,93490,Povo viu gente olha aí coisa boa
SOWVdnPHeV8,93490,96319,muita história muita história Estação
SOWVdnPHeV8,96319,100159,Azul te dar uma tela se furo aqui ó está
SOWVdnPHeV8,100159,102880,nos nossos corações
SOWVdnPHeV8,104230,107230,E aí
SOWVdnPHeV8,108830,111760,E aí
SOWVdnPHeV8,111760,115049,[Aplausos]
SOWVdnPHeV8,124690,126750,E aí
SOWVdnPHeV8,127530,128119,que
SOWVdnPHeV8,128119,132119,bairro e
SOWVdnPHeV8,137170,138350,[Música]
SOWVdnPHeV8,138350,139600,E aí
SOWVdnPHeV8,139600,143490,O que é
SOWVdnPHeV8,148630,151800,é o maior tá de boa já
SOWVdnPHeV8,151800,154410,tava aí
SOWVdnPHeV8,154410,157560,como é que
SOWVdnPHeV8,163970,167060,[Música]
SOWVdnPHeV8,169440,171390,foi
SOWVdnPHeV8,171390,177040,a música música de
SOWVdnPHeV8,186140,190300,a calma 16 ou soltam
SOWVdnPHeV8,192480,197978,[Música]
SOWVdnPHeV8,200470,203720,[Música]
SOWVdnPHeV8,206650,209540,na câmera orelha dele ficou boa ficou
SOWVdnPHeV8,209540,211959,muito grande
SOWVdnPHeV8,217090,221350,vai torneira meu pé
SOWVdnPHeV8,221350,223350,o
SOWVdnPHeV8,223410,227300,cabelo não pô tá
SOWVdnPHeV8,227300,229290,[Música]
SOWVdnPHeV8,229290,232290,E aí
SOWVdnPHeV8,233040,235530,E aí gente não a primeira parte aqui e
