vid,start,end,text
ToeYJ3AZusg,15510,18579,[Music]
ToeYJ3AZusg,25190,43710,[Music]
ToeYJ3AZusg,47950,51009,[Music]
ToeYJ3AZusg,57199,59840,now we are here in this very beautiful
ToeYJ3AZusg,59840,60860,place
ToeYJ3AZusg,60860,64559,[Music]
ToeYJ3AZusg,64559,67040,the deepest pool in the world i'm around
ToeYJ3AZusg,67040,70880,60 meters deep
ToeYJ3AZusg,97200,100369,[Music]
ToeYJ3AZusg,110680,113899,[Music]
ToeYJ3AZusg,122320,125320,foreign
ToeYJ3AZusg,140490,143559,[Music]
ToeYJ3AZusg,154560,157720,all right
ToeYJ3AZusg,169040,171120,we'll start with sizing you up okay
ToeYJ3AZusg,171120,173200,select the gear then you can go to the
ToeYJ3AZusg,173200,175200,changing room it changed and then we'll
ToeYJ3AZusg,175200,177680,go all the time all right i'm so excited
ToeYJ3AZusg,177680,180000,john
ToeYJ3AZusg,181760,184080,so guys this is how it looks to be
ToeYJ3AZusg,184080,187040,honest right now
ToeYJ3AZusg,188640,193239,look at that booty show me the booty
ToeYJ3AZusg,202490,207250,[Music]
ToeYJ3AZusg,227410,230490,[Music]
ToeYJ3AZusg,240640,243840,[Music]
ToeYJ3AZusg,252840,255519,dubai guys i can't believe this we're
ToeYJ3AZusg,255519,257040,here are you good today you ready for
ToeYJ3AZusg,257040,259440,the drive yeah ready oh it feels safer
ToeYJ3AZusg,259440,261840,now we got cctv's up there in the pool
ToeYJ3AZusg,261840,263070,everywhere
ToeYJ3AZusg,263070,266360,[Music]
ToeYJ3AZusg,272479,275479,wow
ToeYJ3AZusg,276340,279529,[Music]
ToeYJ3AZusg,283840,285680,when you go down they're not going to
ToeYJ3AZusg,285680,287759,shrink and become a tiny one but you
ToeYJ3AZusg,287759,288800,have some
ToeYJ3AZusg,288800,291600,air spaces lungs mouth
ToeYJ3AZusg,291600,294080,ears nose they will connect
ToeYJ3AZusg,294080,296080,so for the ones you don't need to do
ToeYJ3AZusg,296080,298240,anything because the scuba unit is
ToeYJ3AZusg,298240,299919,constructed so the only thing you need
ToeYJ3AZusg,299919,302560,to do is breathe okay yeah you should
ToeYJ3AZusg,302560,304960,not breathe like this
ToeYJ3AZusg,304960,307039,this is shallow breathing it's firing it
ToeYJ3AZusg,307039,309360,also creates anxiety yeah so when you
ToeYJ3AZusg,309360,312400,breathe you should breathe
ToeYJ3AZusg,312960,315440,breathing
ToeYJ3AZusg,315840,317440,yeah but you are not allowed to hold
ToeYJ3AZusg,317440,319440,your breath at all should always be
ToeYJ3AZusg,319440,321360,breathing always breathing next thing i
ToeYJ3AZusg,321360,323039,want to talk about we are not going to
ToeYJ3AZusg,323039,325039,be able to choose yet on the water so
ToeYJ3AZusg,325039,326720,we'll be using the science but i'm
ToeYJ3AZusg,326720,328720,showing you okay i'm asking you okay
ToeYJ3AZusg,328720,331039,okay you are if something is not right
ToeYJ3AZusg,331039,333360,you show like this and then point to the
ToeYJ3AZusg,333360,334960,source of the problem maybe you cannot
ToeYJ3AZusg,334960,337680,equalize yeah this one go up show up
ToeYJ3AZusg,337680,339360,okay not cool
ToeYJ3AZusg,339360,341600,like this
ToeYJ3AZusg,341600,344240,this one go down no no this one means i
ToeYJ3AZusg,344240,346320,want you to stop whatever you're doing
ToeYJ3AZusg,346320,348960,this one means slow down
ToeYJ3AZusg,348960,352720,relax hold on well
ToeYJ3AZusg,357330,361120,[Music]
ToeYJ3AZusg,363030,364720,[Applause]
ToeYJ3AZusg,364720,366639,could you tell me your name where you're
ToeYJ3AZusg,366639,368639,from i'm going or donna from the
ToeYJ3AZusg,368639,371280,philippines oh my god yes
ToeYJ3AZusg,371280,373520,i've been dreaming for this moment for
ToeYJ3AZusg,373520,376160,years and now i'm celebrating my 24th
ToeYJ3AZusg,376160,377919,birthday this is gonna be the best
ToeYJ3AZusg,377919,379360,birthday so far
ToeYJ3AZusg,379360,381520,all right let's do it yeah let's do it
ToeYJ3AZusg,381520,384479,control your moisture
ToeYJ3AZusg,386200,390479,[Music]
ToeYJ3AZusg,390479,394360,god that's heavy
ToeYJ3AZusg,396520,399620,[Music]
ToeYJ3AZusg,405680,406840,hi
ToeYJ3AZusg,406840,410319,guys let's go
ToeYJ3AZusg,410319,411599,i love you
ToeYJ3AZusg,411599,413199,i love you
ToeYJ3AZusg,413199,416199,guys
ToeYJ3AZusg,423080,429149,[Music]
ToeYJ3AZusg,429199,433599,i feel like i'm a professional diver
ToeYJ3AZusg,433599,435860,let's go
ToeYJ3AZusg,435860,439189,[Music]
ToeYJ3AZusg,450480,453600,[Music]
ToeYJ3AZusg,462240,464000,time
ToeYJ3AZusg,464000,467879,just at my equalized
ToeYJ3AZusg,489680,492680,foreign
ToeYJ3AZusg,494770,512469,[Music]
ToeYJ3AZusg,517539,520629,[Music]
ToeYJ3AZusg,528800,531279,you make me breathless
ToeYJ3AZusg,531279,535720,and i won't waste it
ToeYJ3AZusg,547360,552600,i yes follow you wherever
ToeYJ3AZusg,554130,556060,[Music]
ToeYJ3AZusg,556060,557240,[Applause]
ToeYJ3AZusg,557240,560470,[Music]
ToeYJ3AZusg,563450,570119,[Music]
ToeYJ3AZusg,573300,576459,[Music]
ToeYJ3AZusg,582740,585470,[Music]
ToeYJ3AZusg,585470,588320,[Laughter]
ToeYJ3AZusg,588320,591320,what
ToeYJ3AZusg,616959,619959,hello
ToeYJ3AZusg,622090,623590,[Applause]
ToeYJ3AZusg,623590,630710,[Music]
ToeYJ3AZusg,632720,635819,[Music]
ToeYJ3AZusg,636160,639160,oh
ToeYJ3AZusg,646160,649160,is
ToeYJ3AZusg,671200,674200,oh
ToeYJ3AZusg,681130,685889,[Music]
ToeYJ3AZusg,725360,727839,[Music]
ToeYJ3AZusg,727839,730360,oh
ToeYJ3AZusg,730360,733509,[Music]
ToeYJ3AZusg,737090,740889,[Music]
ToeYJ3AZusg,743600,745279,i think that's good for a beginner for
ToeYJ3AZusg,745279,748720,the first time right yeah
ToeYJ3AZusg,750880,752240,yeah
ToeYJ3AZusg,752240,755200,guys that was a amazing experience my
ToeYJ3AZusg,755200,759480,friend i love you my friends
ToeYJ3AZusg,763920,767440,that was a very handsome guy
ToeYJ3AZusg,768480,770079,he's not from the philippines from the
ToeYJ3AZusg,770079,772480,united states
ToeYJ3AZusg,772480,776000,great amazing experience
ToeYJ3AZusg,792790,795860,[Music]
ToeYJ3AZusg,824399,826000,my friend thank you so much i love you
ToeYJ3AZusg,826000,828079,brother god bless you thank you join me
ToeYJ3AZusg,828079,829680,yeah
ToeYJ3AZusg,829680,832790,because all i need is you
ToeYJ3AZusg,832790,834880,[Music]
ToeYJ3AZusg,834880,837440,hello
ToeYJ3AZusg,837920,840240,granny solid experience indigo
ToeYJ3AZusg,840240,843120,inexpensive
ToeYJ3AZusg,850450,857089,[Music]
ToeYJ3AZusg,859660,863449,[Music]
ToeYJ3AZusg,878560,881199,my friend you look familiar i think you
ToeYJ3AZusg,881199,884839,look like chinese
ToeYJ3AZusg,910079,912560,i'm sorry my brother it was just a jolly
ToeYJ3AZusg,912560,914639,since joke i love you it was a great
ToeYJ3AZusg,914639,916720,time being with you my friend
ToeYJ3AZusg,916720,918720,after diving
ToeYJ3AZusg,918720,920800,in
ToeYJ3AZusg,922639,925959,my equalized
ToeYJ3AZusg,950639,953639,foreign
ToeYJ3AZusg,978399,981399,is
ToeYJ3AZusg,987759,990759,me
ToeYJ3AZusg,991030,994220,[Music]
ToeYJ3AZusg,996160,998480,me
ToeYJ3AZusg,1000000,1001760,be free
ToeYJ3AZusg,1001760,1004860,[Music]
