vid,start,end,text
U05xAxCF_xY,0,1839,i just woke up
U05xAxCF_xY,1839,3919,i'm so tired
U05xAxCF_xY,3919,5839,and the problem is i forgot to do an
U05xAxCF_xY,5839,8639,intro to my blog so i'm doing it now
U05xAxCF_xY,8639,10960,we're in california but we went to
U05xAxCF_xY,10960,12160,florida
U05xAxCF_xY,12160,15200,okay we went to florida spent time with
U05xAxCF_xY,15200,16880,our family
U05xAxCF_xY,16880,18560,12 people in one house
U05xAxCF_xY,18560,20000,it was a lot
U05xAxCF_xY,20000,22240,it was a lot we had a really great time
U05xAxCF_xY,22240,24320,so i vlogged some like clippits and some
U05xAxCF_xY,24320,26560,moments from our trip to add in so you
U05xAxCF_xY,26560,28480,guys could you know experience some of
U05xAxCF_xY,28480,30560,that with us and at the end of the vlog
U05xAxCF_xY,30560,31760,it's going to be a real treat because i
U05xAxCF_xY,31760,34480,went to a halsey concert i actually sat
U05xAxCF_xY,34480,38399,there and vlogged so much and i deleted
U05xAxCF_xY,38399,40320,the footage
U05xAxCF_xY,40320,42239,no i then i went to my deletes last
U05xAxCF_xY,42239,44800,night to get the footage out and then
U05xAxCF_xY,44800,46399,get to be like oh my god i accidentally
U05xAxCF_xY,46399,49200,deleted this little gray piece of hair
U05xAxCF_xY,49200,50879,what's going on right here anyways i
U05xAxCF_xY,50879,53039,went to the deleted section to get the
U05xAxCF_xY,53039,55199,footage out of the deleted sections like
U05xAxCF_xY,55199,57039,oh my god you hit delete and i
U05xAxCF_xY,57039,59520,accidentally instead of hit
U05xAxCF_xY,59520,61840,like recover
U05xAxCF_xY,61840,65198,i hit delete guys what an absolute
U05xAxCF_xY,65198,67600,and i permanently deleted the end of my
U05xAxCF_xY,67600,70080,vlog and i forgot to do an intro i'm a
U05xAxCF_xY,70080,72400,wreck this week but technically this is
U05xAxCF_xY,72400,74640,the week that i got back so this is
U05xAxCF_xY,74640,77840,gonna be the intro welcome vlog family
U05xAxCF_xY,77840,79520,you guys know the real t you guys know
U05xAxCF_xY,79520,81040,what's going on thank you for watching
U05xAxCF_xY,81040,83439,my vlogs and i feel like we're gonna
U05xAxCF_xY,83439,85280,jump in have you told them that we are
U05xAxCF_xY,85280,87439,renovating our bathroom oh my god we're
U05xAxCF_xY,87439,89360,renovating our bathrooms we're driving
U05xAxCF_xY,89360,91200,around right now to like you know the
U05xAxCF_xY,91200,92960,house because they're jackhammering and
U05xAxCF_xY,92960,94640,sawing
U05xAxCF_xY,94640,96560,it's not a good place to be i have my
U05xAxCF_xY,96560,99680,cat's locked up in a safe space where we
U05xAxCF_xY,99680,100960,feel like
U05xAxCF_xY,100960,103280,they can't hear the noise as much
U05xAxCF_xY,103280,105680,so i'm trying to work it all out okay
U05xAxCF_xY,105680,107680,it's a week of demolition
U05xAxCF_xY,107680,109439,it's pretty gnarly
U05xAxCF_xY,109439,112399,yeah that's what's going on this week on
U05xAxCF_xY,112399,114560,keeping up let's jump into the vlog
U05xAxCF_xY,114560,117438,come to florida with us
U05xAxCF_xY,120079,122320,welcome to the grocery store with me we
U05xAxCF_xY,122320,123360,are
U05xAxCF_xY,123360,126479,shopping today for
U05xAxCF_xY,126479,128959,the family so first stop is the grocery
U05xAxCF_xY,128959,131360,store we're picking up i'm gonna make
U05xAxCF_xY,131360,133200,some set of peppers i feel like
U05xAxCF_xY,133200,134959,everybody would like those if i cook
U05xAxCF_xY,134959,136239,them in the skillet i have to get soy
U05xAxCF_xY,136239,138480,sauce though so right now we're getting
U05xAxCF_xY,138480,140640,all the groceries for
U05xAxCF_xY,140640,143280,um everybody come shopping with us
