vid,start,end,text
UEspLh8UqlM,1230,9679,[Music]
UEspLh8UqlM,9679,11599,hello
UEspLh8UqlM,11599,12880,hi
UEspLh8UqlM,12880,13920,so
UEspLh8UqlM,13920,15280,the rule
UEspLh8UqlM,15280,18000,nina is gonna choose three
UEspLh8UqlM,18000,19359,outfits
UEspLh8UqlM,19359,22320,and then it's like only ten minutes to
UEspLh8UqlM,22320,26320,choose okay so we're in the
UEspLh8UqlM,26320,28720,shop and he now needs to choose three
UEspLh8UqlM,28720,31279,outfits for you in
UEspLh8UqlM,31279,34719,10 minutes okay this is the yes young
UEspLh8UqlM,34719,36000,challenge
UEspLh8UqlM,36000,38719,timer starts
UEspLh8UqlM,38719,39840,now
UEspLh8UqlM,39840,41760,[Music]
UEspLh8UqlM,41760,44640,wow are you
UEspLh8UqlM,47540,50750,[Music]
UEspLh8UqlM,57039,59760,views pants and then this shirt
UEspLh8UqlM,59760,61359,that's the challenge
UEspLh8UqlM,61359,64478,you have nine minutes and 39 seconds i
UEspLh8UqlM,64478,67679,like this one okay
UEspLh8UqlM,70000,73840,oh rolling stones okay
UEspLh8UqlM,76560,79119,pants or anything
UEspLh8UqlM,79119,82000,and damn entire
UEspLh8UqlM,82000,85680,pants or swords right there
UEspLh8UqlM,85680,87520,yeah that one
UEspLh8UqlM,87520,90560,or white maybe
UEspLh8UqlM,95040,98040,nina
UEspLh8UqlM,104210,110560,[Music]
UEspLh8UqlM,110560,112640,yeah i like this ripped jeans and tie
UEspLh8UqlM,112640,115840,dye that's cute
UEspLh8UqlM,116399,118799,okay
UEspLh8UqlM,119240,121360,[Music]
UEspLh8UqlM,121360,123439,you can lock the boys then if you want
UEspLh8UqlM,123439,127159,you can mix it
UEspLh8UqlM,141040,143680,but this one with this one
UEspLh8UqlM,143680,146450,amazing good good choice
UEspLh8UqlM,146450,148400,[Music]
UEspLh8UqlM,148400,152239,wow okay we got it okay how many saturn
UEspLh8UqlM,152239,154000,okay maybe i just
UEspLh8UqlM,154000,155120,okay
UEspLh8UqlM,155120,157960,lexie likes crop tops
UEspLh8UqlM,157960,159200,[Music]
UEspLh8UqlM,159200,162560,oh this one is cute
UEspLh8UqlM,164800,167200,okay
UEspLh8UqlM,169120,171840,you like that
UEspLh8UqlM,172360,176429,[Music]
UEspLh8UqlM,181440,185640,oh wow that's heat log
UEspLh8UqlM,193200,196060,okay
UEspLh8UqlM,196060,200189,[Music]
UEspLh8UqlM,206670,216528,[Music]
UEspLh8UqlM,219430,221120,[Music]
UEspLh8UqlM,221120,224840,we have four minutes
UEspLh8UqlM,229860,237489,[Music]
UEspLh8UqlM,237680,242000,yes you like this what calling
UEspLh8UqlM,242000,242380,it
UEspLh8UqlM,242380,246349,[Music]
UEspLh8UqlM,248799,250080,okay
UEspLh8UqlM,250080,251599,wow okay
UEspLh8UqlM,251599,252560,done
UEspLh8UqlM,252560,254879,you have four minutes back
UEspLh8UqlM,254879,257359,i'm good good okay
UEspLh8UqlM,257359,259120,now time to
UEspLh8UqlM,259120,261120,try it
UEspLh8UqlM,261120,262880,okay
UEspLh8UqlM,262880,266080,you think you like it yeah okay we'll
UEspLh8UqlM,266080,268400,see
UEspLh8UqlM,268400,270880,nina finish the challenge
UEspLh8UqlM,270880,273120,so now we're going to try it yeah good
UEspLh8UqlM,273120,276120,luck
UEspLh8UqlM,297600,298930,i succeeded
UEspLh8UqlM,298930,302069,[Music]
UEspLh8UqlM,311850,314910,[Music]
UEspLh8UqlM,317290,322960,[Music]
UEspLh8UqlM,322960,326479,yeah i like that this is nice
UEspLh8UqlM,326800,328160,good job
UEspLh8UqlM,328160,330639,i like it
UEspLh8UqlM,332960,337638,and this is the final look
UEspLh8UqlM,341050,347789,[Music]
UEspLh8UqlM,351360,352840,among the three outfits
UEspLh8UqlM,352840,354400,[Music]
UEspLh8UqlM,354400,355840,this one
UEspLh8UqlM,355840,358000,so great one to ten
UEspLh8UqlM,358000,361600,how much do you love this outfit
UEspLh8UqlM,362320,363759,[Music]
UEspLh8UqlM,363759,365199,okay
UEspLh8UqlM,365199,369440,all right time to pay for it nino
UEspLh8UqlM,371600,374600,haha
UEspLh8UqlM,382940,387120,[Music]
UEspLh8UqlM,390560,393880,oh yeah
UEspLh8UqlM,395200,402800,[Music]
UEspLh8UqlM,402800,405100,oh my god
UEspLh8UqlM,405100,406479,[Music]
UEspLh8UqlM,406479,409039,what do you
UEspLh8UqlM,410830,413039,[Music]
UEspLh8UqlM,413039,416280,thank you
UEspLh8UqlM,418080,422358,[Music]
UEspLh8UqlM,430000,433960,okay stay at home
UEspLh8UqlM,434110,437298,[Music]
UEspLh8UqlM,442560,444639,you
