vid,start,end,text
UeGgaEtQlgw,0,2370,ở nhà bác Tuyết hiện tại đang kinh doanh
UeGgaEtQlgw,2370,4740,các món đồ ăn vặt ở trên shopee đấy nhá
UeGgaEtQlgw,4740,6870,mọi người nếu đặt hàng ủng hộ cho bác
UeGgaEtQlgw,6870,9410,chưa Thôi nha
UeGgaEtQlgw,9530,13519,mạnh mẽ chặt vitamin xanh nó
UeGgaEtQlgw,13519,16350,lại được với cô như cả đều tóc là không
UeGgaEtQlgw,16350,19470,quen mà tôi nghe của icao này mà làm đôi
UeGgaEtQlgw,19470,21840,ba con trắng vẽ om dưa khoa dược của y
UeGgaEtQlgw,21840,25410,quá ngon Mẹ Thời đấy cũng làm được thời
UeGgaEtQlgw,25410,27570,buổi nào được còn đầu buồn xi măng tre
UeGgaEtQlgw,27570,31019,muốn con cá trắm à Tao mơ ngủ đi ngủ rồi
UeGgaEtQlgw,31019,35450,chứ làm sao còn mày Cô dạy có gì
UeGgaEtQlgw,38660,41690,làm nhà tôi đâu
UeGgaEtQlgw,41690,46280,cháu trai và cháu không được
UeGgaEtQlgw,46280,50239,bạn Hoa Này được mà
UeGgaEtQlgw,52590,53960,[âm nhạc]
UeGgaEtQlgw,53960,57030,chúng mình xin có khác như rồi khác rồi
UeGgaEtQlgw,57030,59840,làm người gì đâu ạ
UeGgaEtQlgw,59840,60010,[âm nhạc]
UeGgaEtQlgw,60010,62010,ô
UeGgaEtQlgw,79680,84060,ô chấp nhunghoang
UeGgaEtQlgw,84060,87129,[âm nhạc]
UeGgaEtQlgw,87630,90180,vào đây con nữa
UeGgaEtQlgw,90180,93269,[âm nhạc]
UeGgaEtQlgw,93630,96810,Con luôn
UeGgaEtQlgw,97110,99509,rất là con nữa
UeGgaEtQlgw,99509,104260,mày mày làm cách nào ạ
UeGgaEtQlgw,104260,107910,khi mua món bôi dáng
UeGgaEtQlgw,107910,110910,túi
UeGgaEtQlgw,111210,116110,lâu Thông A
UeGgaEtQlgw,119150,123170,ý tưởng bố mày đi ngủ đi Thằng chồng mày
UeGgaEtQlgw,123170,125470,bố đi
UeGgaEtQlgw,125470,128060,luôn hả Hai thằng mày cảm nhãn được thì
UeGgaEtQlgw,128060,131050,vào hết đây khử mùi
UeGgaEtQlgw,131530,134620,ấy cũng
UeGgaEtQlgw,135220,139270,may cả đã ăn được ăn như thế này tôi
UeGgaEtQlgw,139270,141940,coi cỡ
UeGgaEtQlgw,141940,144940,con
UeGgaEtQlgw,145600,152410,sói già nó vất nhá tao là gì Bạn
UeGgaEtQlgw,155440,158680,làm gì không
UeGgaEtQlgw,159080,159630,[âm nhạc]
UeGgaEtQlgw,159630,161440,[Vỗ tay]
UeGgaEtQlgw,161440,165680,mẹ ơi mẹ ơi mẹ ơi Cái gì anh cho người
UeGgaEtQlgw,165680,169640,yêu rồi à đi mày không đẹp trai như thế
UeGgaEtQlgw,169640,172610,này cũng không cầu như tao đánh cũng có
UeGgaEtQlgw,172610,174500,ngoài là chưa Ngủ rồi sao mà có người
UeGgaEtQlgw,174500,179160,yêu con có điều khác đi ăn gì điều dù à
UeGgaEtQlgw,179160,181160,ở
UeGgaEtQlgw,183720,188720,[âm nhạc]
UeGgaEtQlgw,188720,191190,nhà đất nước hiện tại đang kinh doanh
UeGgaEtQlgw,191190,193590,các món đồ ăn vặt ở trên shopee đấy nhá
UeGgaEtQlgw,193590,195690,mọi người nhớ đặt hàng ủng hộ cho bác
UeGgaEtQlgw,195690,198980,lớp thôi nha à
