vid,start,end,text
UygdYG6VcVk,79,4370,earlier lebih
UygdYG6VcVk,4400,9350,sedikit lagi sayang biar
UygdYG6VcVk,9590,13310,ketinggian dengan jumlah kita lagi-lagi
UygdYG6VcVk,13310,24890,[Musik]
UygdYG6VcVk,24890,26869,subscribe
UygdYG6VcVk,26869,31080,pencet tombol merah Kernel cepet-cepet
UygdYG6VcVk,31080,33050,Tunggul
UygdYG6VcVk,33050,35390,merah-merah sekarang juga
UygdYG6VcVk,35390,39390,percaya goyah
UygdYG6VcVk,45770,60380,[Musik]
UygdYG6VcVk,60380,63400,Hai masalah akhlak merupakan Apa itu
UygdYG6VcVk,63400,67490,antara sama ah ah ah ah
UygdYG6VcVk,67490,70710,[Musik]
UygdYG6VcVk,70710,73370,hai hai
UygdYG6VcVk,73370,75490,yang digunakan sebagai
UygdYG6VcVk,75490,77200,penciptanya
UygdYG6VcVk,77200,80740,menghilang itu tutupnya
UygdYG6VcVk,80860,84010,lillahi rohmani Rohim Allahumma
UygdYG6VcVk,84010,86980,bariklana Fima rozaktana Wakina
UygdYG6VcVk,86980,89420,azabannar dp-nya
UygdYG6VcVk,89420,90700,[Musik]
UygdYG6VcVk,90700,92100,Hai
UygdYG6VcVk,92100,98670,openingnya itu yang yang kena pintu mama
UygdYG6VcVk,100270,102090,di kos-kosan lagi
UygdYG6VcVk,102090,105630,matanya berair
UygdYG6VcVk,105970,109000,hai hahaha
UygdYG6VcVk,112400,118450,Hai Aa menembus sama siapa noh
UygdYG6VcVk,118450,120240,Hai main sama siapa
UygdYG6VcVk,120240,124590,Mbak mau ke
UygdYG6VcVk,124590,126780,ini dia daya makan sambil menenggak
UygdYG6VcVk,126780,130319,warnanya juga merah katanya iya baby
UygdYG6VcVk,130319,133140,makan jadinya Nadia akhirnya juga makan
UygdYG6VcVk,133140,134390,lebih memang
UygdYG6VcVk,134390,138650,ini udah lem
UygdYG6VcVk,138650,142590,membaca iya iya kayak ayah ayah ayah
UygdYG6VcVk,142590,145190,ayah ayah
UygdYG6VcVk,148519,153019,Iya sayang iya
UygdYG6VcVk,153370,155450,hai hai
UygdYG6VcVk,155450,157180,[Musik]
UygdYG6VcVk,157180,159239,ini
UygdYG6VcVk,160049,162599,memang
UygdYG6VcVk,162599,166469,siapa gold yang abu-abu
UygdYG6VcVk,166780,173480,[Musik]
UygdYG6VcVk,173579,179769,gubuk pinggir Abu biru banget eh buku
UygdYG6VcVk,179769,181139,tapi saya
UygdYG6VcVk,181139,184530,hubungi kalau sudah
UygdYG6VcVk,185710,189159,[Musik]
UygdYG6VcVk,192269,196139,siap breeding
UygdYG6VcVk,196850,202919,[Musik]
UygdYG6VcVk,202919,205799,44 hari ya
UygdYG6VcVk,205799,210000,hari ini ya oke
UygdYG6VcVk,210000,210770,Hai
UygdYG6VcVk,210770,214520,saat ini kelima ya nggak besok kepalanya
UygdYG6VcVk,214520,216470,Maulana
UygdYG6VcVk,216470,220280,pesawat hidup lagi apa Besok nginep lagi
UygdYG6VcVk,220280,223430,ngantuk banget
UygdYG6VcVk,223430,232019,[Musik]
UygdYG6VcVk,233180,237090,baru cuit nyamuk sini mana ada nyamuk
UygdYG6VcVk,237090,239960,Dede nggak ada nyamuk di sini
UygdYG6VcVk,239960,244250,Hai gadis ini masih percobaan ayah di
UygdYG6VcVk,244250,248320,sini adanya subsidi tinggi
UygdYG6VcVk,249820,250820,sebenarnya
UygdYG6VcVk,250820,253450,[Musik]
UygdYG6VcVk,253450,255790,tolol
UygdYG6VcVk,255790,259630,hehehe iya-iya
UygdYG6VcVk,259930,264400,aja hehehe
UygdYG6VcVk,264400,267080,iya iya bentar lagi ya dibuka bentar
UygdYG6VcVk,267080,269600,lagi uh
UygdYG6VcVk,269600,272650,[Musik]
UygdYG6VcVk,272650,274510,Iya bener
UygdYG6VcVk,274510,276969,ih ih
