vid,start,end,text
VVeGPOgJTus,0,5190,[Music]
VVeGPOgJTus,5190,13500,I want to say sighs yeah  [Music]  let's go yeah I don't know where she
VVeGPOgJTus,13500,20430,came from but goddamn I want to say song  see a dime wanna make her mine heard
VVeGPOgJTus,20430,26910,through the grapevine she a great time  yeah it should be a goddamn crime to
VVeGPOgJTus,26910,32940,look that damn fine  got a lock her up and throw away the key  or you can lock her up and get big
VVeGPOgJTus,32940,40110,cheese and let me take it down low down  low jump again to the ground though the  grand flow I just wanna go and explore
VVeGPOgJTus,40110,46589,and next blow baby I just want more I  want more got a pratical a star a rock
VVeGPOgJTus,46589,54780,star get it it is looking rock hard your  buck card I'll go put her on the roster  the roster she keeps on getting and
VVeGPOgJTus,54780,61719,Nocturne  she doesn't take it so she's putting on
VVeGPOgJTus,61719,68740,a show she's acting like a bro  [Music]
VVeGPOgJTus,68740,77369,she doesn't take his stuff she's putting  on a show she's at
VVeGPOgJTus,78890,81950,[Music]
VVeGPOgJTus,87510,90609,[Music]
VVeGPOgJTus,98800,104570,[Music]  oh she looked astray from the city oh
VVeGPOgJTus,104570,109970,man she looking so pretty goddamn I'd  like to get busy
VVeGPOgJTus,109970,117500,yeah so baby girl come with me yeah we  take it outside oh yeah wanna stay up
VVeGPOgJTus,117500,127550,all night oh yeah wanna get it alright  oh yeah on sight and she looked a little
VVeGPOgJTus,127550,137750,naughty but to say okay I wanna get a  drink just burns man I think I need a
VVeGPOgJTus,137750,144440,doctor be concerned cuz she got me hot  and I buried everything she learned  didn't get it from a doctor man you
VVeGPOgJTus,144440,153530,think I burn but she turns you to a she  doesn't take it she's putting on a show
VVeGPOgJTus,153530,158790,she's acting like a prom  [Music]
VVeGPOgJTus,158790,166070,she doesn't take his  she's putting on a song
VVeGPOgJTus,177860,180999,[Music]
VVeGPOgJTus,189150,192379,[Music]
VVeGPOgJTus,194410,198000,[Music]
VVeGPOgJTus,200610,222460,[Music]
VVeGPOgJTus,222460,229040,deep down know I'm a fighter deep down I  know my desires everybody thinks that  I'm just a liar they don't know what I
VVeGPOgJTus,229040,234560,got inside you I'm gonna fight fire with  fire I'm the type you never lets me get  tired mess with me and they never will
VVeGPOgJTus,234560,240980,find ya yeah but tell me I won't get it  you don't know me cuz I'm cold opening  always in the ninth I close and it's
VVeGPOgJTus,240980,247220,always in my mind y'all know quitting  I'm gonna be the one that blows up in it  you're gonna be the one that shows up  listen I'm gonna be the one that knows
VVeGPOgJTus,247220,253820,my mission you're gonna be the one with  no ambition come on make you take a  ticket ticket all cash you ain't ever  gonna give me a minute to test call me
VVeGPOgJTus,253820,259609,the two-step 40-yard dash always look  for it no never look back better listen  to my face to me up in the booth put
VVeGPOgJTus,259609,266120,them up in the bed that's what I do hard  work always ass in the pays that attack
VVeGPOgJTus,266120,276650,the way hurts real bad that you have to  attack what you want to attract or  you're gonna look back and regret what  you back Oh everybody knows sorry but
VVeGPOgJTus,276650,282140,you know just what they see on the  outside they don't know just what I'm
VVeGPOgJTus,282140,287840,like on the inside if you knew what I  could do you'd watch your backside if
VVeGPOgJTus,287840,293560,you knew what I could do you stay in  on this happy dude you don't wanna [ __ ]
VVeGPOgJTus,293560,300690,with I'm the type of dude enough is  enough fish I'm the type
VVeGPOgJTus,301360,308169,Oh  fake it or make  [Music]
VVeGPOgJTus,318700,321790,[Music]
VVeGPOgJTus,332479,339590,can escape from a toss like a black hole  can escape from these dots and these  [ __ ] too many people feeling  entitled too many people stay in idle
VVeGPOgJTus,339590,345169,man I work every day for the title and I  might get at that card is final the way  I think you could say is primal killer
VVeGPOgJTus,345169,350719,be killed  I'm not on booze no I'm gonna be the one  they choose though it would be the one  day lose huh
VVeGPOgJTus,350719,356300,way too busy ensues bro I'm gonna be the  one to rise up in it never gonna fall  that fight till I get it I was staying
VVeGPOgJTus,356300,361819,tall guy proud I'm grinning I don't  really think I'll ever find my limit can  I know that they don't wanna hate me but
VVeGPOgJTus,361819,367400,I see me on the glass I don't wanna eat
VVeGPOgJTus,367400,373909,your words on a vacation all the same  people never been complacent we were  working our memory on the same [ __ ] I'm
VVeGPOgJTus,373909,379520,not just a sinner I eat your dinner I'm  not a beginner  I'll paint your picture I got a guitar  and a plate that says everyday no I was
VVeGPOgJTus,379520,387039,"not like record either way we're not a  change to be burned out of  representation is everything about this  duality 10,000 hours to be [ __ ] me"
VVeGPOgJTus,387039,392719,just what they see on the outside they  don't know just what I'm like on the
VVeGPOgJTus,392719,398749,inside  if you knew what I could do you'd want  your backside if you knew what I could
VVeGPOgJTus,398749,406220,do you stand  on the Tiber Jews you don't wanna [ __ ]  with I'm the type of dude enough is
VVeGPOgJTus,406220,417959,enough [ __ ] I'm the type of girl who  never gets replaced  [Music]
VVeGPOgJTus,428440,431519,[Music]
VVeGPOgJTus,446950,453880,[Music]
VVeGPOgJTus,457500,478710,she's got some say your body
VVeGPOgJTus,479560,486330,[Music]
VVeGPOgJTus,506250,509329,[Music]
VVeGPOgJTus,514200,521289,she likes to keep the party way  these rumors got me feeling I want that
VVeGPOgJTus,521289,524669,body baby show me
VVeGPOgJTus,527610,533678,[Music]
VVeGPOgJTus,533980,588490,baby so man  [Music]
VVeGPOgJTus,592070,616180,[Music]
VVeGPOgJTus,616180,623700,she likes to keep the party  these rumors got me feeling I want that
VVeGPOgJTus,623700,629510,body baby show me she's got a body like
VVeGPOgJTus,632970,639928,[Music]  buddy baby so man
VVeGPOgJTus,641240,661550,[Music]
VVeGPOgJTus,661550,669940,[Applause]  [Music]
VVeGPOgJTus,673220,679480,[Music]  got a buddy
VVeGPOgJTus,679480,685820,[Applause]  [Music]
VVeGPOgJTus,685820,690910,[Applause]  [Music]  [Applause]
VVeGPOgJTus,690910,720680,[Music]
VVeGPOgJTus,720680,743730,until the sunrise stop too young way too
VVeGPOgJTus,743730,749520,much fun in the Sun when is q2 prom
VVeGPOgJTus,749520,755720,dance to our song dance on my gumshoe  the vice car
VVeGPOgJTus,779310,788070,it's too late now  I remember every
VVeGPOgJTus,789010,802490,and how careless  [Music]
VVeGPOgJTus,802490,860369,[Applause]  [Music]
VVeGPOgJTus,865650,879339,[Music]
