vid,start,end,text
VdLf4fihP78,3680,7080,fashion personality you can buy it's
VdLf4fihP78,7080,9090,what makes some people look fun and
VdLf4fihP78,9090,10650,fabulous and what makes most men in
VdLf4fihP78,10650,12690,their 20s wear variations of a plaid
VdLf4fihP78,12690,14790,button-up shirt every single day
VdLf4fihP78,14790,17130,listen I've decided I'm not even gonna
VdLf4fihP78,17130,18990,try I'm just gonna wear versions of this
VdLf4fihP78,18990,23039,until I'm dead that's it we buy a lot of
VdLf4fihP78,23039,25619,clothes in this country in 2013
VdLf4fihP78,25619,28439,Americans purchased on average 64 items
VdLf4fihP78,28439,30929,per person and were able to do that
VdLf4fihP78,30929,32460,because clothing is incredibly cheap
VdLf4fihP78,32460,34680,these days as you know if you've ever
VdLf4fihP78,34680,37079,turned on your TV in the morning the
VdLf4fihP78,37079,39059,price of this dress shocked a lot of
VdLf4fihP78,39059,45750,people in our office $39.99 LC by Lauren
VdLf4fihP78,45750,48780,Conrad $35 that's our music this is a
VdLf4fihP78,48780,52579,dress by Norma Kamali it is $24 get out
VdLf4fihP78,52579,57120,get out seriously get out security get
VdLf4fihP78,57120,59010,her out of here there is no way that
VdLf4fihP78,59010,64460,dress is $24 go yourself you lied to me
VdLf4fihP78,64460,67890,look for the consumer low prices are
VdLf4fihP78,67890,69510,fantastic and nowadays those clothes
VdLf4fihP78,69510,71610,will even look good because trendy
VdLf4fihP78,71610,73590,clothing is cheaper than ever and cheap
VdLf4fihP78,73590,75540,clothing is trendy than ever and this is
VdLf4fihP78,75540,77220,largely thanks to the rise of so-called
VdLf4fihP78,77220,79140,fast-fashion retailers that produce
VdLf4fihP78,79140,81420,stylish incredibly low cost clothing
VdLf4fihP78,81420,85350,like H&M Zara and forever 21 the brand
VdLf4fihP78,85350,87299,that enables Midwestern tweens to dress
VdLf4fihP78,87299,89280,like 40 something alcoholics attending
VdLf4fihP78,89280,90630,the funeral over Tel Aviv nightclub
VdLf4fihP78,90630,91729,owner
VdLf4fihP78,91729,96060,it's a powerful look and a big part of
VdLf4fihP78,96060,97799,all these brands appeal is that there's
VdLf4fihP78,97799,99869,always something new to buy just look at
VdLf4fihP78,99869,102899,H&M s rate of turnover stores are
VdLf4fihP78,102899,105329,replenished daily from the streets to
VdLf4fihP78,105329,107850,the runway the latest trends are scoured
VdLf4fihP78,107850,111310,and can go from a sketch to the rack in
VdLf4fihP78,111310,113439,little as three weeks we have new
VdLf4fihP78,113439,115689,garments coming into the stores almost
VdLf4fihP78,115689,117549,every day so if you go to an H&M store
VdLf4fihP78,117549,119439,today and come back to this later you
VdLf4fihP78,119439,123009,will always find something new yes one
VdLf4fihP78,123009,124570,day maybe you will find a shirt and it
VdLf4fihP78,124570,126430,shares rising swag
VdLf4fihP78,126430,128380,maybe next day you'll find shirt with
VdLf4fihP78,128380,131319,pardon my swag and make me next day
VdLf4fihP78,131319,133030,after that you find cocaine dusted copy
VdLf4fihP78,133030,134650,of nylon magazine in a fitting room
VdLf4fihP78,134650,139989,something new at H&M always always a to
VdLf4fihP78,139989,142599,those prices are so competitive that a
VdLf4fihP78,142599,144549,few years back they put out a dress that
VdLf4fihP78,144549,149110,cost just $4.95 think about that that
VdLf4fihP78,149110,150610,means you could take a five dollar bill
VdLf4fihP78,150610,153430,scotch tape it over your genitals and
VdLf4fihP78,153430,155380,you'd be wearing a more expensive piece
VdLf4fihP78,155380,158860,of clothing I went online and a jar of
VdLf4fihP78,158860,162580,crickets food costs $5 a bunch of weird
VdLf4fihP78,162580,165190,orange cubes you feed to a bug a worth
VdLf4fihP78,165190,167709,five cents more than this dress that
VdLf4fihP78,167709,170349,dress is only seven cents more than a
VdLf4fihP78,170349,173519,DVD of the ghosts of Girlfriends Past
VdLf4fihP78,173519,178440,inexpensive DVD raves variety and yes
VdLf4fihP78,178440,181420,some how fast fashion companies are
VdLf4fihP78,181420,183850,massively profitable the chairman of H&M
VdLf4fihP78,183850,186700,is the 28th richest person in the world
