vid,start,end,text
VitvWa7qtLo,2080,3439,hey how much are they painting oh a
VitvWa7qtLo,3439,4160,hundred dollars
VitvWa7qtLo,4160,6640,cool super great thank you have a good
VitvWa7qtLo,6640,8879,night
VitvWa7qtLo,10800,14240,this is a really good deal actually
VitvWa7qtLo,15519,18400,this is art illusions with zhc all right
VitvWa7qtLo,18400,20160,so if you are watching this on youtube
VitvWa7qtLo,20160,21279,you probably already know
VitvWa7qtLo,21279,24160,zhc and the amazing art that they do so
VitvWa7qtLo,24160,25680,for the first illusion
VitvWa7qtLo,25680,27279,we have a question for you and it's how
VitvWa7qtLo,27279,29119,many iphones are on the table
VitvWa7qtLo,29119,31119,and chc and his team did the amazing art
VitvWa7qtLo,31119,32719,on these you guys surprised me on your
VitvWa7qtLo,32719,33840,video with this one
VitvWa7qtLo,33840,35680,and i was pointing out like it's a
VitvWa7qtLo,35680,37280,little throwback to vine so why don't we
VitvWa7qtLo,37280,38640,tell them how many iphones are really on
VitvWa7qtLo,38640,39200,the table
VitvWa7qtLo,39200,42079,there are only three iphones one over
VitvWa7qtLo,42079,43360,here
VitvWa7qtLo,43360,46160,this one's an iphone and this one's an
VitvWa7qtLo,46160,46879,iphone
VitvWa7qtLo,46879,49840,which leaves this one over here to be
VitvWa7qtLo,49840,50320,just an
VitvWa7qtLo,50320,53600,image of an iphone as you can see
VitvWa7qtLo,53600,55840,it's not not really there okay next
VitvWa7qtLo,55840,56879,illusion
VitvWa7qtLo,56879,58800,so speaking of hidden images my team and
VitvWa7qtLo,58800,60399,i actually did an art illusion
VitvWa7qtLo,60399,62719,in this room can you see it you can't
VitvWa7qtLo,62719,64559,see it fully from this camera position
VitvWa7qtLo,64559,66080,we've gotta go all the way over here
VitvWa7qtLo,66080,67520,we've gotta travel down
VitvWa7qtLo,67520,69200,for the perfect perspective and i've
VitvWa7qtLo,69200,72320,gotta lift up this laptop
VitvWa7qtLo,72320,73680,how crazy is that when it comes together
VitvWa7qtLo,73680,76080,that's so cool you now for some bowling
VitvWa7qtLo,76080,79520,let's do this okay so we thought it'd be
VitvWa7qtLo,79520,80960,fun to set up a little art illusion
VitvWa7qtLo,80960,82479,bowling alley in the front yard to see
VitvWa7qtLo,82479,83360,which zach
VitvWa7qtLo,83360,85200,is better at bowling and we've got some
VitvWa7qtLo,85200,86880,custom balls here i've got a dragon on
VitvWa7qtLo,86880,88320,mine looks like a chinese dragon
VitvWa7qtLo,88320,90720,i have cones on my bowling ball traffic
VitvWa7qtLo,90720,92159,cone and an ice cream cone
VitvWa7qtLo,92159,93680,nice i'll let you do the honors you pick
VitvWa7qtLo,93680,95360,which alley you want to bowl from uh
VitvWa7qtLo,95360,97520,this one looks a little bit messed up so
VitvWa7qtLo,97520,99520,i'll go with this one okay do you want
VitvWa7qtLo,99520,102479,to go first sure
VitvWa7qtLo,104720,106560,that's not bad oh well split i can work
VitvWa7qtLo,106560,108479,with that that's pretty good
VitvWa7qtLo,108479,111280,but watch this
VitvWa7qtLo,112479,116159,hey whoa how'd that happen i did say
VitvWa7qtLo,116159,119920,it was an art illusion bowling alley
VitvWa7qtLo,121119,122799,so the question here is which one of
VitvWa7qtLo,122799,125040,these is not really a fruit
VitvWa7qtLo,125040,128239,we'll give you three seconds three two
VitvWa7qtLo,128239,131520,one all right so this one this banana is
VitvWa7qtLo,131520,133120,really a fruit
VitvWa7qtLo,133120,135440,this tomato is really a fruit even
VitvWa7qtLo,135440,137440,though that is debatable
VitvWa7qtLo,137440,140879,and this apple it is a drawing
VitvWa7qtLo,140879,145200,of a fruit did you get right
VitvWa7qtLo,145520,147360,so the question is which cake would you
VitvWa7qtLo,147360,149520,rather eat we have a blue cake with lots
VitvWa7qtLo,149520,150239,of candles
VitvWa7qtLo,150239,152560,and a pink cake with a lollipop at the
VitvWa7qtLo,152560,154319,top which one would you have
VitvWa7qtLo,154319,155920,i'd probably go for the blue one they
VitvWa7qtLo,155920,157599,both look good so you'd have a piece of
VitvWa7qtLo,157599,158400,paper though
VitvWa7qtLo,158400,160640,and i would be over here eating a real
VitvWa7qtLo,160640,162879,cake
VitvWa7qtLo,164480,166480,so the question here is which mug holds
VitvWa7qtLo,166480,169519,more tea is it this first mug
VitvWa7qtLo,169519,172480,where's the second mug
VitvWa7qtLo,172800,175920,oh well it's definitely this one it's so
VitvWa7qtLo,175920,176319,big
VitvWa7qtLo,176319,177680,and we've got some amazing art we've got
VitvWa7qtLo,177680,180239,a snake an owl and an adorable little
VitvWa7qtLo,180239,181360,bunny on there
VitvWa7qtLo,181360,183120,and zach do you like sugar in your teeth
VitvWa7qtLo,183120,185840,yes please
VitvWa7qtLo,186000,189120,oh it's so massive
VitvWa7qtLo,189519,191840,so we've got some art illusions here and
VitvWa7qtLo,191840,193120,we want to see if you can find the
VitvWa7qtLo,193120,194000,hidden images
VitvWa7qtLo,194000,196000,so this first one i think they know what
VitvWa7qtLo,196000,198159,that is you know what do you see first i
VitvWa7qtLo,198159,198560,saw
VitvWa7qtLo,198560,201360,the rhino first the rhino that's so
VitvWa7qtLo,201360,202319,funny because i always see
VitvWa7qtLo,202319,203840,the dog so if they don't see it it's
VitvWa7qtLo,203840,205840,like from this way it looks like a rhino
VitvWa7qtLo,205840,207120,with the horn
VitvWa7qtLo,207120,208560,and then this way it's a little puppy
VitvWa7qtLo,208560,211280,it's a purple puppy the purple puppy
VitvWa7qtLo,211280,214560,all right for this next art illusion
VitvWa7qtLo,214560,216879,what do you see comment down below so
VitvWa7qtLo,216879,218239,it's two animals again
VitvWa7qtLo,218239,220799,we've got a whale and an elephant what
VitvWa7qtLo,220799,222000,do you see first
VitvWa7qtLo,222000,223440,i saw the whale first yeah i see the
VitvWa7qtLo,223440,225280,wheel first too the whale looks sleepy
VitvWa7qtLo,225280,227280,yeah he's got that droop under here yeah
VitvWa7qtLo,227280,228959,this is a fun one this is one of my
VitvWa7qtLo,228959,230319,favorites there's two things that you're
VitvWa7qtLo,230319,231680,supposed to see in this image
VitvWa7qtLo,231680,233599,and see if they got it the first one is
VitvWa7qtLo,233599,235760,looks like pablo picasso or some
VitvWa7qtLo,235760,237599,ancient guy and then we've got on the
VitvWa7qtLo,237599,239599,other side
VitvWa7qtLo,239599,240879,the sailboat and i don't think people
VitvWa7qtLo,240879,242080,realize there's like a little dude on
VitvWa7qtLo,242080,242720,there yeah
VitvWa7qtLo,242720,244560,the other man's which is super weird
