vid,start,end,text
VjAKeduaURc,11950,13360,[Música]
VjAKeduaURc,13360,15870,y
VjAKeduaURc,18940,21130,[Música]
VjAKeduaURc,21130,24578,la esma
VjAKeduaURc,27820,34390,a máquina
VjAKeduaURc,35739,39910,me gusta
VjAKeduaURc,39910,48370,[Música]
VjAKeduaURc,48370,55390,a mí
VjAKeduaURc,56840,64290,[Música]
VjAKeduaURc,66440,67750,[Música]
VjAKeduaURc,67750,72280,la máquina
VjAKeduaURc,75680,80030,[Música]
VjAKeduaURc,80030,83030,soy
VjAKeduaURc,84830,86300,[Música]
VjAKeduaURc,86300,91700,el tuyo
VjAKeduaURc,94260,99320,[Música]
VjAKeduaURc,99320,106420,la ley
VjAKeduaURc,106420,111619,[Música]
VjAKeduaURc,111619,116360,flor y vendiendo
VjAKeduaURc,118420,120619,[Música]
VjAKeduaURc,120619,124040,la esma
VjAKeduaURc,128060,133340,[Música]
VjAKeduaURc,134840,140209,en mi caso se crece
VjAKeduaURc,141360,144479,[Música]
VjAKeduaURc,146760,149819,[Música]
VjAKeduaURc,153650,161549,[Música]
VjAKeduaURc,172590,180580,[Música]
VjAKeduaURc,181310,184310,zoellick
VjAKeduaURc,186410,190259,[Música]
VjAKeduaURc,196700,199760,[Música]
VjAKeduaURc,200290,204579,o no
VjAKeduaURc,205510,213250,en nueve meses
VjAKeduaURc,215550,218669,[Música]
VjAKeduaURc,224130,227380,[Música]
VjAKeduaURc,230790,237028,[Música]
