vid,start,end,text
VxoXfpr6spc,560,2159,as of recent i have been speedrunning
VxoXfpr6spc,2159,4799,minecraft java edition version 1.16 as a
VxoXfpr6spc,4799,6160,means of mastering a game i've been
VxoXfpr6spc,6160,7839,playing for almost a decade now i have
VxoXfpr6spc,7839,9360,found solace in speedrunning by being
VxoXfpr6spc,9360,10960,able to adapt to your environments and
VxoXfpr6spc,10960,12320,to test your game knowledge as the
VxoXfpr6spc,12320,14240,forefront in improving one's time by no
VxoXfpr6spc,14240,15759,means am i the best speedrunner of all
VxoXfpr6spc,15759,17760,time and have only pb'd at 50 minutes in
VxoXfpr6spc,17760,19520,hopes of getting a sub 30 one day
VxoXfpr6spc,19520,21439,however the other day i was recommended
VxoXfpr6spc,21439,23039,a video that detailed the inner workings
VxoXfpr6spc,23039,24960,of minecraft education edition in which
VxoXfpr6spc,24960,26800,i thought to myself i wonder how speed
VxoXfpr6spc,26800,28400,running minecraft education edition
VxoXfpr6spc,28400,30320,would go and if that's even possible
VxoXfpr6spc,30320,32000,with that thought i downloaded minecraft
VxoXfpr6spc,32000,34239,education edition loaded up a world and
VxoXfpr6spc,34239,36399,set foot on a quest a quest in which i
VxoXfpr6spc,36399,39920,was not aware of what lied ahead
VxoXfpr6spc,40800,42399,so the second that the world started i
VxoXfpr6spc,42399,44160,did the exact same thing as always i
VxoXfpr6spc,44160,46719,mined a tree got stone tools and looted
VxoXfpr6spc,46719,47760,a village
VxoXfpr6spc,47760,49520,and upon reaching that village i began
VxoXfpr6spc,49520,51039,to notice some differences in the game's
VxoXfpr6spc,51039,53120,mechanics opposed to java edition for
VxoXfpr6spc,53120,54719,starters the hoe didn't mind the hay
VxoXfpr6spc,54719,56879,bales at the now buff speeds and my axe
VxoXfpr6spc,56879,58800,crits never had to recharge nor crack
VxoXfpr6spc,58800,61199,the iron golem at this moment i realized
VxoXfpr6spc,61199,62800,that this was the old combat mechanics
VxoXfpr6spc,62800,64239,and that bedrock edition was the source
VxoXfpr6spc,64239,66240,for education edition with his new gain
VxoXfpr6spc,66240,68159,knowledge i set forth looking for a lava
VxoXfpr6spc,68159,69920,pool yet my mind was constantly trying
VxoXfpr6spc,69920,71280,to think of the differences that lied
VxoXfpr6spc,71280,73119,ahead of the run after what felt like
VxoXfpr6spc,73119,75040,forever in speed run terms i found a
VxoXfpr6spc,75040,76640,lava pool that just so happened to be
VxoXfpr6spc,76640,78799,the exact size and lava needed in order
VxoXfpr6spc,78799,80640,to create another portal and upon
VxoXfpr6spc,80640,82560,completion set my spawn point as a
VxoXfpr6spc,82560,84840,precautionary of course and entered the
VxoXfpr6spc,84840,86640,nether
VxoXfpr6spc,86640,88400,and another fortress at the same time
VxoXfpr6spc,88400,90159,the next step in completing this run is
VxoXfpr6spc,90159,92159,obviously to obtain blaze rods in order
VxoXfpr6spc,92159,93920,to create eyes of enders to locate the
VxoXfpr6spc,93920,96640,end portal as time went on my inability
VxoXfpr6spc,96640,98320,to locate a blaze spawner led me to
VxoXfpr6spc,98320,100159,believe that a blaze spawner didn't
VxoXfpr6spc,100159,102159,spawn in another fortress as a means of
VxoXfpr6spc,102159,103680,not letting kids who are at school
VxoXfpr6spc,103680,105759,obviously to beat minecraft when they
VxoXfpr6spc,105759,107360,should be paying attention to a coding
VxoXfpr6spc,107360,109439,lesson fortunately for myself when that
VxoXfpr6spc,109439,110960,thought entered my mind i instantly
VxoXfpr6spc,110960,112560,found a blaze spawner and couldn't have
VxoXfpr6spc,112560,114640,been more relieved that i was wrong yet
VxoXfpr6spc,114640,116479,my troubles only seemed to increase from
VxoXfpr6spc,116479,118719,here you see as i killed the last couple
VxoXfpr6spc,118719,120640,of blazes that i needed i realized what
VxoXfpr6spc,120640,122880,seemed so off from the beginning the hoe
VxoXfpr6spc,122880,124240,didn't seem to mind the hay bale
VxoXfpr6spc,124240,126000,accordingly because it was an older
VxoXfpr6spc,126000,128800,version of minecraft as that sadly sank
VxoXfpr6spc,128800,130479,in i looked around for gold on the
VxoXfpr6spc,130479,132400,ceilings in desperation and the walls of
VxoXfpr6spc,132400,133520,the nether
VxoXfpr6spc,133520,135280,and there was not a single piece of gold
VxoXfpr6spc,135280,138239,to be found 1.16 wasn't in this edition
VxoXfpr6spc,138239,140239,of minecraft my go-to method of
VxoXfpr6spc,140239,142239,speedrunning didn't apply here as there
VxoXfpr6spc,142239,143680,were no means of getting pearls by
VxoXfpr6spc,143680,145440,trading gold with piglens
VxoXfpr6spc,145440,147920,i began to panic and think of a solution
VxoXfpr6spc,147920,150000,as i left another knowing there was
VxoXfpr6spc,150000,151760,nothing left for me there i decided to
VxoXfpr6spc,151760,153680,run in one direction in hopes of finding
VxoXfpr6spc,153680,155280,an enderman to kill in order to make a
VxoXfpr6spc,155280,157280,single eye of ender to at least know the
VxoXfpr6spc,157280,158959,direction i should be running towards
VxoXfpr6spc,158959,160879,the first enderman didn't drop a pearl
VxoXfpr6spc,160879,162319,but instantly afterwards my
VxoXfpr6spc,162319,163920,disappointment was relieved and i found
VxoXfpr6spc,163920,165760,another one and upon killing it it
VxoXfpr6spc,165760,167040,dropped a pearl
VxoXfpr6spc,167040,169440,i created a single eye of ender threw it
VxoXfpr6spc,169440,172560,and then watched it break into pieces
VxoXfpr6spc,172560,173760,soon after heading towards that
VxoXfpr6spc,173760,175280,direction i found a desert and
VxoXfpr6spc,175280,176800,remembered old speed runs involved
VxoXfpr6spc,176800,178720,creating boats sitting in a desert at
VxoXfpr6spc,178720,180400,night and killing endermen in order to
VxoXfpr6spc,180400,182319,obtain pearls i tried this method and
VxoXfpr6spc,182319,184319,had absolutely no luck which i now
VxoXfpr6spc,184319,186319,accredit to the strange occurrences of
VxoXfpr6spc,186319,187920,entities spawning in a chunk by chunk
VxoXfpr6spc,187920,190239,basis which is identical to bedrocks
VxoXfpr6spc,190239,192000,after a grueling walk through the desert
VxoXfpr6spc,192000,194000,i was in between a temple and a savannah
VxoXfpr6spc,194000,195519,village i then realized the method of
VxoXfpr6spc,195519,198000,speedrunning prior to 1.16 was through
VxoXfpr6spc,198000,199840,trading with villagers for emeralds with
VxoXfpr6spc,199840,201840,sticks these sticks were then traded
VxoXfpr6spc,201840,203840,with another villager that gave you
VxoXfpr6spc,203840,205920,pearls i then decided to rate the temple
VxoXfpr6spc,205920,207440,of its resources in hopes of getting
VxoXfpr6spc,207440,209599,better gear and its tnt as well as to
VxoXfpr6spc,209599,211040,sleep right before entering the village
VxoXfpr6spc,211040,213040,to avoid a villager dying to a zombie
VxoXfpr6spc,213040,214319,since i didn't know the process of
VxoXfpr6spc,214319,215920,trading for pearls i looked up a youtube
VxoXfpr6spc,215920,217920,video watched it as i had difficulties
VxoXfpr6spc,217920,219680,corralling villagers accidentally
VxoXfpr6spc,219680,221680,hitting them and the tiresome burden of
VxoXfpr6spc,221680,223120,changing their professions once i
VxoXfpr6spc,223120,224879,managed to start the trading process i
VxoXfpr6spc,224879,226400,realized this process was going to take
VxoXfpr6spc,226400,228720,a long time maybe i did it wrong or
VxoXfpr6spc,228720,230640,should have reset them constantly but i
VxoXfpr6spc,230640,232799,wasn't risking it after being 40 minutes
VxoXfpr6spc,232799,234959,into the run after another 20 minutes of
VxoXfpr6spc,234959,236879,repeating the cycle of trading sticks
VxoXfpr6spc,236879,239120,with villagers getting a pearl
VxoXfpr6spc,239120,241040,destroying their entire life's work
VxoXfpr6spc,241040,242640,wondering why the stupid green villager
VxoXfpr6spc,242640,244720,wouldn't aid me in my quest i finally
VxoXfpr6spc,244720,246560,got the needed 12 ender pearls to finish
VxoXfpr6spc,246560,248480,my run however i wanted more ender
VxoXfpr6spc,248480,250159,pearls as a safety net and repeated the
VxoXfpr6spc,250159,252560,cycle once more once obtaining the 14
VxoXfpr6spc,252560,253760,enter pearls they set off to the
VxoXfpr6spc,253760,255519,stronghold without freeing them and
