vid,start,end,text
WbA9OSW_WEo,160,1920,welcome to beat source tech my name is
WbA9OSW_WEo,1920,3919,mo jax and today we are looking at a
WbA9OSW_WEo,3919,6399,brand new analog rotary mixer this
WbA9OSW_WEo,6399,9120,always gets me excited but today i'm
WbA9OSW_WEo,9120,11679,double excited because this product
WbA9OSW_WEo,11679,14480,marks the return to the dj scene of a
WbA9OSW_WEo,14480,16160,company who've not been involved with it
WbA9OSW_WEo,16160,18800,for quite a long time we are looking at
WbA9OSW_WEo,18800,21110,the echola warm 2.
WbA9OSW_WEo,21110,24190,[Music]
WbA9OSW_WEo,24240,26480,spanish manufacturer ekla began making
WbA9OSW_WEo,26480,29519,dj mixers in the 1970s and dropped some
WbA9OSW_WEo,29519,31920,highly memorable designs over the years
WbA9OSW_WEo,31920,34719,like the modular sklat series the mac
WbA9OSW_WEo,34719,37360,club mixers and the rather quirky smack
WbA9OSW_WEo,37360,39600,line with angled up faders viewers of
WbA9OSW_WEo,39600,41280,this channel might be more familiar with
WbA9OSW_WEo,41280,43680,the new line more on those later and the
WbA9OSW_WEo,43680,45520,hack battle mixers which are often
WbA9OSW_WEo,45520,47280,spoken of in hushed tones by
WbA9OSW_WEo,47280,49680,turntablists who are in the know back in
WbA9OSW_WEo,49680,51760,the day i often heard them described as
WbA9OSW_WEo,51760,53920,the reign of europe and that makes a lot
WbA9OSW_WEo,53920,55920,of sense they were built locally had
WbA9OSW_WEo,55920,58239,designs unlike anyone else's and were
WbA9OSW_WEo,58239,60160,well renowned for their sound quality
WbA9OSW_WEo,60160,62160,but after the last hack model was
WbA9OSW_WEo,62160,64400,released a whopping 13 years ago the
WbA9OSW_WEo,64400,66799,company pulled out of the dj market and
WbA9OSW_WEo,66799,68240,most thought that was the end of the
WbA9OSW_WEo,68240,71119,story but a new chapter has begun as
WbA9OSW_WEo,71119,72960,earlier this year eckler announced the
WbA9OSW_WEo,72960,75840,warm 2 a two-channel analog rotary mixer
WbA9OSW_WEo,75840,78560,it sells for around 650 euros which
WbA9OSW_WEo,78560,81119,translates to around 730
WbA9OSW_WEo,81119,82560,and that means it isn't the cheapest
WbA9OSW_WEo,82560,84479,rotary on the market but it comes in
WbA9OSW_WEo,84479,86000,comfortably below the next most
WbA9OSW_WEo,86000,87759,affordable option the master sounds
WbA9OSW_WEo,87759,90079,radius 2 which clocks in at just over a
WbA9OSW_WEo,90079,92000,thousand dollars looking at the mixer
WbA9OSW_WEo,92000,93920,itself you are clearly getting quite a
WbA9OSW_WEo,93920,96159,lot for your money construction is solid
WbA9OSW_WEo,96159,98079,metal all around for the cabinet with
WbA9OSW_WEo,98079,99759,different textures on the top and the
WbA9OSW_WEo,99759,101759,other panels which i like overall i
WbA9OSW_WEo,101759,103759,think the build is very solid indeed and
WbA9OSW_WEo,103759,105840,everything on there feels durable and
WbA9OSW_WEo,105840,107280,although i don't normally mention
WbA9OSW_WEo,107280,109280,warranties the fact that the warm 2 has
WbA9OSW_WEo,109280,111600,a 3 year one speaks volumes about their
WbA9OSW_WEo,111600,113439,confidence in the product it's also
WbA9OSW_WEo,113439,115200,still built in spain like their older
WbA9OSW_WEo,115200,117680,mixers were which is always nice to see
WbA9OSW_WEo,117680,119600,the wooden side panels are a very
WbA9OSW_WEo,119600,122000,popular aftermarket upgrade for rotary
WbA9OSW_WEo,122000,124159,heads so it's nice to see them fitted as
WbA9OSW_WEo,124159,126320,stock here although if like me you don't
WbA9OSW_WEo,126320,127759,find them to match your personal
WbA9OSW_WEo,127759,130239,aesthetic they are easily removed taking
WbA9OSW_WEo,130239,131840,them off will make the mixer even more
WbA9OSW_WEo,131840,133840,narrow and that is worth noting although
WbA9OSW_WEo,133840,135760,it's fairly long front to back the warm
WbA9OSW_WEo,135760,138239,2 really is remarkably skinny even with
WbA9OSW_WEo,138239,140319,the wood panels on this is handy from a
WbA9OSW_WEo,140319,142560,portability perspective for sure but i
WbA9OSW_WEo,142560,144480,didn't find myself feeling cramped there
WbA9OSW_WEo,144480,146560,is plenty of room to work with in terms
WbA9OSW_WEo,146560,149120,of measurements it's 18.5 centimeters
WbA9OSW_WEo,149120,152000,wide with the wood panels and 16.5
WbA9OSW_WEo,152000,153920,centimeters without not far off the
WbA9OSW_WEo,153920,156560,vestax 06 for reference we'll move on to
WbA9OSW_WEo,156560,158400,the controls which are perhaps a little
WbA9OSW_WEo,158400,160560,controversial the main rotary knobs and
WbA9OSW_WEo,160560,163120,the isolator feature alps blue velvet
WbA9OSW_WEo,163120,165360,pots a highly regarded classic choice
WbA9OSW_WEo,165360,167440,found on many high-end devices but the
WbA9OSW_WEo,167440,170480,rest of the pots the eqs etc are plastic
WbA9OSW_WEo,170480,172400,and this has rubbed a few people the
WbA9OSW_WEo,172400,174319,wrong way i've spoken to a couple of
WbA9OSW_WEo,174319,176080,warm two owners who feel that they just
WbA9OSW_WEo,176080,178159,have a little too much wobble and they
WbA9OSW_WEo,178159,180400,find it disconcerting now i've referred
WbA9OSW_WEo,180400,182480,to this a few times before but some
WbA9OSW_WEo,182480,184239,years ago i had a conversation with
WbA9OSW_WEo,184239,186319,rayne about the use of plastic pots and
WbA9OSW_WEo,186319,188159,they convinced me that there are some
WbA9OSW_WEo,188159,190319,sound engineering reasons to use them
WbA9OSW_WEo,190319,192319,for some applications i will always
WbA9OSW_WEo,192319,194560,prefer the feel of a solid metal pot
WbA9OSW_WEo,194560,196480,bolted to a face plate but that's not
WbA9OSW_WEo,196480,197760,really relevant when you're talking
WbA9OSW_WEo,197760,200080,about performance and so this is where i
WbA9OSW_WEo,200080,202560,want to bring my new 04 into the picture
WbA9OSW_WEo,202560,204720,i bought it already well used around
WbA9OSW_WEo,204720,207680,2008 and used it week in week out in a
WbA9OSW_WEo,207680,210159,very sweaty club for over two years at
WbA9OSW_WEo,210159,211920,the time i needed the midi functions
WbA9OSW_WEo,211920,214080,that it offered as you can see a decade
WbA9OSW_WEo,214080,216159,later it looks to be in a pretty sorry
WbA9OSW_WEo,216159,217840,state with half the screen printing
WbA9OSW_WEo,217840,220400,rubbed off but guess what it has very
WbA9OSW_WEo,220400,222480,similar plastic pots to the warm 2
WbA9OSW_WEo,222480,224720,mounted in the same way and they feel
WbA9OSW_WEo,224720,227040,virtually identical and after all this
WbA9OSW_WEo,227040,229599,time they all still work just fine so
WbA9OSW_WEo,229599,231599,whilst i completely understand that some
WbA9OSW_WEo,231599,233680,djs will put their hands on the warm two
WbA9OSW_WEo,233680,235439,and find the wobbly pots a bit
WbA9OSW_WEo,235439,237760,off-putting i'm confident in saying that
WbA9OSW_WEo,237760,240080,in functionality terms they are all good
WbA9OSW_WEo,240080,242480,and will last you very well this is just
WbA9OSW_WEo,242480,244720,how ekla do things as for the shape of
WbA9OSW_WEo,244720,247120,the knobs i wasn't enthused about trying
WbA9OSW_WEo,247120,249040,them thinking i wouldn't be a fan of the
WbA9OSW_WEo,249040,251360,skirted type found on the warm 2 but
WbA9OSW_WEo,251360,253439,actually in use i found them to be very
WbA9OSW_WEo,253439,255599,comfortable and now i'm completely sold
WbA9OSW_WEo,255599,257680,on them there are a surprising amount of
WbA9OSW_WEo,257680,259759,features crammed into the slimline warm
WbA9OSW_WEo,259759,261919,too some of which are quite unexpected
WbA9OSW_WEo,261919,263840,in a good way starting at the bottom we
WbA9OSW_WEo,263840,265600,have those blue velvet rotary level
WbA9OSW_WEo,265600,267520,controls which have the perfect smooth
WbA9OSW_WEo,267520,271820,gradual curve that you need on a rotary
WbA9OSW_WEo,271820,288960,[Music]
WbA9OSW_WEo,288960,291120,next to those are the vu meters bright
WbA9OSW_WEo,291120,292960,and clear with precise markings they
WbA9OSW_WEo,292960,295120,work very well you have a stereo pair
WbA9OSW_WEo,295120,297199,for the mix output and a single one for
WbA9OSW_WEo,297199,299600,the pfl or q signal the way they're laid
WbA9OSW_WEo,299600,301600,out makes the mixer look a tiny bit
WbA9OSW_WEo,301600,303680,lopsided as they aren't centered in the
WbA9OSW_WEo,303680,305759,mixer but that's being really pedantic
WbA9OSW_WEo,305759,307840,and it doesn't impact anything above
WbA9OSW_WEo,307840,309520,that we have the isolator which i
WbA9OSW_WEo,309520,311600,absolutely love there is plenty of room
WbA9OSW_WEo,311600,313520,to tweak things with two hands at once
WbA9OSW_WEo,313520,315759,and the musicality of the isolator is
WbA9OSW_WEo,315759,318240,great with crossover points at 300 hertz
WbA9OSW_WEo,318240,320560,and four kilohertz it goes from a full
WbA9OSW_WEo,320560,323039,cut to a 12 db boost which isn't the
WbA9OSW_WEo,323039,325120,highest out there but still enough to do
WbA9OSW_WEo,325120,326800,damage if you aren't paying attention to
WbA9OSW_WEo,326800,329280,your levels so as with any isolator
WbA9OSW_WEo,329280,332850,approach with caution
WbA9OSW_WEo,332850,352589,[Music]
WbA9OSW_WEo,356479,357720,is
WbA9OSW_WEo,357720,368639,[Music]
WbA9OSW_WEo,369680,371440,jumping up to the eq on the two main
WbA9OSW_WEo,371440,373360,channels this is a great complement to
WbA9OSW_WEo,373360,375919,the isolator it goes from full kill to a
WbA9OSW_WEo,375919,378160,10 db boost on each frequency and the
WbA9OSW_WEo,378160,380080,crossover points are different so you
WbA9OSW_WEo,380080,381600,might find there are some tracks which
WbA9OSW_WEo,381600,383520,sound better when tweaked with the eq
WbA9OSW_WEo,383520,385680,instead of the isolator and i appreciate
WbA9OSW_WEo,385680,389350,having that extra option
WbA9OSW_WEo,389350,394350,[Music]
WbA9OSW_WEo,401759,403840,we'll move on to channel three yes the
WbA9OSW_WEo,403840,406000,third channel on this two channel mixer
WbA9OSW_WEo,406000,407919,it is more limited than the main two
WbA9OSW_WEo,407919,410240,only having bass and high eq and a small
WbA9OSW_WEo,410240,412400,rotary pot for volume but it is
WbA9OSW_WEo,412400,414560,functionally a full channel switchable
WbA9OSW_WEo,414560,416639,between mic and line and with its own
WbA9OSW_WEo,416639,418800,cue button there is only a balance jack
WbA9OSW_WEo,418800,421120,input for the mic rather than an xlr but
WbA9OSW_WEo,421120,423199,that's okay due to space constraints and
