vid,start,end,text
WdVnRunTlko,0,2030,Hai
WdVnRunTlko,2060,5060,kyup
WdVnRunTlko,6170,9170,Hehehe
WdVnRunTlko,10849,14630,nggak mungkin
WdVnRunTlko,14630,16680,titik-titik
WdVnRunTlko,16680,20600,[Musik]
WdVnRunTlko,20600,22400,disini
WdVnRunTlko,22400,26840,bisa nafas senang di mana-mana hatiku
WdVnRunTlko,26840,28970,senang
WdVnRunTlko,28970,34829,Di sini senang di sana senang di
WdVnRunTlko,34829,38270,mana-mana hatiku senang
WdVnRunTlko,38270,44160,Di sini senang di sana senang di
WdVnRunTlko,44160,47600,mana-mana hatiku senang
WdVnRunTlko,47600,53489,Di sini senang di sana senang di
WdVnRunTlko,53489,57910,mana-mana hatiku senang la la
WdVnRunTlko,57910,60210,[Musik]
WdVnRunTlko,60210,64799,terpakai waktu-waktu lele
WdVnRunTlko,64799,67799,melalui
WdVnRunTlko,70200,73890,Indonesia coba lu ngomong
WdVnRunTlko,73890,74950,melalui
WdVnRunTlko,74950,85049,[Musik]
WdVnRunTlko,85049,90759,di sini senang di sana senang di
WdVnRunTlko,90759,94170,mana-mana hatiku senang
WdVnRunTlko,94170,100500,Di sini senang di sana senang ini
WdVnRunTlko,100500,103710,menengah hatiku senang
WdVnRunTlko,103710,109420,Di sini senang di sana senang di
WdVnRunTlko,109420,112890,mana-mana hatiku senang
WdVnRunTlko,112890,115380,Di sini senang
WdVnRunTlko,115380,120020,di sana senang di mana-mana
WdVnRunTlko,120020,123160,hatiku senang lalala
WdVnRunTlko,123160,126440,[Musik]
WdVnRunTlko,126460,128619,nah
WdVnRunTlko,128619,130720,lelah
WdVnRunTlko,130720,134410,[Musik]
WdVnRunTlko,134410,136440,lalalalalalalalalala
WdVnRunTlko,136440,162480,[Musik]
WdVnRunTlko,162549,165610,ni singa
WdVnRunTlko,165610,171849,disana senang dimana-mana hatiku senang
WdVnRunTlko,171849,177530,Di sini senang di sana senang di
WdVnRunTlko,177530,182160,mana-mana hatiku senang Hai dan cukup di
WdVnRunTlko,182160,187130,sini senang di sana senang di mana-mana
WdVnRunTlko,187130,190310,hatiku senang
WdVnRunTlko,190310,196200,Di sini senang di sana senang di
WdVnRunTlko,196200,199040,mana-mana hatiku senang
WdVnRunTlko,199040,200620,lalala
WdVnRunTlko,200620,203900,[Musik]
WdVnRunTlko,203959,205880,waktu-waktu
WdVnRunTlko,205880,210920,lelah lelah lelah lelah
WdVnRunTlko,210920,213350,lelah
WdVnRunTlko,213350,216350,lelah
WdVnRunTlko,217660,227780,[Musik]
WdVnRunTlko,227780,233459,di sini senang di sana senang di
WdVnRunTlko,233459,236900,mana-mana hatiku senang
WdVnRunTlko,236900,240180,Di sini senang
WdVnRunTlko,240180,245010,disana senang hidup menengah hatiku
WdVnRunTlko,245010,252129,senang Di sini senang di sana senang di
WdVnRunTlko,252129,255570,mana-mana hatiku senang
WdVnRunTlko,255570,258090,Di sini senang
WdVnRunTlko,258090,262770,di sana senang di mana-mana hatiku
WdVnRunTlko,262770,264300,senang
WdVnRunTlko,264300,265870,lalala
WdVnRunTlko,265870,271590,[Musik]
WdVnRunTlko,271590,273430,lelah-lelah
WdVnRunTlko,273430,275400,[Musik]
WdVnRunTlko,275400,277680,lalu
WdVnRunTlko,277680,280050,selalu
WdVnRunTlko,280050,282910,melalui titik
WdVnRunTlko,282910,300020,[Musik]
WdVnRunTlko,300020,304629,Hai tik tik tik tik tik tik tik
WdVnRunTlko,305080,308379,di Singa
WdVnRunTlko,308379,314590,disana senang dimana-mana hatiku senang
WdVnRunTlko,314590,320330,Di sini senang di sana senang di
WdVnRunTlko,320330,323740,mana-mana hatiku senang
WdVnRunTlko,323740,329659,Di sini senang di sana senang di
WdVnRunTlko,329659,333099,mana-mana hatiku senang
WdVnRunTlko,333099,338960,Di sini senang di sana senang di
WdVnRunTlko,338960,341830,mana-mana hatiku senang
WdVnRunTlko,341830,343390,lalala
WdVnRunTlko,343390,346700,[Musik]
WdVnRunTlko,348250,352990,lalala lalala lalala lalala
WdVnRunTlko,352990,356340,lalala lalala
WdVnRunTlko,356340,359720,[Musik]
WdVnRunTlko,360030,362420,dan mungkin
WdVnRunTlko,362420,364800,berkunjung
WdVnRunTlko,364800,370550,[Musik]
WdVnRunTlko,370550,376260,di sini senang di sana senang di
WdVnRunTlko,376260,379670,mana-mana hatiku senang
WdVnRunTlko,379670,386570,Di sini senang di sana senang memang
WdVnRunTlko,386570,389210,hatiku senang
WdVnRunTlko,389210,394920,Di sini senang di sana senang di
WdVnRunTlko,394920,398390,mana-mana hatiku senang
WdVnRunTlko,398390,404160,Di sunnah senang di sana senang di
WdVnRunTlko,404160,407060,mana-mana hatiku senang
WdVnRunTlko,407060,408640,lalala
WdVnRunTlko,408640,413810,[Musik]
WdVnRunTlko,413810,416200,lalala lalala lalala
WdVnRunTlko,416200,420009,[Musik]
WdVnRunTlko,420009,424250,le le le lalalala
WdVnRunTlko,424250,438939,[Musik]
