vid,start,end,text
WyngX_AqznU,0,1958,-Bye! -Thank you so much for coming!
WyngX_AqznU,2040,3333,-Bye! -See ya!
WyngX_AqznU,3416,8250,"Team Pink, with our superhero powers, Level Two was a piece of cake!"
WyngX_AqznU,8333,9666,[virtual voice] Okay then.
WyngX_AqznU,9750,11875,Prepare for the final level.
WyngX_AqznU,11958,13458,[trilling]
WyngX_AqznU,13541,15625,-[Malibu] Wow! -[Brooklyn] Mmm mmm.
WyngX_AqznU,15708,18083,"Uh oh. Did I say ""piece of cake""?"
WyngX_AqznU,18166,20666,Because maybe what I meant was a piece of--
WyngX_AqznU,20750,22041,Slime?
WyngX_AqznU,23875,28875,"Team, I don't wanna be a stick in the slime, but I am tired."
WyngX_AqznU,28958,30625,We need a break
WyngX_AqznU,30708,32208,[both laugh]
WyngX_AqznU,32291,33625,Team Pink!
WyngX_AqznU,33708,37083,Here to save Fashion Planet from our creativity crisis!
WyngX_AqznU,37166,38625,And about to start the final level?
WyngX_AqznU,38708,40375,[all] Uhh…
WyngX_AqznU,40458,43458,"Um for sure, we'll be with you in two shakes of a tail."
WyngX_AqznU,43541,44958,I mean fin!
WyngX_AqznU,45041,46958,There goes our break.
WyngX_AqznU,47041,48625,These mermaids are counting on us!
WyngX_AqznU,48708,53583,"We can't quit. That's not persevering, imaginative, noble, or kind."
WyngX_AqznU,53666,57916,But we also have to be noble and kind to ourselves.
WyngX_AqznU,58000,59541,Hmm…
WyngX_AqznU,60916,64333,"Mermaids, how would you like to join us"
WyngX_AqznU,64416,66541,for a…
WyngX_AqznU,66625,67625,Self care day!
WyngX_AqznU,67708,69500,[both gasp]
WyngX_AqznU,74291,75583,[both laugh]
WyngX_AqznU,75666,78083,"First, let's show kindness"
WyngX_AqznU,78166,80416,"to every part of ourselves,"
WyngX_AqznU,80500,82250,including our pores!
WyngX_AqznU,82333,84083,Sparkle face mask time!
WyngX_AqznU,84166,85750,We're dolls.
WyngX_AqznU,85833,88333,Do dolls have pores?
WyngX_AqznU,88416,89791,Not really.
WyngX_AqznU,89875,91791,I mostly do it for the relaxing scent.
WyngX_AqznU,93125,94750,"Mmm, strawberry!"
WyngX_AqznU,94833,96375,I stand corrected!
WyngX_AqznU,96458,97791,[both laugh]
WyngX_AqznU,99000,100666,[electronic beeping]
WyngX_AqznU,102458,106416,[electronic beeping]
WyngX_AqznU,107166,108500,Yeah!
WyngX_AqznU,110208,111875,Alright!
WyngX_AqznU,112583,115666,Taking time to reflect on our natural beauty
WyngX_AqznU,115750,117375,is so important!
WyngX_AqznU,117458,122333,But having fun imagining new looks can invigorate us too!
WyngX_AqznU,122416,124416,"We got this one, Malibu!"
WyngX_AqznU,124500,126666,Details for days!
WyngX_AqznU,126750,129082,So you! Inside and out!
WyngX_AqznU,129166,131541,Self-expression at an all time high!
WyngX_AqznU,131625,134416,[Malibu] Inner style meets outer style!
WyngX_AqznU,134500,136791,"Ah, inner peace."
WyngX_AqznU,138208,139625,And outer mess.
WyngX_AqznU,139708,143625,"Self care also means keeping safe and cozy spaces for ourselves,"
WyngX_AqznU,143708,146208,so let's be noble and clean up!
WyngX_AqznU,156708,158875,[all cheer]
WyngX_AqznU,158958,161040,Thanks for letting us join you!
WyngX_AqznU,161125,164958,I'm as refreshed as a sea cucumber in a whirlpool!
WyngX_AqznU,165041,167208,Same! I think.
WyngX_AqznU,167291,171083,"Mostly, I feel so prepared for the Final Level!"
WyngX_AqznU,171166,173125,"[virtual voice] Congratulations, Team Pink."
WyngX_AqznU,173208,175000,You've completed the bonus level.
WyngX_AqznU,175083,177540,Preparation for the difficulties to come
WyngX_AqznU,177625,180916,"required self care, which you did swimmingly."
WyngX_AqznU,181000,182750,No pun intended.
WyngX_AqznU,182833,184040,We don't mind!
WyngX_AqznU,184125,186125,[all cheer]
WyngX_AqznU,186208,188708,Even rest requires perseverance!
WyngX_AqznU,188791,190291,Imagination!
WyngX_AqznU,190375,192041,-Nobility! -Kindness!
WyngX_AqznU,192125,194250,And scales!
WyngX_AqznU,194333,196750,I think this is kind of their thing.
WyngX_AqznU,196833,198540,Oh okay!
WyngX_AqznU,198625,200916,"Then yay, Team Pink!"
WyngX_AqznU,201000,203083,Team Pink!
