vid,start,end,text
X6GRTWw0rOM,0,2970,tout ce qu'on a adoré au défilé dior il
X6GRTWw0rOM,2970,4440,pleuvait mais ça n'a pas arrêté les
X6GRTWw0rOM,4440,6569,fâche haine ni les habits colorés et on
X6GRTWw0rOM,6569,8910,a trop kiffé on a aimé la petite chef
X6GRTWw0rOM,8910,10620,district haute et monsieur là bas les
X6GRTWw0rOM,10620,12509,cheveux bleus de madame ce pantalon
X6GRTWw0rOM,12509,14340,presque sarouel mais n'abusons pas trop
X6GRTWw0rOM,14340,16949,non plus waouh ce mélange d'imprimés
X6GRTWw0rOM,16949,19109,quelle audace elle va dire quoi quand tu
X6GRTWw0rOM,19109,21240,l'as en fait à ça lui aurait louis
X6GRTWw0rOM,21240,23400,bonjour on aime bien ce short c'est dans
X6GRTWw0rOM,23400,25140,l'air du temps plus c'est court mieux
X6GRTWw0rOM,25140,26820,c'est surtout quand il s'agit de mandat
X6GRTWw0rOM,26820,28740,politique bref revenons à nos moutons
X6GRTWw0rOM,28740,30779,excusez-nous à nos invités
X6GRTWw0rOM,30779,34260,regardez moi cette dégaine regardez moi
X6GRTWw0rOM,34260,36420,ce ton sur ton ou willy vas-y montre
X6GRTWw0rOM,36420,38579,nous tes chaussures et vous les avez vu
X6GRTWw0rOM,38579,40140,les faux jumeaux là bas ils partent
X6GRTWw0rOM,40140,42030,direct pour mykonos après le show
X6GRTWw0rOM,42030,43559,d'ailleurs le décor nous a donné envie
X6GRTWw0rOM,43559,45420,de nous mettre au compostage le terreau
X6GRTWw0rOM,45420,47700,les fleurs tout ça on a testé et ça a
X6GRTWw0rOM,47700,49379,l'air vrai en plus et ses chapeaux
X6GRTWw0rOM,49379,51059,comment se protéger du soleil quand on a
X6GRTWw0rOM,51059,53520,quelques euros en trop avec du dior bien
X6GRTWw0rOM,53520,54989,sûr et si tout ça ne vous a pas
X6GRTWw0rOM,54989,56550,convaincu que l'année 2000 23 sera
X6GRTWw0rOM,56550,58410,nature peinture et bien revoyez vos
X6GRTWw0rOM,58410,60620,priorités
