vid,start,end,text
XdQYm6zIsMI,0,5839,assalamu alaikum peace be upon you  bohemian family  i hope you're having a very delicious
XdQYm6zIsMI,5839,10960,day  it's mino and amina we are in morocco
XdQYm6zIsMI,10960,16240,morocco is our home and one of the most  extraordinary destinations for travelers
XdQYm6zIsMI,16240,24240,and foodies  today we invite you on the ultimate  journey of legendary american food
XdQYm6zIsMI,24240,29320,are you ready  y'all lovinayala
XdQYm6zIsMI,54079,57320,let's go
XdQYm6zIsMI,76210,79340,[Music]
XdQYm6zIsMI,99600,105280,oh  it's very fresh the iconic orange juice
XdQYm6zIsMI,105280,108920,in jamaica now
XdQYm6zIsMI,126079,129079,is
XdQYm6zIsMI,132720,135720,um
XdQYm6zIsMI,147920,152920,with full green peace tattoo taste
XdQYm6zIsMI,163020,166270,[Music]
XdQYm6zIsMI,172239,180040,perfect combination of sweet sesame  cookie and honey how the hell is
XdQYm6zIsMI,200159,206319,walking in the old medina is like a time  travel back to the middle ages
XdQYm6zIsMI,206319,210400,oh what's this gorgeous smell
XdQYm6zIsMI,220560,223560,foreign
XdQYm6zIsMI,240799,246400,i'm very excited to try  with smith which is fermented butter
XdQYm6zIsMI,246400,249120,look at this color
XdQYm6zIsMI,253439,260000,i love this strong fermented taste  funky party in my mouth
XdQYm6zIsMI,276080,279080,oh
XdQYm6zIsMI,282900,290470,[Music]
XdQYm6zIsMI,291600,299199,foreign  bismillah
XdQYm6zIsMI,300560,306000,oh it's very tasty mmm  it's juicy
XdQYm6zIsMI,306000,311560,after the ham  logic soho
XdQYm6zIsMI,317530,322720,[Music]
XdQYm6zIsMI,322720,325720,mmm
XdQYm6zIsMI,334479,337479,oh
XdQYm6zIsMI,348400,353320,oh look at this  wow
XdQYm6zIsMI,357820,360920,[Music]
XdQYm6zIsMI,365199,370199,this is really fresh an awesome taste
XdQYm6zIsMI,375110,378409,[Music]
XdQYm6zIsMI,383600,386600,foreign
XdQYm6zIsMI,401380,404529,[Music]
XdQYm6zIsMI,416790,424769,[Music]
XdQYm6zIsMI,434800,437800,oh
XdQYm6zIsMI,444450,448459,[Music]
XdQYm6zIsMI,454690,457759,[Music]
XdQYm6zIsMI,462000,469039,um  [Music]
XdQYm6zIsMI,469039,473599,i think this is the best coffee in  marrakech
XdQYm6zIsMI,476240,484960,museum  we are on the horse cart in marrakech
XdQYm6zIsMI,486400,491740,you can explore the most famous spots by  this horse carries tour
XdQYm6zIsMI,491740,495410,[Music]
XdQYm6zIsMI,502000,512560,what a beautiful city  [Music]
XdQYm6zIsMI,527680,533880,look at this  long sausage
XdQYm6zIsMI,535680,539680,it's a mild taste beef sausage
XdQYm6zIsMI,545680,550200,i love this juicy kefir
XdQYm6zIsMI,558740,561799,[Music]
XdQYm6zIsMI,564880,572640,well chopped low onion and spicy tomato  sauce  make taste better
XdQYm6zIsMI,573600,576480,assalamualaikum
XdQYm6zIsMI,584680,587790,[Music]
XdQYm6zIsMI,608190,615620,[Music]
XdQYm6zIsMI,615920,618920,um
XdQYm6zIsMI,629519,632519,um
XdQYm6zIsMI,635990,644920,[Music]  our first day in marrakech is fade away  with beautiful adhan
XdQYm6zIsMI,650959,655320,birds are singing on the terrace
XdQYm6zIsMI,669680,678360,foreign  this is king of dates
XdQYm6zIsMI,690240,695760,hmm  it's very mild relaxing taste
XdQYm6zIsMI,697360,700589,[Applause]
XdQYm6zIsMI,709590,714800,[Music]  this penny royalty slowly wakes me up as
XdQYm6zIsMI,714800,717120,beneath
XdQYm6zIsMI,719920,725240,this is moroccan sweet yogurt ripe
XdQYm6zIsMI,742800,750120,c  hmm
XdQYm6zIsMI,764440,769920,[Music]  famous one talking about his how about
XdQYm6zIsMI,769920,775200,his experience with  the second hassan oh
XdQYm6zIsMI,775200,782440,i'm so excited to see the real mystery  of morocco  [Music]
XdQYm6zIsMI,782880,789720,this place is well known as the  restaurant of the king chef
XdQYm6zIsMI,806079,809079,so
XdQYm6zIsMI,815839,822199,mr mustafa is working here for 24 years  now
XdQYm6zIsMI,831350,834539,[Music]
XdQYm6zIsMI,844200,850399,[Music]  two three four five six seven eight nine
XdQYm6zIsMI,850399,855320,ten ten lamps every day yeah wow
XdQYm6zIsMI,864320,869560,they put all the lambs in the pit oven
XdQYm6zIsMI,882240,888240,while the lambs are cooked in the paint  we visited their other oven wow
XdQYm6zIsMI,888240,893680,tanjiatanjiya  it's still very hot here
XdQYm6zIsMI,894560,898040,look at this tangier
XdQYm6zIsMI,901519,908279,oh  wow
XdQYm6zIsMI,921920,924920,hello
XdQYm6zIsMI,929470,933538,[Music]
XdQYm6zIsMI,952160,955160,um
XdQYm6zIsMI,974800,980279,it's time to try the food of king's chef
XdQYm6zIsMI,1008240,1012639,it's incredibly tender and juicy
XdQYm6zIsMI,1013900,1020720,[Music]  and the skin is so crispy
XdQYm6zIsMI,1022079,1027280,the chef gave me a special gift  yes
XdQYm6zIsMI,1027280,1030319,lamb's testicle
XdQYm6zIsMI,1035839,1038839,mm-hmm
XdQYm6zIsMI,1049440,1052440,oh
XdQYm6zIsMI,1059500,1062589,[Music]
XdQYm6zIsMI,1067200,1073039,it's my favorite part  tongue of lamb
XdQYm6zIsMI,1077760,1081080,it's amazing
XdQYm6zIsMI,1088480,1091480,wow
XdQYm6zIsMI,1104790,1107839,[Applause]
XdQYm6zIsMI,1118720,1121720,uh
XdQYm6zIsMI,1126400,1131919,is the signature food of marrakesh wow  look at this
XdQYm6zIsMI,1134000,1139240,and i love this lemony taste of danger
XdQYm6zIsMI,1150080,1154120,it's so tender
XdQYm6zIsMI,1161570,1166409,[Music]
XdQYm6zIsMI,1173360,1176360,is
XdQYm6zIsMI,1206990,1210130,[Music]
XdQYm6zIsMI,1214799,1225089,you  [Music]
XdQYm6zIsMI,1229440,1234360,lemon  secret of the taste
XdQYm6zIsMI,1240690,1247080,[Music]  ah
XdQYm6zIsMI,1250080,1253159,[Music]
XdQYm6zIsMI,1260720,1265880,yeah  foreign
XdQYm6zIsMI,1278200,1284099,[Music]
XdQYm6zIsMI,1285919,1289360,homemade cheese powder
XdQYm6zIsMI,1291200,1297520,korean people use chopsticks but for  chicken we use  this
XdQYm6zIsMI,1297520,1307839,oh  look at this  [Music]
XdQYm6zIsMI,1308480,1316080,korean fried chicken  this is a famous korean fire noodle oh
XdQYm6zIsMI,1316559,1324240,it's my first time to try this  oh look at this  it looks very spicy
XdQYm6zIsMI,1324700,1331880,[Music]  awesome
XdQYm6zIsMI,1332080,1337279,when it's very hot you have to eat with  oh
XdQYm6zIsMI,1337679,1345400,fight them slow  um
XdQYm6zIsMI,1346350,1350539,[Music]
XdQYm6zIsMI,1353760,1360480,we visited this place about half a year  ago and i fell in love with their  amazing roasted dishes
XdQYm6zIsMI,1360480,1367919,this time i took my whole family to  share delicious food of usda
XdQYm6zIsMI,1367919,1373360,oh this is a serious place these guys  are roasting everything
XdQYm6zIsMI,1373360,1377720,always exceeds my expectations
XdQYm6zIsMI,1388880,1393919,[Music]  look at these roasted lamb's hairs
XdQYm6zIsMI,1393919,1397679,oh that's spicy gravy
XdQYm6zIsMI,1401679,1408080,he's pouring special onion and olive  sauce over roasted young chickens
XdQYm6zIsMI,1408080,1416080,oh it's a whole lamb barbecue  look at the smoky spicy juice from the
XdQYm6zIsMI,1416080,1418799,barbecue
XdQYm6zIsMI,1422400,1428000,i don't know how big this oven is  but there is still a lot of food pouring
