vid,start,end,text
YMfeWgX0MzU,0,1760,okay needle you lost the rap battle so
YMfeWgX0MzU,1760,3679,now you have to sing a sweet song to me
YMfeWgX0MzU,3679,5359,you have to post a really sweet song
YMfeWgX0MzU,5359,8639,about me on your channel no no
YMfeWgX0MzU,8639,9519,no
YMfeWgX0MzU,9519,11599,you don't have to yeah humans go getting
YMfeWgX0MzU,11599,13759,tiger you make a family wait what do you
YMfeWgX0MzU,13759,15970,think
YMfeWgX0MzU,15970,25179,[Music]
YMfeWgX0MzU,26240,29039,i know that we're just friends
YMfeWgX0MzU,29039,32558,but i think there is more to this
YMfeWgX0MzU,32558,35680,i don't want to scare you off i can't
YMfeWgX0MzU,35680,37310,help but think
YMfeWgX0MzU,37310,38879,[Music]
YMfeWgX0MzU,38879,42000,but maybe there's a reason
YMfeWgX0MzU,42000,44140,that i just stay
YMfeWgX0MzU,44140,55299,[Music]
YMfeWgX0MzU,55520,59120,it was funny now i think i'm
YMfeWgX0MzU,61920,65618,[Music]
YMfeWgX0MzU,69840,71400,but i think this is
YMfeWgX0MzU,71400,82829,[Music]
YMfeWgX0MzU,84080,87840,but your dad cut it off
YMfeWgX0MzU,88360,98839,[Music]
YMfeWgX0MzU,99360,103479,it was meant to be
YMfeWgX0MzU,103490,110629,[Music]
YMfeWgX0MzU,113170,116938,[Music]
YMfeWgX0MzU,123200,126840,she hadn't wrote it
