vid,start,end,text
YNcaoKupc3g,0,2030,eu
YNcaoKupc3g,3470,5910,tenho o esporte a posse de bola acelera
YNcaoKupc3g,5910,8099,com torcedor o Fabinho chegar para
YNcaoKupc3g,8099,9530,cortar o Arthur
YNcaoKupc3g,9530,12540,Arthur em cima do Everton Felipe Manda
YNcaoKupc3g,12540,14340,ele disse que a bola não saiu Echaporã
YNcaoKupc3g,14340,15929,tá lá na esquerda tem mais uma
YNcaoKupc3g,15929,17699,oportunidade trabalhou por dentro com o
YNcaoKupc3g,17699,20120,Danilo Ruan metrô marca
YNcaoKupc3g,20120,20440,[Aplausos]
YNcaoKupc3g,20440,22380,a
YNcaoKupc3g,22380,26830,boca está cobrança partiu o Luca pé
YNcaoKupc3g,26830,30450,direito bateu pronto
YNcaoKupc3g,31710,35399,e eu com força bateu com raiva você ver
YNcaoKupc3g,35399,37399,de novo
YNcaoKupc3g,37399,39989,a litragem autoriza a cobrança do
YNcaoKupc3g,39989,41610,Giovani bola na área verde vinho de
YNcaoKupc3g,41610,44420,cabeça bem Caíque
YNcaoKupc3g,44420,48120,sábado Giovani recomeça trabalha com o
YNcaoKupc3g,48120,50329,Tiele ele o Sabino
YNcaoKupc3g,50329,53220,24 minutos avó Lego Bandeira não dá
YNcaoKupc3g,53220,55710,empreendimento Mercantil esporte para
YNcaoKupc3g,55710,57649,ver se fecha o Caique
YNcaoKupc3g,57649,60409,tem cobrança de falta a ponte
YNcaoKupc3g,60409,63420,vem Bola na Área fica fácil para o
YNcaoKupc3g,63420,65659,Mailson fazer a defesa
YNcaoKupc3g,65659,69049,o Mailson já faz a bola longa aqui bolão
YNcaoKupc3g,69049,70999,do Mailson pra direita atras jogada
YNcaoKupc3g,70999,76399,Giovani Giovani por dentro povo chupa
YNcaoKupc3g,76580,77770,a
YNcaoKupc3g,77770,80420,bola para o cargueiro que ajeitou para o
YNcaoKupc3g,80420,82790,Fabinho pede tem uma bomba na trave e
YNcaoKupc3g,82790,86210,voltou para o paguei olho pensou cruzou
YNcaoKupc3g,86210,88160,para o Fabinho frente para cortar o
YNcaoKupc3g,88160,89560,Amaral
YNcaoKupc3g,89560,92330,a bola vai voltar para o Juba tem a
YNcaoKupc3g,92330,94430,segunda oportunidade fez a finta puxo
YNcaoKupc3g,94430,96230,para o pé direito não pegou legal já que
YNcaoKupc3g,96230,98270,não falhou na sequência trabalhar o tira
YNcaoKupc3g,98270,101010,tem a sombra pode ser
YNcaoKupc3g,101010,102080,a
YNcaoKupc3g,102080,103850,França
YNcaoKupc3g,103850,106560,porta entrou no jogo depois né entre que
YNcaoKupc3g,106560,108300,entrou no jogo principalmente pelo lado
YNcaoKupc3g,108300,111930,direito boas boas tabelas ali de
YNcaoKupc3g,111930,114720,Giovanni Everton Felipe e a chegada do
YNcaoKupc3g,114720,117450,Fabinho olha lá o dinheiro nunca nunca
YNcaoKupc3g,117450,121280,pé direito do Saiu à esquerda do Mailson
YNcaoKupc3g,121280,124980,tá tivemos ontem CRB e CSA tivemos agora
YNcaoKupc3g,124980,127530,há pouco o Vasco e Grêmio agora tem
YNcaoKupc3g,127530,131510,esporte quadra conferir foi lá na porta
YNcaoKupc3g,131970,132830,o
YNcaoKupc3g,132830,134810,árbitro autoriza
YNcaoKupc3g,134810,137569,Luciano juba
YNcaoKupc3g,137569,140540,tu vai para o canto direito França chuva
YNcaoKupc3g,140540,143180,partiu o pé esquerdo do dele teve desvio
YNcaoKupc3g,143180,146180,o
YNcaoKupc3g,149200,152620,a porta trajetória brinca com Caíque
YNcaoKupc3g,152620,154800,você vem de novo
YNcaoKupc3g,154800,159239,puro todos os ângulos para você curtir
YNcaoKupc3g,159239,161769,Este é o quarto gol do Oceano jogar na
YNcaoKupc3g,161769,163959,série B ele sim já elas e do Esporte
YNcaoKupc3g,163959,165250,agora eu acho que ele também na
YNcaoKupc3g,165250,167620,temporada com 19 gols você essa semana
YNcaoKupc3g,167620,171120,de novo eu tive do Sport ontem
YNcaoKupc3g,172280,174280,e
YNcaoKupc3g,174370,178430,aqui tá feliz o Dal pozzo quem passou
YNcaoKupc3g,178430,181610,foi o Caique quer encontrar esse
YNcaoKupc3g,181610,184160,trabalha entra na área festim balançou
YNcaoKupc3g,184160,187370,girou segurou faz a invenção um bolão
YNcaoKupc3g,187370,190239,para o Bernardo pé direito do prato
YNcaoKupc3g,190239,194239,vailson p
YNcaoKupc3g,195900,196760,E aí
YNcaoKupc3g,196760,199939,[Música]
YNcaoKupc3g,200300,201880,E aí
YNcaoKupc3g,201880,213710,[Música]
