vid,start,end,text
ZTIccw4pGLE,2210,6080,[Music]
ZTIccw4pGLE,6080,8720,this is bugatti hq where their mission
ZTIccw4pGLE,8720,10400,is to reach for the sky
ZTIccw4pGLE,10400,11840,as far as i'm concerned the first
ZTIccw4pGLE,11840,14559,hypercar was the bugatti eb110
ZTIccw4pGLE,14559,16640,the first car to reach 60 miles per hour
ZTIccw4pGLE,16640,18640,and around three seconds and it had a
ZTIccw4pGLE,18640,20560,kind of boxy look it was like the tyson
ZTIccw4pGLE,20560,22400,fury of hyper cars
ZTIccw4pGLE,22400,24560,when bugatti returned with the veyron
ZTIccw4pGLE,24560,27199,they returned in force in 2005 with
ZTIccw4pGLE,27199,30320,speeds of 250 miles per hour it was
ZTIccw4pGLE,30320,32480,totally unprecedented like the invention
ZTIccw4pGLE,32480,35280,of supersonic air travel in the concorde
ZTIccw4pGLE,35280,38079,and that leads us to this moment
ZTIccw4pGLE,38079,40830,the bugatti chiron super sport
ZTIccw4pGLE,40830,42399,[Music]
ZTIccw4pGLE,42399,44800,this car is an exercise in unbelievable
ZTIccw4pGLE,44800,45879,numbers
ZTIccw4pGLE,45879,49760,1600 horsepower 2.4 seconds to 60
ZTIccw4pGLE,49760,52719,electronically limited to 273 miles per
ZTIccw4pGLE,52719,55039,hour but unrestricted it would go on to
ZTIccw4pGLE,55039,58079,304 miles per hour the fastest speed
ZTIccw4pGLE,58079,61840,ever achieved by any production road car
ZTIccw4pGLE,61840,63760,i drove the veyron supersport on top
ZTIccw4pGLE,63760,65439,gear some years ago so drive tribe has
ZTIccw4pGLE,65439,67200,sent me to see how this compared it
ZTIccw4pGLE,67200,69119,turns out that mike chose an abysmal
ZTIccw4pGLE,69119,70720,week to be on holiday
ZTIccw4pGLE,70720,72799,the statistics with this machine are
ZTIccw4pGLE,72799,74880,just mind-blowing i mean the veyron was
ZTIccw4pGLE,74880,77759,impressive the engine was consuming 45
ZTIccw4pGLE,77759,80240,000 liters of air a minute
ZTIccw4pGLE,80240,83040,this one's consuming 60 000 liters of
ZTIccw4pGLE,83040,85119,air in it to power this engine when it's
ZTIccw4pGLE,85119,86720,really going for it
ZTIccw4pGLE,86720,88320,michelin could only get the tyres to be
ZTIccw4pGLE,88320,90720,rated to run at top speed for 15 minutes
ZTIccw4pGLE,90720,91439,but
ZTIccw4pGLE,91439,93200,never been tested because you ran out of
ZTIccw4pGLE,93200,94880,fuel in 12. in fact that's the only
ZTIccw4pGLE,94880,95840,thing you've got to worry about when
ZTIccw4pGLE,95840,98159,you're driving a car this potent is
ZTIccw4pGLE,98159,99600,remembering where the next petrol
ZTIccw4pGLE,99600,101759,station is and making sure that it's got
ZTIccw4pGLE,101759,105360,the correct run for this beast
ZTIccw4pGLE,105840,108640,with the attack of air hitting this car
ZTIccw4pGLE,108640,111040,at speeds above 200 miles an hour
ZTIccw4pGLE,111040,113600,the aero forces are just ridiculous
ZTIccw4pGLE,113600,116960,the centrifugal force in the tyres 5000
ZTIccw4pGLE,116960,119600,g and something like 4 000 kilograms of
ZTIccw4pGLE,119600,122240,aero pressure flying around this car so
ZTIccw4pGLE,122240,124240,the balancing act to get this car to
ZTIccw4pGLE,124240,126000,prevent it from flipping over even at
ZTIccw4pGLE,126000,129200,300 miles per hour was a real mind tease
ZTIccw4pGLE,129200,130879,for the engineers when they built this
ZTIccw4pGLE,130879,132400,thing
ZTIccw4pGLE,132400,134800,but to help reduce drag the car was
ZTIccw4pGLE,134800,137040,elongated by 25 centimeters you've got
ZTIccw4pGLE,137040,138319,that little
ZTIccw4pGLE,138319,140480,extra piece of arrow in the back that
ZTIccw4pGLE,140480,142319,just made the car cut through the air
ZTIccw4pGLE,142319,143760,that bit better gave it more of the
ZTIccw4pGLE,143760,146400,teardrop shape which you know
ZTIccw4pGLE,146400,149200,gives more error efficiency
ZTIccw4pGLE,149200,150879,the boost of power obviously from this
ZTIccw4pGLE,150879,152560,reconfigured engine
ZTIccw4pGLE,152560,153920,significantly different from the
ZTIccw4pGLE,153920,157200,original 16 cylinder motor the 8 liter
ZTIccw4pGLE,157200,159680,beast powering this baby
ZTIccw4pGLE,159680,161200,the physical block of the engine is
ZTIccw4pGLE,161200,162879,pretty much the same but 80 percent of
ZTIccw4pGLE,162879,165360,the internals revised from the veyron to
ZTIccw4pGLE,165360,167120,the cheer on to give it that big jump in
ZTIccw4pGLE,167120,168959,power to 1500
ZTIccw4pGLE,168959,170959,and more fine tuning to bring the super
ZTIccw4pGLE,170959,173440,sport up to 1600.
ZTIccw4pGLE,173440,174959,the way this chiron goes about
ZTIccw4pGLE,174959,177120,demolishing stretches of road is beyond
ZTIccw4pGLE,177120,179040,impressive but there's more to the super
ZTIccw4pGLE,179040,181599,sport than outright speed the cabin is a
ZTIccw4pGLE,181599,184080,wonderful place to be an elegant blend
ZTIccw4pGLE,184080,186319,of reassuringly tactile leather and
ZTIccw4pGLE,186319,188239,extruded aluminium it feels more
ZTIccw4pGLE,188239,189840,spacious than the veyron but there's a
ZTIccw4pGLE,189840,191599,bit of an optical illusion at play
ZTIccw4pGLE,191599,193519,pikachu shrunk the gear selector the
ZTIccw4pGLE,193519,195840,controls are more slender but it gives a
ZTIccw4pGLE,195840,198480,sense of agility the question is does
ZTIccw4pGLE,198480,201840,that translate onto the road
ZTIccw4pGLE,202560,204480,you do tend to feel it the front end
ZTIccw4pGLE,204480,205519,first
ZTIccw4pGLE,205519,207680,just clawing
ZTIccw4pGLE,207680,210080,at the tarmac
ZTIccw4pGLE,210080,211760,frankly i prefer it that way than
ZTIccw4pGLE,211760,213920,feeling the rear end of this baby swing
ZTIccw4pGLE,213920,214400,around
ZTIccw4pGLE,214400,216400,[Music]
ZTIccw4pGLE,216400,218319,it's just too much going on
ZTIccw4pGLE,218319,220239,you're operating at such a high level of
ZTIccw4pGLE,220239,222560,grip
ZTIccw4pGLE,222640,224400,you don't want the tail swinging around
ZTIccw4pGLE,224400,227560,at will
ZTIccw4pGLE,229840,231360,[Applause]
ZTIccw4pGLE,231360,233920,what a absolute beast
ZTIccw4pGLE,233920,236239,car really welcomes you in it does hug
ZTIccw4pGLE,236239,237920,the corners it's fantastic
ZTIccw4pGLE,237920,239599,in the bank's corners
ZTIccw4pGLE,239599,242110,you really feel it tucking in
ZTIccw4pGLE,242110,243760,[Music]
ZTIccw4pGLE,243760,246319,the irony is that with this much power
ZTIccw4pGLE,246319,248319,it's basically the equivalent of an m3
ZTIccw4pGLE,248319,249599,on each wheel
