vid,start,end,text
a_xxkhtUonk,710,7359,[Music]
a_xxkhtUonk,7359,14240,hey  it's me flippy and today we're at party  jungle in phoenix arizona
a_xxkhtUonk,14240,20320,and we are going to have so much fun  today  come on
a_xxkhtUonk,21119,26880,check it out  oh hello hey blippi how are you oh good  thank you
a_xxkhtUonk,26880,32960,oh i am really excited  thank you
a_xxkhtUonk,32960,38399,wristband and some tokens bye-bye bye  okay we'll put these in my pocket for
a_xxkhtUonk,38399,44719,later  let's ride a ride  whoa  look at this
a_xxkhtUonk,44719,50480,what kind of animal is this  yeah it's an elephant will you act like
a_xxkhtUonk,50480,54360,an elephant with me
a_xxkhtUonk,55550,61840,[Applause]  elephants are so big
a_xxkhtUonk,62640,69399,okay let's ride  okay  here we go
a_xxkhtUonk,69980,73319,[Music]
a_xxkhtUonk,75740,82960,[Music]
a_xxkhtUonk,82960,91369,hello  [Music]
a_xxkhtUonk,93119,98400,that was so much fun on the elephant  ride and so much fun acting like an
a_xxkhtUonk,98400,105170,elephant  let's go ride some more rides  [Music]
a_xxkhtUonk,105759,112159,check this ride out thank you  whoa  hey these look like swings
a_xxkhtUonk,112159,117920,do you know of an animal that loves to  swing from trees
a_xxkhtUonk,119600,126758,yeah  monkeys love to swing on trees let's act  like monkeys
a_xxkhtUonk,129440,134560,[Music]  okay all right let's hop in
a_xxkhtUonk,134560,139840,okay here we go  okay let's take a seat
a_xxkhtUonk,140959,147520,all right here we go let's get buckled  up  [Music]  okay
a_xxkhtUonk,147520,154430,okay  i'm ready  [Music]
a_xxkhtUonk,156239,166930,i go wow  [Music]
a_xxkhtUonk,166930,182239,[Applause]  [Music]
a_xxkhtUonk,182239,189360,that was awesome  okay  oh i am having so much fun
a_xxkhtUonk,189360,195519,oh  i'm kind of getting hungry  oh no look i'm stuck hey let's act like
a_xxkhtUonk,195519,199640,monkeys to get out of this
a_xxkhtUonk,202959,210159,yeah good job okay see you soon  whoa  i'm getting kind of hungry
a_xxkhtUonk,210159,216720,are you hungry let's go  let's get some snacks
a_xxkhtUonk,216720,223920,oh me  come on  [Music]  can i please have some animal crackers
a_xxkhtUonk,223920,230879,of course oh animal crackers  there you go yum thank you okay let's
a_xxkhtUonk,230879,238720,find a place to sit  [Music]  how about  right here
a_xxkhtUonk,239599,245439,let's open them up  so many animals let's set this right
a_xxkhtUonk,245439,250319,over here  wait a second what's this
a_xxkhtUonk,250720,257359,it's a dog  [Laughter]
a_xxkhtUonk,257359,263520,hey i have an idea why don't we eat our  snacks like how a dog eats do you know  how a dog eats
a_xxkhtUonk,263520,275440,yep with no hands  [Music]
a_xxkhtUonk,275440,284639,that's silly okay let's see what else  they have around here whoa  this place is so cool and colorful whoa
a_xxkhtUonk,284639,290160,whoa  oh check it out  miniature golf
a_xxkhtUonk,290160,297120,hey here we go two size clubs do we want  this one or this one let's do
a_xxkhtUonk,297120,303199,this one looks just right for my size  so we have a blue club
a_xxkhtUonk,303199,310720,and an orange ball my two favorite  colors  okay  here we go all right
a_xxkhtUonk,310720,317680,get ready  [Music]
a_xxkhtUonk,317680,325440,oh wait wait a second do you see this  what animal is this
a_xxkhtUonk,325440,333360,this is a zebra  whoa  black white black white hey did you know
a_xxkhtUonk,333360,340800,zebras are actually all black with white  stripes interesting
a_xxkhtUonk,341919,348639,oh can't forget these  oh  whoa  a hippopotamus
a_xxkhtUonk,348639,353840,whoa that's silly let's act like a hippo
a_xxkhtUonk,356080,361680,hippos are really big they love the  water and they love the land too pretty
a_xxkhtUonk,361680,367840,interesting  all right  here we go
a_xxkhtUonk,370800,376160,i almost made it  whoa  look  oh
a_xxkhtUonk,376160,383120,this is a horse  hey horsey how are you
a_xxkhtUonk,383120,389600,i love horses  they're so nice most of the time and  they love to gallop
a_xxkhtUonk,389600,394360,hey let's gallop this horse
a_xxkhtUonk,394720,397779,[Music]
a_xxkhtUonk,405120,412800,okay let's put this horse right here  because we have another ride to go into  oh thanks you're welcome come on
a_xxkhtUonk,412800,418390,whoa  hello  that's silly hello
a_xxkhtUonk,418390,423680,[Music]  oh come over here hello how are you two
a_xxkhtUonk,423680,429599,good oh very good are you excited what  okay let's go
a_xxkhtUonk,429599,436759,whoa hello how are you high five  woo-hoo okay
a_xxkhtUonk,437120,444080,okay  let's sit in here  and then  put the chain on right here
a_xxkhtUonk,444080,448680,now we're ready to go
a_xxkhtUonk,453770,456910,[Music]
a_xxkhtUonk,459440,465560,it's rolling on the tracks gonna get  there fast yeah
a_xxkhtUonk,471790,478840,[Music]  there are many train tracks
a_xxkhtUonk,494650,498440,[Music]
a_xxkhtUonk,500480,508400,[Music]  that was awesome
a_xxkhtUonk,509040,514959,[Music]  let's see what else there is around here  whoa
a_xxkhtUonk,514959,524000,a jungle gym  whoa look  whoa a cute little animal hello
a_xxkhtUonk,524000,531200,this is a sloth  did you know that sloths move really
a_xxkhtUonk,531200,538160,slow  here come on let's act like a sloth  together okay how you act like a sloth
a_xxkhtUonk,538160,545240,is you just move really slow ready three  two one
a_xxkhtUonk,547710,553470,[Music]
a_xxkhtUonk,556000,563519,oh that's silly have you ever seen a  sloth swim  you should look it up it's hilarious
a_xxkhtUonk,563519,569279,sloths move really slow on land but when  they swim
a_xxkhtUonk,569279,575519,they swim really fast like three times  faster than they move on land
a_xxkhtUonk,575519,582560,oh hey this area you have to take off  your shoes so let's take off my shoes
a_xxkhtUonk,582560,588080,there we go one two wee  come on
a_xxkhtUonk,588080,596789,whoa  whoa  whoa whoa  [Music]
a_xxkhtUonk,597360,607509,this place is awesome  whoa  look at this place  [Music]
a_xxkhtUonk,608880,614640,what is this  whoa  what animal is this
a_xxkhtUonk,614640,621760,it's cute  it's black and white  it's a penguin
a_xxkhtUonk,621760,628160,let's act like penguins together  okay all you have to do is waddle
a_xxkhtUonk,628160,632959,whoa  what a lotta waddle a lot a
a_xxkhtUonk,635890,644000,[Music]
a_xxkhtUonk,644000,651680,okay  okay let's put my shoes back on  and let's play some arcade games
a_xxkhtUonk,652079,658240,oh geez  okay  let's check this out
a_xxkhtUonk,658240,663920,whoa  look at this game  whoo  all right
a_xxkhtUonk,663920,670160,let's put in a coin  [Music]  taking the hammer
a_xxkhtUonk,670160,677628,get ready  [Music]
a_xxkhtUonk,681890,687040,[Music]
a_xxkhtUonk,687040,693800,getting trickier  two of them are coming out at a time
a_xxkhtUonk,695430,700350,[Music]
a_xxkhtUonk,702000,707839,getting tired  whoa three of them are coming out
a_xxkhtUonk,710480,719580,wow  [Music]
a_xxkhtUonk,721440,726880,that was so hard  okay what other games do we have
a_xxkhtUonk,726880,732079,oh  i know of a game here come right over  here  [Music]
a_xxkhtUonk,732079,739360,dance dance revolution  i'm really good at this one
a_xxkhtUonk,739360,745470,get ready  [Applause]
a_xxkhtUonk,745470,759178,[Music]
a_xxkhtUonk,759850,766079,[Applause]  whoa  we did it whoa  [Applause]  [Music]
a_xxkhtUonk,766079,772240,whoa  whoa  [Music]  [Applause]
a_xxkhtUonk,772240,778900,ride the fish  here we go  whoa whoa
a_xxkhtUonk,778900,784400,[Music]  it's like i'm sweaty  because i'm riding the fish
a_xxkhtUonk,784400,789669,[Music]
a_xxkhtUonk,794399,803519,oh  good job  that was so tiring oh
a_xxkhtUonk,803920,810079,another ride come on  okay here we go  perfect
a_xxkhtUonk,810079,815279,all right  whoa okay
a_xxkhtUonk,815279,821519,this ride's pretty cool because you get  a spin around  okay  all right
a_xxkhtUonk,821519,828160,i'm ready  [Music]
a_xxkhtUonk,828160,839380,okay  here we go  [Music]
a_xxkhtUonk,851010,858960,[Music]
a_xxkhtUonk,864399,871839,did you see how fast i was spinning whoa  that was awesome oh i had so much fun
a_xxkhtUonk,871839,877440,hanging out at party jungle with you  well  this is the end of this video but if you
a_xxkhtUonk,877440,884560,want to watch more of my videos all you  have to do is search for my name will  you spell my name with me
a_xxkhtUonk,884560,891199,b-l-i-p-p-i  blippi good job well fun hanging out
a_xxkhtUonk,891199,894240,with animals with you
a_xxkhtUonk,897040,903040,much to learn bye-bye  it'll make you want to shout flippy  hey
a_xxkhtUonk,903040,908079,it's me  and today i'm at wiz kids playland in
a_xxkhtUonk,908079,913360,phoenix arizona whoa  and he and i were just painting what are
a_xxkhtUonk,913360,919680,you doing back there  hey  hey can they come and play of course
a_xxkhtUonk,919680,927519,have fun  come on  let's go paint  [Music]
a_xxkhtUonk,927519,934560,hey look hey what's your name  [Music]  this is langston and what are you doing
a_xxkhtUonk,934560,942320,langston  oh you're painting an r  wow that's pretty good job
a_xxkhtUonk,942320,951519,oh and check out what i'm painting  whoa  whoa what is this a tree a tree yeah
a_xxkhtUonk,951519,956880,oh let's see here let's make a stomp  yeah perfect
a_xxkhtUonk,956880,962800,all right a tree with a stump  and then  wait what is wait a second
a_xxkhtUonk,962800,969120,red up in the blue sky  do you ever make accidents in life yeah
a_xxkhtUonk,969120,975360,well those accidents is now a bird yeah  they're birds now let's burn
a_xxkhtUonk,975360,981240,a bird look at this go  go
a_xxkhtUonk,981860,988320,[Music]  it's like i'm a bird  whoa  check this out
a_xxkhtUonk,988320,995040,whoa  whoa  pretty cool toys  look it has some gears
a_xxkhtUonk,995040,1001759,when you turn this one it turns that one  and when that one turns it turns that  one and when that one turns it turns
a_xxkhtUonk,1001759,1006959,that one whoa so cool  hey
a_xxkhtUonk,1006959,1010279,what's this
a_xxkhtUonk,1012800,1019199,it's a car  whoa  and what is this
a_xxkhtUonk,1019199,1025438,whoa  it's a fire fighter hat  oh pretty cool
a_xxkhtUonk,1025438,1032160,we were painting earlier and acting like  artists i love being an artist
a_xxkhtUonk,1032160,1038760,and i also  love acting like i'm a firefighter
a_xxkhtUonk,1044798,1052200,i love acting like a firefighter because  you have to spray the fire with the  water
a_xxkhtUonk,1053360,1059520,let's go wash our hands  okay let's see what else we can act like
a_xxkhtUonk,1059520,1071520,around here  [Music]
a_xxkhtUonk,1071520,1074520,wow
a_xxkhtUonk,1078170,1084880,[Music]  oh  that's so much fun okay let's put this
a_xxkhtUonk,1084880,1091760,firefighter hat right there right where  we got it oh  what other toys are in here
a_xxkhtUonk,1091760,1098320,wow  there's so many of them  whoa
a_xxkhtUonk,1099700,1106480,[Music]  whoa  look at this table
a_xxkhtUonk,1106480,1111919,wow  it's so colorful  yeah  like this
a_xxkhtUonk,1111919,1117679,it's the color blue and it teaches you  how to buckle  ooh
a_xxkhtUonk,1117679,1125120,this is the color red and it teaches you  how to tie a lace like your shoes see
a_xxkhtUonk,1125120,1132080,whoa  this one is the color yellow  and you can learn how to button up a
a_xxkhtUonk,1132080,1138480,shirt like mine  orange  and thai
a_xxkhtUonk,1138480,1144400,oh  purple this is a new one  snap  yep
a_xxkhtUonk,1144400,1151919,snap it on just like that  and green  this one you can learn how to zip
a_xxkhtUonk,1151919,1157280,wow that's pretty cool  whoa  look over here
a_xxkhtUonk,1157280,1164360,wow there's so many things  yeah the letters of the alphabet
a_xxkhtUonk,1165120,1172320,[Applause]  that's silly hey i have an idea let's  pick up a letter and then let's find out
a_xxkhtUonk,1172320,1178799,where it goes  what letter is this  yeah  the letter f
a_xxkhtUonk,1178799,1184240,a b c d e f  e f
a_xxkhtUonk,1184240,1191200,yeah f  right there  good
a_xxkhtUonk,1191200,1197120,whoa job so much fun  whoa another table with a bunch of cool  things
a_xxkhtUonk,1197120,1204240,whoa  okay  look at this  wow it's like the human body
a_xxkhtUonk,1204240,1211600,whoa like my lungs right here  that hold all the oxygen in our bodies
a_xxkhtUonk,1211600,1216960,whoa  whoa  let's put the lungs right there
a_xxkhtUonk,1216960,1222400,and the heart  whoa this is what pumps all the blood  everywhere
a_xxkhtUonk,1222400,1228430,and that's when you lay your head on  someone's chest and goes  [Music]
a_xxkhtUonk,1229360,1235840,and you know how else we can hear that  is with a  stethoscope whoa
a_xxkhtUonk,1235840,1241280,let's listen to your heartbeat  [Music]  whoa
a_xxkhtUonk,1241280,1247120,i hear your heartbeat whoa you know what  profession loves to listen to heartbeats
a_xxkhtUonk,1247120,1253919,yeah nurses nurses and doctors  i love acting like a nurse it's so much
a_xxkhtUonk,1253919,1260080,fun because you got to make sure that  your patients are nice and healthy
a_xxkhtUonk,1260480,1267120,okay let's set this down  all right  whoa  check it out
a_xxkhtUonk,1267120,1272559,whoa  this  is how football players train
a_xxkhtUonk,1272559,1279360,wow and football players are  professional athletes  and that's another profession i have an
a_xxkhtUonk,1279360,1287679,idea let me show you how quick i can run  through this and act like a professional  football player ready
a_xxkhtUonk,1287679,1293840,three two one  [Applause]
a_xxkhtUonk,1293840,1303659,yeah  i did it  [Music]
a_xxkhtUonk,1306370,1313049,[Music]  [Applause]  [Music]
a_xxkhtUonk,1313840,1320000,that was so much fun acting like a  professional football player  whoa
a_xxkhtUonk,1320000,1326559,whoa  hey  look at all of this grass  it feels so good i just want to roll
a_xxkhtUonk,1326559,1330600,around in it wow
a_xxkhtUonk,1332000,1339279,whoa  what's this  whoa  it's a horse
a_xxkhtUonk,1340240,1348080,and  it's a cowboy and cowgirl hat  hey i have an idea why don't we put on
a_xxkhtUonk,1348080,1353480,the hat and ride the horse so then we  can act like farmers and cowboys and
a_xxkhtUonk,1353480,1359559,cowgirls  okay  oh
a_xxkhtUonk,1361100,1364250,[Music]
a_xxkhtUonk,1371039,1376640,i love acting like a farmer and a  rancher it's so nice riding my horse
a_xxkhtUonk,1376640,1382799,with the wind blowing through my ears  and my hair  oh
a_xxkhtUonk,1382799,1389520,it's so sunny today  whoa  okay all right nelly
a_xxkhtUonk,1389520,1394799,see you later  oh  oh that was so much fun being on the
a_xxkhtUonk,1394799,1402159,farm in the ranch  hey  a place where you can get some food i
a_xxkhtUonk,1402159,1407520,wonder how this food got here  in the diner
a_xxkhtUonk,1407520,1414080,where did this food come from  oh  right behind me
a_xxkhtUonk,1414080,1419120,this is a grocery store  [Applause]
a_xxkhtUonk,1419120,1424960,and that's another occupation  you can work at the grocery store  okay
a_xxkhtUonk,1424960,1432640,let's make sure all the shelves are  stocked  okay  okay looks like we have some lemons
a_xxkhtUonk,1432640,1437890,and some corn  perfect  that should go right there
a_xxkhtUonk,1437890,1444400,[Music]  and some strawberries yum
a_xxkhtUonk,1444400,1451760,ooh  and raspberries  and red pepper
a_xxkhtUonk,1452400,1458480,pretty tasty but pretty hot  okay  what else is around here
a_xxkhtUonk,1458480,1465039,whoa  we have some fluffy white rice
a_xxkhtUonk,1465039,1470400,yum i love rice  oh
a_xxkhtUonk,1470400,1477279,and some fruity colorful cereal  whoa  i think working at a grocery store would
a_xxkhtUonk,1477279,1483360,be really fun because you get a work  around food all day and i get hungry a
a_xxkhtUonk,1483360,1490960,lot let me tell ya i love to eat  but i really love to eat healthy food
a_xxkhtUonk,1490960,1496080,okay  [Music]  i'll check you out  [Music]
a_xxkhtUonk,1496080,1501840,whoa  perfect  oh here's your change for all your food
a_xxkhtUonk,1501840,1507440,there you go  okay  all right
a_xxkhtUonk,1507440,1513520,the shift is done  okay we can go home now that was sure  fun
a_xxkhtUonk,1513520,1525919,working at the grocery store  [Music]
a_xxkhtUonk,1525919,1531840,whoa a car here we go  it's like i'm a race car driver
a_xxkhtUonk,1531840,1539200,whoa  whoa  that was awesome
a_xxkhtUonk,1540080,1545120,it's even a race car driver is  something you could do for work that'd
a_xxkhtUonk,1545120,1550240,be pretty fun  okay  whoa
a_xxkhtUonk,1550240,1556240,so cool  i bet you know what this person does huh
a_xxkhtUonk,1556240,1563039,yeah  looks like you have to wear a hard hat  do you know what i i am
a_xxkhtUonk,1563039,1568400,yeah i'm a construction worker a  handyman or a handy woman
a_xxkhtUonk,1568400,1573520,whoa  whoa
