vid,start,end,text
b5wORpVMqhA,0,2159,qhd quality video streaming summer
b5wORpVMqhA,2159,5040,internet like a boss slt mobitel fiber
b5wORpVMqhA,5040,7120,multiple devices
b5wORpVMqhA,7120,11960,internet like a boss slt mobitel5
b5wORpVMqhA,17600,23619,[Music]
b5wORpVMqhA,27119,30119,foreign
b5wORpVMqhA,44420,78500,[Music]
b5wORpVMqhA,81759,84759,foreign
b5wORpVMqhA,88810,92540,[Music]
b5wORpVMqhA,93119,96119,foreign
b5wORpVMqhA,96810,103860,[Music]
b5wORpVMqhA,124799,126330,foreign
b5wORpVMqhA,126330,135330,[Music]
b5wORpVMqhA,252480,255580,[Music]
b5wORpVMqhA,332560,335560,foreign
b5wORpVMqhA,347360,350360,foreign
b5wORpVMqhA,350820,353889,[Music]
b5wORpVMqhA,412240,415240,foreign
b5wORpVMqhA,448880,451840,foreign
b5wORpVMqhA,489520,492520,foreign
b5wORpVMqhA,501759,504759,foreign
b5wORpVMqhA,512520,516889,[Applause]
b5wORpVMqhA,520000,523000,foreign
b5wORpVMqhA,579680,582680,foreign
b5wORpVMqhA,590800,593800,foreign
b5wORpVMqhA,597140,600240,[Applause]
b5wORpVMqhA,602890,606070,[Applause]
b5wORpVMqhA,606140,609210,[Music]
b5wORpVMqhA,789660,792730,[Music]
b5wORpVMqhA,900940,904039,[Music]
b5wORpVMqhA,917199,920199,foreign
b5wORpVMqhA,921960,925009,[Music]
b5wORpVMqhA,948160,951160,foreign
b5wORpVMqhA,1002800,1005800,foreign
b5wORpVMqhA,1045678,1048679,foreign
b5wORpVMqhA,1056720,1058140,foreign
b5wORpVMqhA,1058140,1072979,[Music]
b5wORpVMqhA,1091919,1094919,foreign
b5wORpVMqhA,1098060,1109829,[Music]
b5wORpVMqhA,1121600,1123840,me
b5wORpVMqhA,1133690,1137329,[Music]
b5wORpVMqhA,1143850,1148669,[Music]
b5wORpVMqhA,1161520,1164520,foreign
b5wORpVMqhA,1169850,1177700,[Music]
b5wORpVMqhA,1179770,1182880,[Music]
b5wORpVMqhA,1185500,1190839,[Music]
b5wORpVMqhA,1194290,1197450,[Music]
b5wORpVMqhA,1214170,1220380,[Music]
b5wORpVMqhA,1234970,1238039,[Music]
b5wORpVMqhA,1241530,1244609,[Music]
b5wORpVMqhA,1257360,1258830,foreign
b5wORpVMqhA,1258830,1263940,[Music]
b5wORpVMqhA,1389440,1392440,foreign
b5wORpVMqhA,1497039,1500039,foreign
b5wORpVMqhA,1534440,1537579,[Music]
b5wORpVMqhA,1540000,1543000,foreign
b5wORpVMqhA,1552640,1555640,my
b5wORpVMqhA,1557440,1559980,foreign
b5wORpVMqhA,1559980,1564609,[Music]
b5wORpVMqhA,1591039,1594039,foreign
b5wORpVMqhA,1596010,1601600,[Music]
b5wORpVMqhA,1601600,1603679,you
