vid,start,end,text
b75lp3p0bd8,5049,7253,What if Earth started doing Makeup?
b75lp3p0bd8,7523,8085,Cool.
b75lp3p0bd8,8388,10879,AumSum will do Earth's Makeup.
b75lp3p0bd8,12000,12870,Oh AumSum.
b75lp3p0bd8,13646,15892,"Firstly, if Earth started doing Makeup."
b75lp3p0bd8,16229,21645,"Even other planets may start doing makeup, Sun may give up."
b75lp3p0bd8,23680,26076,"Secondly, if Earth started doing Makeup."
b75lp3p0bd8,26346,30984,"Earth may start blow-drying its hair, people may start getting swept away."
b75lp3p0bd8,32748,35016,"Thirdly, if Earth started doing Makeup."
b75lp3p0bd8,35353,39749,"Earth may start applying lipstick, people may stop coloring their houses."
b75lp3p0bd8,42312,44574,"Fourthly, if Earth started doing Makeup."
b75lp3p0bd8,44855,47533,Earth may finish off all the available lipstick.
b75lp3p0bd8,51096,53589,"Fifthly, if Earth started doing Makeup."
b75lp3p0bd8,53892,59439,"Earth may start applying sunscreen lotion, Sun will not be happy about this."
b75lp3p0bd8,60777,63423,"Lastly, if Earth started doing Makeup."
b75lp3p0bd8,63985,67355,Earth may start applying face packs for a glowing skin.
b75lp3p0bd8,68288,71228,Many people may experience complete darkness.
b75lp3p0bd8,73138,77617,To buy AumSum merchandise visit AumSum.com.
