vid,start,end,text
cGVDc2HgOqU,80,3960,i will win today
cGVDc2HgOqU,4650,40229,[Music]
cGVDc2HgOqU,40640,42890,okay
cGVDc2HgOqU,42890,55520,[Music]
cGVDc2HgOqU,55520,59399,we gonna cook together
cGVDc2HgOqU,60000,61600,one two
cGVDc2HgOqU,61600,63060,three
cGVDc2HgOqU,63060,66099,[Music]
cGVDc2HgOqU,70240,81069,[Music]
cGVDc2HgOqU,82080,85080,wow
cGVDc2HgOqU,85190,104079,[Music]
cGVDc2HgOqU,105119,108119,oh
cGVDc2HgOqU,117400,126560,[Music]
cGVDc2HgOqU,126560,128539,wow
cGVDc2HgOqU,128539,144840,[Music]
cGVDc2HgOqU,147450,153050,[Music]
cGVDc2HgOqU,153050,154959,[Applause]
cGVDc2HgOqU,154959,155860,oh
cGVDc2HgOqU,155860,157960,[Music]
cGVDc2HgOqU,157960,158110,[Applause]
cGVDc2HgOqU,158110,164879,[Music]
cGVDc2HgOqU,164879,166370,wow
cGVDc2HgOqU,166370,172289,[Music]
cGVDc2HgOqU,173440,174560,one
cGVDc2HgOqU,174560,175519,two
cGVDc2HgOqU,175519,176560,three
cGVDc2HgOqU,176560,177519,four
cGVDc2HgOqU,177519,178640,five
cGVDc2HgOqU,178640,179760,six
cGVDc2HgOqU,179760,180720,seven
cGVDc2HgOqU,180720,183940,eight nine ten
cGVDc2HgOqU,183940,187069,[Music]
