vid,start,end,text
ca9tHTUK9z8,80,3360,i just wanna be free from the free
ca9tHTUK9z8,3360,6000,i feel love for the first time i just
ca9tHTUK9z8,6000,8720,wanna love something about me see
ca9tHTUK9z8,8720,12450,something to open my eyes
ca9tHTUK9z8,12450,19920,[Music]
ca9tHTUK9z8,19920,22920,so
ca9tHTUK9z8,23800,78830,[Music]
ca9tHTUK9z8,78830,81900,[Applause]
ca9tHTUK9z8,82190,94120,[Music]
ca9tHTUK9z8,94880,97040,good morning babes welcome back to
ca9tHTUK9z8,97040,99600,another video so i just finished my
ca9tHTUK9z8,99600,101600,little morning journal routine and
ca9tHTUK9z8,101600,103040,almost done my matcha we got a little
ca9tHTUK9z8,103040,104960,bit of a dribble left but today we are
ca9tHTUK9z8,104960,107439,doing a full self-care day full
ca9tHTUK9z8,107439,110560,self-care routine i guess day in my life
ca9tHTUK9z8,110560,112399,most of you will know or if you're in
ca9tHTUK9z8,112399,115280,ontario you obviously will know that we
ca9tHTUK9z8,115280,118640,are kind of in a modified lockdown so
ca9tHTUK9z8,118640,121280,gyms are closed indoor dining is closed
ca9tHTUK9z8,121280,123119,theaters are closed and i don't know
ca9tHTUK9z8,123119,125200,about you guys but for me personally all
ca9tHTUK9z8,125200,127520,the lockdowns and stuff really
ca9tHTUK9z8,127520,129920,put me into not the best mental state if
ca9tHTUK9z8,129920,131760,you watched one of my previous vlogs
ca9tHTUK9z8,131760,133840,back at the end of december you know it
ca9tHTUK9z8,133840,135920,kind of gives me a great amount of
ca9tHTUK9z8,135920,137840,anxiety and
ca9tHTUK9z8,137840,139599,yeah so i think it's really important to
ca9tHTUK9z8,139599,142160,prioritize self-care and well-being
ca9tHTUK9z8,142160,144720,prioritize your mental health during
ca9tHTUK9z8,144720,146800,these states of lockdown and whether
ca9tHTUK9z8,146800,148239,you're in lockdown or not it's always
ca9tHTUK9z8,148239,150080,important to prioritize your mental
ca9tHTUK9z8,150080,152000,being and your mental health but i know
ca9tHTUK9z8,152000,153519,for me when these lockdown situation
ca9tHTUK9z8,153519,154879,type things happen it's even more
ca9tHTUK9z8,154879,156160,important to do that so that's what
ca9tHTUK9z8,156160,157760,today is i thought we'd just go through
ca9tHTUK9z8,157760,159920,kind of some of the things that i do
ca9tHTUK9z8,159920,160879,to
ca9tHTUK9z8,160879,162640,help take care of me and help take care
ca9tHTUK9z8,162640,164720,of my mental well-being
ca9tHTUK9z8,164720,167200,and i hope this helps you guys or like
ca9tHTUK9z8,167200,169519,gives you some ideas of how to take care
ca9tHTUK9z8,169519,171360,of your mental well-being but like i
ca9tHTUK9z8,171360,172800,said i just did my little journal
ca9tHTUK9z8,172800,175200,routine since i've been home i've been
ca9tHTUK9z8,175200,176720,doing kind of a little bit of an
ca9tHTUK9z8,176720,178239,extended journal routine and i've been
ca9tHTUK9z8,178239,179920,loving it using my five minute journal
ca9tHTUK9z8,179920,182239,as always and then i've gotten back into
ca9tHTUK9z8,182239,185120,using my inside then out journal
ca9tHTUK9z8,185120,186959,basically it's got a little prompt at
ca9tHTUK9z8,186959,188560,the top and then it's just a little bit
ca9tHTUK9z8,188560,190000,more of an extended journal whereas the
ca9tHTUK9z8,190000,191360,five-minute journal is just straight
ca9tHTUK9z8,191360,193360,gratitude so they're both a little bit
ca9tHTUK9z8,193360,194879,different and then of course doing my
ca9tHTUK9z8,194879,196800,daily devotions i got a new one over the
ca9tHTUK9z8,196800,198480,christmas break
ca9tHTUK9z8,198480,201360,this one is trusting god day by day and
ca9tHTUK9z8,201360,203200,it's by joyce meyer i've been enjoying
ca9tHTUK9z8,203200,205519,it so far it's pretty good um but i'll
ca9tHTUK9z8,205519,207680,continue to update you guys on it since
ca9tHTUK9z8,207680,209760,i absolutely love the jesus calling ones
ca9tHTUK9z8,209760,211200,those are the ones i've always used
ca9tHTUK9z8,211200,213280,before i get into anything else i'm
ca9tHTUK9z8,213280,216400,gonna go and do a full shower routine
ca9tHTUK9z8,216400,219280,and my full hair care routine because to
ca9tHTUK9z8,219280,221599,me self-care is really like besides
ca9tHTUK9z8,221599,223040,taking care of your mental health
ca9tHTUK9z8,223040,224480,there's things that i feel like take
ca9tHTUK9z8,224480,226799,care of your physical well-being but
ca9tHTUK9z8,226799,229120,also like in turn just make you mentally
ca9tHTUK9z8,229120,230560,feel better like i know when i have a
ca9tHTUK9z8,230560,233360,good long hot shower i just i feel so
ca9tHTUK9z8,233360,235360,good so we are gonna we're gonna go do
ca9tHTUK9z8,235360,238360,that
ca9tHTUK9z8,238420,273680,[Music]
ca9tHTUK9z8,273680,275759,i just finished my
ca9tHTUK9z8,275759,278240,full body skincare face skincare shower
ca9tHTUK9z8,278240,280080,care obviously whenever i'm washing my
ca9tHTUK9z8,280080,281360,hair i always put it up in a little
ca9tHTUK9z8,281360,283280,towel wrap afterwards
ca9tHTUK9z8,283280,284960,but it can come down now because we are
ca9tHTUK9z8,284960,287840,going to do a little bit of hair care
ca9tHTUK9z8,287840,290000,today's video is in partnership with
ca9tHTUK9z8,290000,291759,tangle teaser so big thank you to tangle
ca9tHTUK9z8,291759,293280,teaser for partnering with me on today's
ca9tHTUK9z8,293280,294960,video but i've been using their brushes
ca9tHTUK9z8,294960,296960,for a little while now the first one
ca9tHTUK9z8,296960,298080,that you would have saw me use is
ca9tHTUK9z8,298080,299199,actually the one that i used in the
ca9tHTUK9z8,299199,301360,shower so that was this little guy here
ca9tHTUK9z8,301360,303600,tangle teaser's scalp exfoliator and
ca9tHTUK9z8,303600,305840,massager so you can use this on wet or
ca9tHTUK9z8,305840,308639,dry hair as a little scalp exfoliant or
ca9tHTUK9z8,308639,311039,massager with or without conditioner so
ca9tHTUK9z8,311039,312560,i've been using it with conditioner in
ca9tHTUK9z8,312560,314960,the shower to get rid of all that dead
ca9tHTUK9z8,314960,317120,skin and build up on my scalp especially
ca9tHTUK9z8,317120,318880,in the winter for me with someone with
ca9tHTUK9z8,318880,321600,dry skin my scalp gets really dry and
ca9tHTUK9z8,321600,323360,itchy and so this just helps to get rid
ca9tHTUK9z8,323360,326240,of all that excess dry skin off my scalp
ca9tHTUK9z8,326240,327199,and i've been really trying to
ca9tHTUK9z8,327199,330240,prioritize just my scalp health as much
ca9tHTUK9z8,330240,332400,as like i prioritize my skin health
ca9tHTUK9z8,332400,334639,everywhere else i feel like my hair and
ca9tHTUK9z8,334639,335840,my scalp is something that i really
ca9tHTUK9z8,335840,337199,neglected and it's something i've been
ca9tHTUK9z8,337199,339520,trying to work on for this year next i'm
ca9tHTUK9z8,339520,340800,going to go in with tangle teasers
ca9tHTUK9z8,340800,343039,ultimate detangler for finer and thin
ca9tHTUK9z8,343039,345680,hair it's for use on wet hair only you
ca9tHTUK9z8,345680,347759,start at the bottoms always basically
ca9tHTUK9z8,347759,349280,this just helps get rid of all that
ca9tHTUK9z8,349280,352240,excess dead hair that is just staying in
ca9tHTUK9z8,352240,354800,your hair and obviously detangle your
ca9tHTUK9z8,354800,356720,wet hair from the shower so starting at
ca9tHTUK9z8,356720,358639,the bottoms and working my way up to the
ca9tHTUK9z8,358639,360610,roots
ca9tHTUK9z8,360610,367600,[Music]
ca9tHTUK9z8,367600,369759,so this brush like i already mentioned
ca9tHTUK9z8,369759,372000,is for detangling and has super thin
ca9tHTUK9z8,372000,374000,fine teeth that are really soft designed
ca9tHTUK9z8,374000,376160,to just help minimize breakage are
ca9tHTUK9z8,376160,377919,perfect for if you're putting on hair
ca9tHTUK9z8,377919,380319,masks which is something i've never had
ca9tHTUK9z8,380319,382479,before i always run my fingers through
ca9tHTUK9z8,382479,383840,my hair with the hair masks but what
ca9tHTUK9z8,383840,385360,i've been doing hair mask recently i've
ca9tHTUK9z8,385360,387039,been loving using this brush to just
ca9tHTUK9z8,387039,389360,help put it on and really get the mask
ca9tHTUK9z8,389360,391840,fully through all of my hair it's been
ca9tHTUK9z8,391840,393840,amazing i'm not going to do a hair mask
ca9tHTUK9z8,393840,395600,today because i just washed my hair
ca9tHTUK9z8,395600,397440,normally i would do a hair mask before i
ca9tHTUK9z8,397440,399919,wash my hair so this brush is not meant
ca9tHTUK9z8,399919,402160,to be used with heat whatsoever at all
ca9tHTUK9z8,402160,404160,and only on wet hair so i'm just going
ca9tHTUK9z8,404160,406479,to put a little bit of hair oil on and
ca9tHTUK9z8,406479,409520,then give my hair another brush through
ca9tHTUK9z8,409520,421199,[Music]
ca9tHTUK9z8,421199,423680,but i've absolutely been loving the
ca9tHTUK9z8,423680,426160,results and changes i'm seeing in my
ca9tHTUK9z8,426160,428800,hair and just making sure my scalp is so
ca9tHTUK9z8,428800,431039,much healthier and taken care of
ca9tHTUK9z8,431039,433280,but you guys can check out all of tangle
ca9tHTUK9z8,433280,434800,teasers brushes with a link in the
ca9tHTUK9z8,434800,436639,description box and again a big thank
ca9tHTUK9z8,436639,438319,you to tangle teaser for partnering with
ca9tHTUK9z8,438319,440800,me on today's video we are going to go
ca9tHTUK9z8,440800,442800,get dressed and do my makeup now and get
ca9tHTUK9z8,442800,444800,on with the rest of our self-care day
ca9tHTUK9z8,444800,446240,even though i'm just at home i'm
ca9tHTUK9z8,446240,447680,actually gonna get dressed today so i'm
ca9tHTUK9z8,447680,450160,gonna throw on these denim and then this
ca9tHTUK9z8,450160,452960,little tank top cardigan duo because
