vid,start,end,text
ccaFB_dXN1k,750,3840,[Applause]
ccaFB_dXN1k,5920,8400,[Applause]
ccaFB_dXN1k,8400,9679,hell yeah
ccaFB_dXN1k,9679,12080,are you ready are you galvanized are you
ccaFB_dXN1k,12080,15360,stunning are you snatched
ccaFB_dXN1k,15360,18720,hello everyone it is me violet tchotchke
ccaFB_dXN1k,18720,20640,and we got mick
ccaFB_dXN1k,20640,23680,up first we have idiali reimagining the
ccaFB_dXN1k,23680,26640,supermodel of the world book her ideas
ccaFB_dXN1k,26640,28800,might have been good push like
ccaFB_dXN1k,28800,30640,seems on the shoulders here or like a
ccaFB_dXN1k,30640,32078,finished edge instead of like you just
ccaFB_dXN1k,32078,34079,sort of see the gathering raw like you
ccaFB_dXN1k,34079,35600,know what is going on there
ccaFB_dXN1k,35600,37840,the hair the boa shoulder
ccaFB_dXN1k,37840,38800,sleeve
ccaFB_dXN1k,38800,41200,and the bustier to me
ccaFB_dXN1k,41200,43280,first the jewelry looks first time in
ccaFB_dXN1k,43280,45350,drugs i'm going to boot this boot
ccaFB_dXN1k,45350,47200,[Music]
ccaFB_dXN1k,47200,49920,up next we have shea coulee reimagining
ccaFB_dXN1k,49920,52640,rupaul's sugar ball look i love the
ccaFB_dXN1k,52640,55360,pants i love the shoe i love the
ccaFB_dXN1k,55360,56079,like
ccaFB_dXN1k,56079,57520,okay i don't love the shoe the only
ccaFB_dXN1k,57520,59520,thing i really hate is the placement of
ccaFB_dXN1k,59520,62640,this um leopard spot right in the center
ccaFB_dXN1k,62640,64478,this doesn't look homemade not at all
ccaFB_dXN1k,64478,66320,this looks like something she brought i
ccaFB_dXN1k,66320,69200,think it's a tube i 100 agree
ccaFB_dXN1k,69200,70320,killed it
ccaFB_dXN1k,70320,73040,two this is what i want to see
ccaFB_dXN1k,73040,75200,up next we have the vivian reimagining
ccaFB_dXN1k,75200,77920,rupaul's despi awards look
ccaFB_dXN1k,77920,79360,literally just looks sort of like the
ccaFB_dXN1k,79360,81520,scene like she lifted the dress
ccaFB_dXN1k,81520,83759,up but yeah but like even the same
ccaFB_dXN1k,83759,86799,genre of hair and color i do wish you
ccaFB_dXN1k,86799,88479,like cut the necklace but like the
ccaFB_dXN1k,88479,91200,necklace and the strap and the necklace
ccaFB_dXN1k,91200,92880,yeah it's like a lot going on in this
ccaFB_dXN1k,92880,95439,region i'm just gonna boot it yeah i
ccaFB_dXN1k,95439,97600,think i'm gonna boot it too
ccaFB_dXN1k,97600,99200,up next we have trinity the tuck with
ccaFB_dXN1k,99200,101600,the season eight promo look all the
ccaFB_dXN1k,101600,103280,bubbles on the back
ccaFB_dXN1k,103280,106000,that dress is beautiful beyond stunning
ccaFB_dXN1k,106000,107600,this looks
ccaFB_dXN1k,107600,110399,of the caliber that it needs to be
ccaFB_dXN1k,110399,111600,it looks like something that maybe
ccaFB_dXN1k,111600,112960,another contestant would have brought
ccaFB_dXN1k,112960,115040,from home the only
ccaFB_dXN1k,115040,116960,nitpicky critique i have is this little
ccaFB_dXN1k,116960,119840,bow on the front tuna yet
ccaFB_dXN1k,119840,122320,toot for sure
ccaFB_dXN1k,122320,125119,up next is jinx monsoon reimagining
ccaFB_dXN1k,125119,128720,rupaul's down under look
ccaFB_dXN1k,128720,130080,every single thing
ccaFB_dXN1k,130080,132160,is literally like the madam of the
ccaFB_dXN1k,132160,134560, brothel and then the tool not
ccaFB_dXN1k,134560,136080,hitting the floor just kind of like
ccaFB_dXN1k,136080,138640,dangling off it looks like first time in
ccaFB_dXN1k,138640,142080,drought the vibe of ruse is purple and
ccaFB_dXN1k,142080,143920,asymmetrical right
ccaFB_dXN1k,143920,145520,this is purple
ccaFB_dXN1k,145520,148879,and it's asymmetrical
ccaFB_dXN1k,149040,150160,but
ccaFB_dXN1k,150160,152350,not in a good way
ccaFB_dXN1k,152350,154319,[Music]
ccaFB_dXN1k,154319,155920,we have jada essence hall doing the
ccaFB_dXN1k,155920,160239,divas alive diana ross to me this is the
ccaFB_dXN1k,160239,163519,caliber that we need to be at a hundred
ccaFB_dXN1k,163519,166160,percent for winners all-stars uh-huh
ccaFB_dXN1k,166160,168000,this is the legendary artistry that we
ccaFB_dXN1k,168000,170319,want to be seeing the lines are stunning
ccaFB_dXN1k,170319,173360,jade is stunning maybe even a shoot uh
ccaFB_dXN1k,173360,175440,oh here we go we are giving out shoots
ccaFB_dXN1k,175440,177420,let's shoot it all right
ccaFB_dXN1k,177420,179760,[Music]
ccaFB_dXN1k,179760,181760,monet exchange
ccaFB_dXN1k,181760,183840,definitely the ugliest fabric and it's
ccaFB_dXN1k,183840,185840,definitely hard to make this fabric
ccaFB_dXN1k,185840,187840,gorge yeah i don't like the boot i don't
ccaFB_dXN1k,187840,189840,like that i don't like the hat and the
ccaFB_dXN1k,189840,192720,tentacles yeah i'm booting this
ccaFB_dXN1k,192720,195519,boot up booty boot
ccaFB_dXN1k,195519,197920,up next we have raja with the season 7
ccaFB_dXN1k,197920,199280,promo look
ccaFB_dXN1k,199280,201360,i love like the skirt i just don't
ccaFB_dXN1k,201360,203360,really know what's going on behind her
ccaFB_dXN1k,203360,204400,raja
ccaFB_dXN1k,204400,206319,took it and just like made it her own it
ccaFB_dXN1k,206319,208640,was like oh rupaul this like ripped
ccaFB_dXN1k,208640,210400,dress like let me give you a ripped
ccaFB_dXN1k,210400,212879, dress and she really did
ccaFB_dXN1k,212879,215440,and it's really ripped up i like it it's
ccaFB_dXN1k,215440,218159,like fine to me so i'm going to toot it
ccaFB_dXN1k,218159,219920,soft tooth fault
ccaFB_dXN1k,219920,222720,it's a boot for me
ccaFB_dXN1k,223280,225200,trend alert
ccaFB_dXN1k,225200,227519,lack of editing take it off
ccaFB_dXN1k,227519,230080,why the necklace buy the bow why buy the
ccaFB_dXN1k,230080,233280,random cage of bits and bobs
ccaFB_dXN1k,233280,236319,our top to the weekends
ccaFB_dXN1k,236319,238480,shake
ccaFB_dXN1k,238480,242400,oh bet you killed yeah and jada had
ccaFB_dXN1k,242400,245360,amazing design and good fabric bye gord
ccaFB_dXN1k,245360,248360,bye
