vid,start,end,text
dHc7MW6x0JQ,160,2180,"- Hi, I'm Dr. Serena H. Chen."
dHc7MW6x0JQ,2180,5020,"I'm a reproductive endocrinologist and fertility specialist,"
dHc7MW6x0JQ,5020,7400,and I'm here to answer your questions on Twitter.
dHc7MW6x0JQ,7400,10243,This is fertility support.
dHc7MW6x0JQ,10243,12826,[upbeat music]
dHc7MW6x0JQ,14717,16070,"@FertilityUnit asks,"
dHc7MW6x0JQ,16070,17990,Do you know how often you should have sex
dHc7MW6x0JQ,17990,20440,if you're trying to conceive? #fertility.
dHc7MW6x0JQ,20440,22630,"You don't have to have sex that much, actually."
dHc7MW6x0JQ,22630,23619,Twice a week.
dHc7MW6x0JQ,23620,25240,So have two dates a week
dHc7MW6x0JQ,25240,27810,because the good sperm will stick around
dHc7MW6x0JQ,27810,30449,in the fallopian tubes for a few days.
dHc7MW6x0JQ,30450,32310,"So if you have sex twice a week,"
dHc7MW6x0JQ,32310,34650,then you always have some sperm in the tubes
dHc7MW6x0JQ,34650,35950,waiting for the eggs.
dHc7MW6x0JQ,35950,39950,So it's a myth that you have to precisely time intercourse
dHc7MW6x0JQ,39950,41700,with the release of the egg
dHc7MW6x0JQ,41700,44300,"or that you have to have sex 10 times a day,"
dHc7MW6x0JQ,44300,46260,and that makes your fertility higher.
dHc7MW6x0JQ,46260,47370,It actually doesn't.
dHc7MW6x0JQ,47370,50257,I think you just get a little tired.
dHc7MW6x0JQ,50257,51560,"@Wondertramp asks,"
dHc7MW6x0JQ,51560,56560,Does anyone know if #covid-19 affects #fertility?
dHc7MW6x0JQ,57136,58610,Asking for a friend.
dHc7MW6x0JQ,58610,60780,"Everybody wants to know the answer to this question,"
dHc7MW6x0JQ,60780,65049,"and the truth is, COVID-19 does impact fertility."
dHc7MW6x0JQ,65050,66410,"The vaccine does not,"
dHc7MW6x0JQ,66410,69040,which is why we really want you to get vaccinated.
dHc7MW6x0JQ,69040,72070,We are asking all our patients trying to conceive
dHc7MW6x0JQ,72070,74810,and pregnant to get fully vaccinated.
dHc7MW6x0JQ,74810,78490,Because we know that the vaccine has been found safe
dHc7MW6x0JQ,78490,80930,"in people trying to conceive, both men and women,"
dHc7MW6x0JQ,80930,83080,and safe in pregnancy.
dHc7MW6x0JQ,83080,86010,"We know that COVID-19, the disease,"
dHc7MW6x0JQ,86010,89340,actually does have a powerful negative impact
