vid,start,end,text
ehxCDvnfj7U,20,1420,Do you want to join soccer?
ehxCDvnfj7U,1680,2600,Not really...
ehxCDvnfj7U,5400,5900,*ball thud*
ehxCDvnfj7U,5920,11080,My mom had me in physical activities before I was even able to comprehend the idea of free will.
ehxCDvnfj7U,11120,12840,But that's not anything I'm complaining about.
ehxCDvnfj7U,12920,16460,I really enjoyed most of them and it got me being active really early in life.
ehxCDvnfj7U,16540,20180,"If Mom didn't do that, I'd definitely would have just sat on the floor of my room and"
ehxCDvnfj7U,20260,22380,played with a Lite Brite for 15 years...
ehxCDvnfj7U,22460,25560,"When I was four, my mom was like, ""Alright, up and at 'em future diva!"""
ehxCDvnfj7U,25720,27320,"""Time to get those feet a-tappin'!"""
ehxCDvnfj7U,27380,28240,"Since I was so young,"
ehxCDvnfj7U,28260,31180,I really don't remember anything about dance classes.
ehxCDvnfj7U,31260,35600,"I know we had a tumbling part where we would spin around or do somersaults,"
ehxCDvnfj7U,35740,39840,and I think there was a giant foam cheese wheel I would run full-speed into.
ehxCDvnfj7U,40000,41920,I don't know what that was all about...
ehxCDvnfj7U,42000,46280,"I also have this distinct memory, that when I was on my way to class, I was chewing gum in the backseat."
ehxCDvnfj7U,46320,50300,"AND FOR SOME STUPID REASON, I took it out of my mouth and started playing with it."
ehxCDvnfj7U,50400,53960,"Except, it started sticking to my fingers the more I tried to get it off."
ehxCDvnfj7U,53980,56760,"and by the time Mom opened the door to let me out, I-"
ehxCDvnfj7U,56800,60440,"One dance recital, I was doing this routine with other girls in front of the parents."
ehxCDvnfj7U,60520,62720,I was in the center like the little queen I was.
ehxCDvnfj7U,62740,64500,"And apparently in the middle of the performance,"
ehxCDvnfj7U,64600,67220,the girl on the left froze up and stopped dancing...
ehxCDvnfj7U,67280,67880,...
ehxCDvnfj7U,67880,71340,"""Megan, I swear to God if you ruin my big moment, I'll put gum in your hair."""
ehxCDvnfj7U,71340,72920,"I guess it wasn't that big of a deal,"
ehxCDvnfj7U,72920,76240,"but there was a part where we had to start shuffling to the side,"
ehxCDvnfj7U,76240,77439,and she still wouldn't move.
ehxCDvnfj7U,77520,79619,So what did I do to continue the show?
ehxCDvnfj7U,79740,81640,"I grabbed her tiny four-year-old hand,"
ehxCDvnfj7U,81740,85479,"we looked at each other, I nodded, and her eyes lit up with determination."
ehxCDvnfj7U,85560,89240,We danced in sync for the rest of the show hitting every step perfectly!
ehxCDvnfj7U,89240,93220,and got a standing ovation from all the parents as we were showered by flowers! *cheering and clapping*
ehxCDvnfj7U,93220,96360,"Just kidding, I started pushing her as I was dancing because she was in my way."
ehxCDvnfj7U,96420,111680,*hercules music plays in the background* *laughter*
ehxCDvnfj7U,111820,115900,"After blowing it out of the water and becoming too good at dance with gum webs,"
ehxCDvnfj7U,115960,117880,"and shoving away the competition,"
ehxCDvnfj7U,117940,120020,I dropped it and started cheerleading.
ehxCDvnfj7U,120140,122880,And I don't remember anything about that era at all!
ehxCDvnfj7U,122960,127000,"My parents could be like, ""No, you never did cheerleading"" and I'd be like, ""Yeah, ok."""
ehxCDvnfj7U,127020,131739,"One time getting out of my dad's car to go to practice, I slammed the door onto my thumb and was like..."
ehxCDvnfj7U,133460,134720,"""daaAAAAD!"""
ehxCDvnfj7U,134740,136180,And that's it that's all I got for ya.
ehxCDvnfj7U,136220,137960,It doesn't have anything to do with cheer at all.
ehxCDvnfj7U,137960,141160,But here's a picture of me doing some cheer thing for proof I did it.
ehxCDvnfj7U,141200,143760,"And also here's my thumb. I- Yes, I still have it."
ehxCDvnfj7U,143760,145060,Next step was gymnastics!
ehxCDvnfj7U,145220,148600,That was one of the most terrifying experiences of my life.
ehxCDvnfj7U,148700,152540,Not because we were doing a bunch of crazy flips and spinning around bars.
ehxCDvnfj7U,152540,153180,"Nah,"
ehxCDvnfj7U,153180,154739,I was just a freakin' PUSSYCAT.
ehxCDvnfj7U,154840,156959,I was so bad at everything.
ehxCDvnfj7U,156960,159440,"I was the first to fall over with the wall handstands,"
ehxCDvnfj7U,159540,161060,I couldn't do a single pull-up.
ehxCDvnfj7U,161120,161900,I still can't :'(
ehxCDvnfj7U,161960,164580,"I didn't know why people kept yelling ""Stick it!"" at me."
ehxCDvnfj7U,165080,167500,"""Uh, yeah! Stick it to the man!"""
ehxCDvnfj7U,167540,169079,"I was so wimpy and bad,"
ehxCDvnfj7U,169140,174560,I was the kid the coaches had to pull aside during practice and be worked on one on one.
ehxCDvnfj7U,174580,176760,"While everyone else was having fun in the foam pit,"
ehxCDvnfj7U,176860,179480,I was taken off to the side to work on not being a failure!
ehxCDvnfj7U,179640,181500,"Coach: ""Jaiden, lean back. I'm spotting you."""
ehxCDvnfj7U,181500,182580,"""We're gonna do a backbend."""
ehxCDvnfj7U,182600,183440,"Jaiden, panicky: ""NO, I CAN'T DO IT!"""
ehxCDvnfj7U,183540,185360,"Coach: ""Just lean back. My arm is right here, I'll-"""
ehxCDvnfj7U,185400,187659,"Jaiden: ""NEVER! I HAVE NO REASON TO TRUST YOU."""
ehxCDvnfj7U,187800,188360,*spits*
ehxCDvnfj7U,188760,189799,"""Stick it to the man."""
ehxCDvnfj7U,189860,191180,I didn't spit in anyone's face.
ehxCDvnfj7U,191280,193020,But I was never able to do a backbend
ehxCDvnfj7U,193020,195700,because I trusted no one and thought I'd just fall over and die.
ehxCDvnfj7U,195780,199959,I was a woke six-year-old. Already knew not to trust anyone but myself.
ehxCDvnfj7U,200160,203380,"""Aren't you the one who slammed your own thumb into a car door?"""
ehxCDvnfj7U,204780,207920,"And then one time, I was at a friend's house jumping on a trampoline,"
ehxCDvnfj7U,208020,212640,"and I landed on my knees weird, and somehow spun it into an excuse to stop gymnastics."
ehxCDvnfj7U,212740,213540,YAY QUITTING!
ehxCDvnfj7U,213580,215160,Not a prodigy born gymnast?
ehxCDvnfj7U,215220,217140,"Well, all right then, how about soccer?"
ehxCDvnfj7U,217200,221840,"I played soccer for a long time, just like everyone else has, and actually really enjoyed it for a while."
ehxCDvnfj7U,221940,225620,My first team was called the Pink Panthers because our uniforms were hot pink.
ehxCDvnfj7U,225680,230379,I was the nerd of the team that kept a stuffed animal Pink Panther in my soccer bag for good luck!
ehxCDvnfj7U,230420,231740,It didn't work. We sucked butt.
ehxCDvnfj7U,231780,233040,But it was still a lot of fun!
ehxCDvnfj7U,233080,236300,"Coincidentally, one time we played against another team that was also pink."
ehxCDvnfj7U,236440,237580,They were called...
ehxCDvnfj7U,237740,239160,"... the ""Pink Panthers."""
ehxCDvnfj7U,239220,243520,"""All right Pink Panthers, we've got a big game this weekend against... the 'Pink Panthers.'"""
ehxCDvnfj7U,244540,246799,"""Well, it sounds like we win either way."""
ehxCDvnfj7U,246820,248540,"All the parents would be trying to cheer for us,"
ehxCDvnfj7U,248580,251280,"but it was pretty confusing because it would just turn into,"
ehxCDvnfj7U,251320,252940,"Casual Soccer Mom 1: ""Go Pink Panth- uh..."""
ehxCDvnfj7U,253080,255280,"""Go... Hot Pink Panthers!"""
