vid,start,end,text
fM2qKgwRmYE,40,2099,Aku
fM2qKgwRmYE,5590,8650,[Musik]
fM2qKgwRmYE,19980,22830,mau pergi dulu ya
fM2qKgwRmYE,22830,28380,Mama mau dinner sama
fM2qKgwRmYE,28390,30840,hai eh besok saya mau beli mainan besok
fM2qKgwRmYE,30840,34050,kita beli mainan ya
fM2qKgwRmYE,34050,37120,Kalau gitu udah beli mainan nanti kita
fM2qKgwRmYE,37120,39010,ke ulang tahunnya anak hurufnya
fM2qKgwRmYE,39010,42670,kaliyamatan ia kasih kado kita jalan
fM2qKgwRmYE,42670,44730,yang lagi pulang oke
fM2qKgwRmYE,44730,49540,oke iya adem iya adiknya ikuti namanya
fM2qKgwRmYE,49540,51180,lah
fM2qKgwRmYE,51180,54839,oh berani-berani ya remorse papa
fM2qKgwRmYE,54839,59339,kalau papa di Nusa Mama di rumah aja kan
fM2qKgwRmYE,59339,61840,Ya kan Mama sama Papa pergi nanti pulang
fM2qKgwRmYE,61840,64470,sana 10 udah pulang ya
fM2qKgwRmYE,64470,67350,sejam dua jam tiga jam lah ya
fM2qKgwRmYE,67350,70479,Mana bisa satu jam jalannya dong
fM2qKgwRmYE,70479,73859,macetnya macetnya jalanan
fM2qKgwRmYE,73950,76800,tuh
fM2qKgwRmYE,76800,79899,nggak bisa perjalanan 40menit makan Papa
fM2qKgwRmYE,79899,83460,meetings pulang ke sini 45menit
fM2qKgwRmYE,83610,86649,mau udah siap belum belum dan dan belum
fM2qKgwRmYE,86649,87850,Apakah
fM2qKgwRmYE,87850,92049,Hai Lama kali kau saja senam eh ternyata
fM2qKgwRmYE,92049,92930,doang
fM2qKgwRmYE,92930,94740,[Musik]
fM2qKgwRmYE,94740,98340,tipung tuh Mas malam Kenongo
fM2qKgwRmYE,98340,100380,24jam
fM2qKgwRmYE,100380,102600,Ya pemirsa
fM2qKgwRmYE,102600,107320,itu saat mukenah Mama Halo aku si anak
fM2qKgwRmYE,107320,110729,kalau di rumah pakai sepatu
fM2qKgwRmYE,110759,115780,kok yogurt gua nyeker
fM2qKgwRmYE,116290,117360,Hai
fM2qKgwRmYE,117360,121600,jangan kau Ibu para ada dimakan
fM2qKgwRmYE,121600,125070,Hai kamu butuh uang
fM2qKgwRmYE,125070,126690,Halo Pa
fM2qKgwRmYE,126690,128970,halo halo guys jadi malam ini mama sama
fM2qKgwRmYE,128970,131700,papa mau dinner Andai makan dinner
fM2qKgwRmYE,131700,133680,sendiri dirumah masuk dinner di rumah
fM2qKgwRmYE,133680,135620,aja ya
fM2qKgwRmYE,135620,139770,Oke Oke jangan lupa ditonton vlognya
fM2qKgwRmYE,139770,142370,yang Ken
fM2qKgwRmYE,142940,148350,Abu itu abu-abu
fM2qKgwRmYE,149280,151260,hai oh yes kita siap-siap kita mau
fM2qKgwRmYE,151260,153420,ketemu sampai menang biner April Mas
fM2qKgwRmYE,153420,157380,Pegadaian 2022 uh siap wa aku mau pipis
fM2qKgwRmYE,157380,160620,untuk jalan nih ya Oke jadi nih katanya
fM2qKgwRmYE,160620,162480,hari ini harus Rapi banget jadi aku udah
fM2qKgwRmYE,162480,166790,super extra duper rapih banget ini
fM2qKgwRmYE,166790,171239,Tapi tadi mom Pak dulu yang alhasil Uh
fM2qKgwRmYE,171239,174660,enak susuk nih Nah iya jadi semuanya
