vid,start,end,text
fiutY4ojZUQ,5220,8719,There's a fight right around the corner just waiting for you.
fiutY4ojZUQ,13000,16480,And you better learn how to fight.
fiutY4ojZUQ,20260,24500,"You've got to get up every morning fighting, clawing, scratching."
fiutY4ojZUQ,25740,27080,You’ve got to beat depression.
fiutY4ojZUQ,27080,28740,You’ve got to beat anxiety.
fiutY4ojZUQ,28740,30430,You’ve got to beat the naysayers.
fiutY4ojZUQ,30430,33480,You’ve got to beat that little voice in your head that’s telling you you're not
fiutY4ojZUQ,33480,35320,good enough.
fiutY4ojZUQ,37460,40899,"When I think about fighting, I'm not talking about people."
fiutY4ojZUQ,40900,45399,"I'm talking about situations, I'm talking about circumstances, I'm talking about opportunities"
fiutY4ojZUQ,45400,48039,that sometimes you have to fight for.
fiutY4ojZUQ,48840,50540,"Come on life, let's fight."
fiutY4ojZUQ,50550,51550,Let's go.
fiutY4ojZUQ,51550,53579,"Come on job, let's go."
fiutY4ojZUQ,53580,54720,"Come on career, let's go."
fiutY4ojZUQ,56560,58300,I'm going to go to war.
fiutY4ojZUQ,59000,61590,That dream is not going to sit there and wait for you to come and get it.
fiutY4ojZUQ,62840,65260,You got to chase it like a man possessed.
fiutY4ojZUQ,65260,67640,You’ve got to go get it.
fiutY4ojZUQ,68120,70380,But to win fights you’ve got to have stamina.
fiutY4ojZUQ,70380,75060,"You’ve got to be ready to fight and bounce back, punch and counterpunch, jab and jab back."
fiutY4ojZUQ,75240,78259,Let me tell you something - Life is a series of fights.
fiutY4ojZUQ,78260,83190,The worst thing you can do is run away from your fights because if life is a series of
fiutY4ojZUQ,83190,87380,"fights and you run away, you just ran away from your life."
fiutY4ojZUQ,87380,88579,We got to fight.
fiutY4ojZUQ,88580,90400,We got to fight.
fiutY4ojZUQ,90400,91400,We can't lay down.
fiutY4ojZUQ,91580,94260,"When you lay down, you get ran over."
fiutY4ojZUQ,94640,99000,"When you about to fight, you know a fight is coming your adrenaline begins to pump, your"
fiutY4ojZUQ,99000,102040,"heart begins to race, your mind gets right and says, “Look, I'm not going to just fight."
fiutY4ojZUQ,102180,105560,I'm going to win this battle and sucker you are going down”.
fiutY4ojZUQ,106570,108600,Some of you guys out there are fighting for your life.
fiutY4ojZUQ,108600,109600,Why?
fiutY4ojZUQ,109600,111580,"Because the doctor told you, you have cancer."
fiutY4ojZUQ,111580,113830,You better not feel sorry for yourself.
fiutY4ojZUQ,113830,115450,You better not lay down and quit.
fiutY4ojZUQ,115450,119840,You better get up and fight because a happy spirit does a body good like medicine.
fiutY4ojZUQ,122640,123760,Fighting for your future.
fiutY4ojZUQ,123760,125080,Fighting for your dreams.
fiutY4ojZUQ,125080,126620,Fighting for success.
fiutY4ojZUQ,127260,130899,"When you come over to depression, you raise your arms like a champion."
fiutY4ojZUQ,130899,134000,"When you overcome bankruptcy, you raise your arms like a champion."
fiutY4ojZUQ,134720,137280,"When you come over to divorce, raise your arms in victory."
fiutY4ojZUQ,138400,140780,Sometimes in life you get caught with a good one.
fiutY4ojZUQ,140780,142240,You didn’t see divorce coming.
fiutY4ojZUQ,142240,143920,You didn’t see cheating coming.
fiutY4ojZUQ,143920,145599,You didn’t see being fired coming.
fiutY4ojZUQ,145600,146900,You got sucker punched.
fiutY4ojZUQ,146900,150720,"Oh, I’ve been sucker punched before but that didn’t mean, I can’t stop fighting."
fiutY4ojZUQ,150720,152060,We’ve got to get up baby.
fiutY4ojZUQ,152060,154080,"When you’ve been sucker punched, get up."
fiutY4ojZUQ,154080,155840,"When you’ve been hit in the gut, get up."
fiutY4ojZUQ,156200,157760,Because you have to win this war.
fiutY4ojZUQ,157769,159870,You’ve got to learn how to fight one battle at a time.
fiutY4ojZUQ,159870,161450,One war at a time.
fiutY4ojZUQ,161450,164599,"Because you might not win every fight, but you’ve got to win the war."
fiutY4ojZUQ,165660,169860,"You’ve got to have the right attitude, the right mindset, the right mentality not just"
fiutY4ojZUQ,169860,171820,"to fight, it’s going to be a war."
fiutY4ojZUQ,171820,173160,And you don’t quit until you win.
fiutY4ojZUQ,173160,174160,It’s going to be a war.
fiutY4ojZUQ,176640,179760,And don't you quit until you win!
fiutY4ojZUQ,183040,187519,"Let’s fight, let's fight, let’s fight and let’s fight."
fiutY4ojZUQ,203800,208000,You're going to have sometimes low moments when you won't want to get out of bed.
fiutY4ojZUQ,209080,211959,You just want to stay there.
fiutY4ojZUQ,211960,214480,At times you won't want to come out the house.
fiutY4ojZUQ,214930,217829,There's sometimes when things aren't going to go right.
fiutY4ojZUQ,217840,219560,That will catch you on the blindside.
fiutY4ojZUQ,220040,221959,That you did not anticipate.
fiutY4ojZUQ,221969,226109,There are times when anything that can happen will happen.
fiutY4ojZUQ,226109,228769,Murphy's Law will be knocking at your door.
fiutY4ojZUQ,228769,234080,"See, but the real challenge comes when you get knocked down."
fiutY4ojZUQ,234840,236090,That's where the growth takes place.
fiutY4ojZUQ,236090,241219,"But I got a saying, “When life knocks you down, try and land on your back because if"
fiutY4ojZUQ,241219,243780,"you can look up, you can get up”."
fiutY4ojZUQ,243780,245819,You've got the power in you to do that.
fiutY4ojZUQ,245819,247569,You've got something special.
fiutY4ojZUQ,247569,250519,You've got combat power.
fiutY4ojZUQ,250519,253569,"You'll get knocked down, but you won't be knocked out."
fiutY4ojZUQ,253569,255169,I'm unstoppable.
fiutY4ojZUQ,255169,257260,This will not get me down.
fiutY4ojZUQ,257260,262380,"You'll be able to get to your feet again, be on the ropes. That you'll have a fast recovery"
fiutY4ojZUQ,262380,264440,rate when you work on yourself.
fiutY4ojZUQ,266040,268120,"You’ve got to put your foot down and say, “That's it."
fiutY4ojZUQ,268130,269670,Enough is enough.
fiutY4ojZUQ,269670,273580,No longer am I going to listen to that voice inside my head telling me I'm nothing.
fiutY4ojZUQ,273580,275400,Telling me I'm no good.
fiutY4ojZUQ,275400,276400,Telling me I'm weak.
fiutY4ojZUQ,276400,278120,Telling me I'm useless”.
fiutY4ojZUQ,278120,285340,"Fight against weakness, against fear, against time and against decay."
fiutY4ojZUQ,285340,286340,Fight back.
fiutY4ojZUQ,286340,288380,Go down swinging.
fiutY4ojZUQ,288380,291690,Give every day everything you've got.
fiutY4ojZUQ,291690,296040,No more am I going to be this scared little kid inside my head.
fiutY4ojZUQ,297340,301680,And today and from every day after today I'm going to stop fighting back.
fiutY4ojZUQ,301700,304250,I'm going to start doing what I want to do.
fiutY4ojZUQ,304250,305450,with strength and pride.
fiutY4ojZUQ,305450,308680,I'm going to take on the world because that's what I'm capable of.
fiutY4ojZUQ,308680,310600,That's what I'm made to do.
fiutY4ojZUQ,310600,312360,That's what's inside me.
fiutY4ojZUQ,312810,314240,Commitment!
fiutY4ojZUQ,314250,315500,It means taking a stand.
fiutY4ojZUQ,315500,318310,Taking a stand for you.
fiutY4ojZUQ,318310,319889,It means delivering.
fiutY4ojZUQ,319890,322260,It means coming through.
fiutY4ojZUQ,322260,328200,"When we put ourselves in the situation where we say we're going to do it, it puts you in"
fiutY4ojZUQ,328200,329920,another zone.
fiutY4ojZUQ,330640,335160,The universe responds to the man or woman that refuses to be denied.
fiutY4ojZUQ,336160,340040,"That business that you want, that book that what you want to write."
