vid,start,end,text
g0jrWz2LrUA,3360,6569,[Music]
g0jrWz2LrUA,7680,10240,good morning and welcome
g0jrWz2LrUA,10240,12799,this is news first
g0jrWz2LrUA,12799,17799,morning prime time news
g0jrWz2LrUA,31730,34850,[Music]
g0jrWz2LrUA,36800,39800,foreign
g0jrWz2LrUA,126240,129239,foreign
g0jrWz2LrUA,224400,227400,foreign
g0jrWz2LrUA,262800,265800,foreign
g0jrWz2LrUA,336880,339840,foreign
g0jrWz2LrUA,348639,351639,foreign
g0jrWz2LrUA,406000,409000,foreign
g0jrWz2LrUA,420479,423479,foreign
g0jrWz2LrUA,447680,450680,foreign
g0jrWz2LrUA,515680,518680,be
g0jrWz2LrUA,561680,564680,so
g0jrWz2LrUA,588000,591000,s
g0jrWz2LrUA,658800,661800,foreign
g0jrWz2LrUA,699440,702440,foreign
g0jrWz2LrUA,771279,774279,stomach
