vid,start,end,text
gCxmWOOZJA0,320,2000,sports are more than just intense and
gCxmWOOZJA0,2000,3520,exciting matches
gCxmWOOZJA0,3520,5279,players likewise will pretty frequently
gCxmWOOZJA0,5279,7120,dedicate some embarrassing mistakes in
gCxmWOOZJA0,7120,9519,sports and today you are lucky because
gCxmWOOZJA0,9519,11360,you will witness the most unique events
gCxmWOOZJA0,11360,12719,that take place in the world of
gCxmWOOZJA0,12719,14400,professional sports
gCxmWOOZJA0,14400,16080,so check out our new selection of
gCxmWOOZJA0,16080,18000,funniest and most embarrassing moments
gCxmWOOZJA0,18000,19920,in sports before we continue don't
gCxmWOOZJA0,19920,21520,forget to hit that like button also
gCxmWOOZJA0,21520,23199,subscribe to our channel and turn on
gCxmWOOZJA0,23199,26320,notifications let's begin
gCxmWOOZJA0,26320,28560,the us women's four times 100 meter
gCxmWOOZJA0,28560,30400,relay team athletes almost lose the
gCxmWOOZJA0,30400,32480,baton along the way the incident
gCxmWOOZJA0,32480,35120,happened during the rio olympics in 2016
gCxmWOOZJA0,35120,38899,[Applause]
gCxmWOOZJA0,51680,53680,during the bob slate game these players
gCxmWOOZJA0,53680,55280,dramatically funny mistake at the
gCxmWOOZJA0,55280,58280,beginning
gCxmWOOZJA0,65920,68000,it was a really really good start until
gCxmWOOZJA0,68000,69600,that slip up
gCxmWOOZJA0,69600,71840,wow
gCxmWOOZJA0,76159,77759,you have to hit your opponent's target
gCxmWOOZJA0,77759,79920,with your blade and a strategy used by a
gCxmWOOZJA0,79920,82640,few expert fencers is the back flick in
gCxmWOOZJA0,82640,84560,which they normally bounce and contact
gCxmWOOZJA0,84560,86330,the rivals back
gCxmWOOZJA0,86330,98890,[Music]
gCxmWOOZJA0,104320,105920,this basketball player shows the
gCxmWOOZJA0,105920,108159,foolishness of the action at least it
gCxmWOOZJA0,108159,109680,was a little funny and embarrassing
gCxmWOOZJA0,109680,112680,moment
gCxmWOOZJA0,119280,120880,is recognized as one of the most
gCxmWOOZJA0,120880,123200,impressive players in tennis game here's
gCxmWOOZJA0,123200,127078,an example of her talent
gCxmWOOZJA0,131970,135520,[Music]
gCxmWOOZJA0,135520,136959,during the world championship in
gCxmWOOZJA0,136959,138959,durraris in france a riderless
gCxmWOOZJA0,138959,141440,motorcycle wants to do some rides alone
gCxmWOOZJA0,141440,143280,the promoters of the race trying in vain
gCxmWOOZJA0,143280,147239,to stop for a few seconds
gCxmWOOZJA0,150700,153889,[Applause]
gCxmWOOZJA0,158400,165760,[Music]
gCxmWOOZJA0,165760,167519,during the world championship fencing
gCxmWOOZJA0,167519,169840,game this player nicosian bogdan takes a
gCxmWOOZJA0,169840,172080,good point to target his opponent
gCxmWOOZJA0,172080,175360,much larger deficits
gCxmWOOZJA0,177040,178480,this is getting that's going to be a
gCxmWOOZJA0,178480,180190,card look at
gCxmWOOZJA0,180190,182840,[Music]
gCxmWOOZJA0,182840,185760,it this pole vaulter angelica banks in
gCxmWOOZJA0,185760,191560,the attempt fails in 2019 diamond league
gCxmWOOZJA0,198800,201440,foreign
gCxmWOOZJA0,201440,205569,[Music]
gCxmWOOZJA0,211020,218080,[Music]
gCxmWOOZJA0,218080,220210,yes
gCxmWOOZJA0,220210,224229,[Music]
gCxmWOOZJA0,234400,236480,when the hood of a racing car deforms
gCxmWOOZJA0,236480,238239,there is a very simple technique for its
gCxmWOOZJA0,238239,241480,quick repair
gCxmWOOZJA0,242879,244280,world championship
gCxmWOOZJA0,244280,246879,wrestling this thing
gCxmWOOZJA0,246879,250840,into some form of
gCxmWOOZJA0,254000,255680,look like this horse doesn't care about
gCxmWOOZJA0,255680,258959,his rider the class was in his hands as
gCxmWOOZJA0,258959,261040,he steered down towards the land rover
gCxmWOOZJA0,261040,263040,oxford he asked for a big one the horse
gCxmWOOZJA0,263040,264720,ended up paddling through it and then
gCxmWOOZJA0,264720,266400,knuckled down on landing meaning that
gCxmWOOZJA0,266400,268720,there was no hope for kevin out of the
gCxmWOOZJA0,268720,271280,place he came for elimination
gCxmWOOZJA0,271280,272800,during the time out a china world
gCxmWOOZJA0,272800,274720,basketball championship polling coach
gCxmWOOZJA0,274720,277040,gives instructions to players but his
gCxmWOOZJA0,277040,281720,voice resembles that of mickey mouse
gCxmWOOZJA0,286560,287919,here's the point
gCxmWOOZJA0,287919,289840,let's do a better job at the point of
gCxmWOOZJA0,289840,292000,attacking transitioning screens to try
gCxmWOOZJA0,292000,295880,to stay out of the switches
gCxmWOOZJA0,296080,297840,when this young gymnast hand slipped a
gCxmWOOZJA0,297840,299280,quick thinking coach swooped in and
gCxmWOOZJA0,299280,301610,saved her from a terrible landing
gCxmWOOZJA0,301610,305360,[Music]
gCxmWOOZJA0,305360,307600,during curling game this player satsuki
gCxmWOOZJA0,307600,309600,fujisawa playing the most ridiculous
gCxmWOOZJA0,309600,314199,rock and everyone has a good laughs
gCxmWOOZJA0,315750,318810,[Music]
gCxmWOOZJA0,323460,326589,[Music]
gCxmWOOZJA0,332400,334080,during the soccer match the german
gCxmWOOZJA0,334080,336160,footballer julian brand had somewhere in
gCxmWOOZJA0,336160,338320,mind while running a foul and it is set
gCxmWOOZJA0,338320,340080,up on the wall it will remain there for
gCxmWOOZJA0,340080,342160,several seconds without reaction while
gCxmWOOZJA0,342160,343410,the phase has evolved
gCxmWOOZJA0,343410,346669,[Music]
gCxmWOOZJA0,351039,353199,locked on the amazingly by henriksen
gCxmWOOZJA0,353199,355600,again by the same player now
gCxmWOOZJA0,355600,357520,another penalty given here now is that
gCxmWOOZJA0,357520,361680,handball it is red card
gCxmWOOZJA0,363600,366960,last bender
gCxmWOOZJA0,366960,369280,this soccer goalkeeper is probably crazy
gCxmWOOZJA0,369280,371680,or maybe he's in a seizure look like he
gCxmWOOZJA0,371680,374919,can't move
gCxmWOOZJA0,389759,392000,during the first open weep out in an mma
gCxmWOOZJA0,392000,393759,fight one of the fighters attempted
gCxmWOOZJA0,393759,396690,insane move
gCxmWOOZJA0,396690,410319,[Music]
gCxmWOOZJA0,410319,412240,during the basketball match this player
gCxmWOOZJA0,412240,414240,tony parker lose the goal the ball in
gCxmWOOZJA0,414240,418039,court amazing
gCxmWOOZJA0,422720,424800,control or
gCxmWOOZJA0,424800,426880,james not ready
gCxmWOOZJA0,426880,429520,obviously that pole balder girl seems to
gCxmWOOZJA0,429520,433319,have done something stupid
gCxmWOOZJA0,434890,446000,[Music]
gCxmWOOZJA0,446000,448080,this player marcelo brzovi doing
gCxmWOOZJA0,448080,450160,something between a dive and a tackle to
gCxmWOOZJA0,450160,451919,protect the gulpest of his team from a
gCxmWOOZJA0,451919,455800,free kick by luis suarez
gCxmWOOZJA0,456780,461309,[Applause]
gCxmWOOZJA0,461380,464800,[Music]
gCxmWOOZJA0,464800,467120,during fencing game this player heoja
gCxmWOOZJA0,467120,471319,lose his balance and fell down
gCxmWOOZJA0,472130,475250,[Applause]
gCxmWOOZJA0,477650,480080,[Music]
gCxmWOOZJA0,480080,482240,during a basketball game a ball stuck
gCxmWOOZJA0,482240,484560,behind the backboard players of fresno
gCxmWOOZJA0,484560,487199,will try to catch but without success
gCxmWOOZJA0,487199,489280,fortunately came the unexpected help of
gCxmWOOZJA0,489280,491199,a little boy who climbed the basketball
gCxmWOOZJA0,491199,495560,court and managed to clear the ball
gCxmWOOZJA0,495980,498770,[Music]
gCxmWOOZJA0,498770,501410,[Applause]
gCxmWOOZJA0,501410,507720,[Music]
gCxmWOOZJA0,509280,511930,[Applause]
gCxmWOOZJA0,511930,515758,[Music]
gCxmWOOZJA0,517680,521839,this basketball player misses the goal
gCxmWOOZJA0,523490,532640,[Music]
gCxmWOOZJA0,532640,534399,the incredible moment player marlon
gCxmWOOZJA0,534399,536560,torres gives yellow card to opposition
gCxmWOOZJA0,536560,539510,player
gCxmWOOZJA0,539510,552480,[Music]
gCxmWOOZJA0,552800,555800,hey
gCxmWOOZJA0,556990,566240,[Music]
gCxmWOOZJA0,566240,568320,these two kickboxing athletes avoid two
gCxmWOOZJA0,568320,571380,consecutive kicks
gCxmWOOZJA0,571380,577039,[Applause]
gCxmWOOZJA0,580270,586959,[Music]
gCxmWOOZJA0,586959,589200,skeleton slider lane in nicotina fails
gCxmWOOZJA0,589200,590959,epically to land on sled at world
gCxmWOOZJA0,590959,593959,championships
gCxmWOOZJA0,597640,600850,[Music]
gCxmWOOZJA0,605670,611519,[Music]
gCxmWOOZJA0,611519,614480,in 2020 boxing olympic games japan the
gCxmWOOZJA0,614480,616720,ukrainian alexander kisniak comfortably
gCxmWOOZJA0,616720,618480,won the first two rounds but in the
gCxmWOOZJA0,618480,620720,third round hebert souza sent him to the
gCxmWOOZJA0,620720,624600,ground with a left hook
gCxmWOOZJA0,629580,654480,[Music]
gCxmWOOZJA0,654480,656480,a man cheats on his opponent in a tennis
gCxmWOOZJA0,656480,660760,match making a clever pretense
gCxmWOOZJA0,662880,664640,football players of the japanese team
gCxmWOOZJA0,664640,666640,kyudo sang a concocting an ingenious
