vid,start,end,text
gVUmDZy3DWI,240,2000,in this video you're gonna witness some
gVUmDZy3DWI,2000,4000,of central asia's most death-defying
gVUmDZy3DWI,4000,6000,dishes with chefs who put their lives on
gVUmDZy3DWI,6000,8320,the line literally shoving their entire
gVUmDZy3DWI,8320,11280,bodies into hot fiery ovens just to feed
gVUmDZy3DWI,11280,13280,you this oven is so big that he's inside
gVUmDZy3DWI,13280,16320,of it he's actually cooking momentarily
gVUmDZy3DWI,16320,18000,today i'm on a mission to reveal
gVUmDZy3DWI,18000,20560,uzbekistan's most satisfying street food
gVUmDZy3DWI,20560,23119,made by the daredevils of dining
gVUmDZy3DWI,23119,25519,from heat resistant tandoor divers i've
gVUmDZy3DWI,25519,27439,seen 10 doors that are so hot they burn
gVUmDZy3DWI,27439,29359,all your arm hairs off to giant fish
gVUmDZy3DWI,29359,31439,wranglers who catch your dinner by hand
gVUmDZy3DWI,31439,33280,this thing is like a snake all the
gVUmDZy3DWI,33280,36800,action starts right here
gVUmDZy3DWI,37360,39040,we've just come to the bread district
gVUmDZy3DWI,39040,40559,this is a patch of the highway with tons
gVUmDZy3DWI,40559,42480,of different bread shops making bread
gVUmDZy3DWI,42480,44879,absolutely fresh like most bakeries a
gVUmDZy3DWI,44879,47440,day at pad tier 13 starts with loads of
gVUmDZy3DWI,47440,49680,dough and that is where the similarities
gVUmDZy3DWI,49680,51920,end for extra richness the dough here is
gVUmDZy3DWI,51920,54000,made with only flour and butter it
gVUmDZy3DWI,54000,55680,starts with the portioning the balling
gVUmDZy3DWI,55680,57600,the rolling it out
gVUmDZy3DWI,57600,59440,and then they put the print they make a
gVUmDZy3DWI,59440,60960,special design you'll see that every
gVUmDZy3DWI,60960,62880,bread here has an identity
gVUmDZy3DWI,62880,65280,[Music]
gVUmDZy3DWI,65280,66960,then the dough is glazed with more
gVUmDZy3DWI,66960,68400,butter
gVUmDZy3DWI,68400,72400,and sent to the walk-in oven
gVUmDZy3DWI,72400,74640,i've seen a multitude of fiery tandoor
gVUmDZy3DWI,74640,76640,designs around this country and the
gVUmDZy3DWI,76640,78560,world so big you could fit like six
gVUmDZy3DWI,78560,80799,human bodies in here but these tan doors
gVUmDZy3DWI,80799,82880,stand apart it's the size of a freaking
gVUmDZy3DWI,82880,85119,walk-in closet
gVUmDZy3DWI,85119,87439,inside the dough islamijamma to the wall
gVUmDZy3DWI,87439,89920,in one quick swift motion so the baker
gVUmDZy3DWI,89920,93600,doesn't spontaneously combust
gVUmDZy3DWI,96560,101840,after 15 minutes it's ready to take out
gVUmDZy3DWI,103439,105840,this is some heavy dense beautiful bread
gVUmDZy3DWI,105840,107600,they press in the phone number something
gVUmDZy3DWI,107600,109439,we saw already at a previous market
gVUmDZy3DWI,109439,110880,that's a business card brother the name
gVUmDZy3DWI,110880,112720,of a guy and his phone number this one
gVUmDZy3DWI,112720,114720,comes with the address name phone number
gVUmDZy3DWI,114720,116159,and the location but i think they have
gVUmDZy3DWI,116159,118079,to take to the next level i suggest them
gVUmDZy3DWI,118079,119680,to do the qr code you have to be careful
gVUmDZy3DWI,119680,121119,though if it bakes the wrong way you're
gVUmDZy3DWI,121119,122719,gonna send them to north korea yeah
gVUmDZy3DWI,122719,124799,exactly then with 20 years of experience
gVUmDZy3DWI,124799,127439,hat tier 13 now churns out 4 000
gVUmDZy3DWI,127439,129520,flatbreads every day and they haven't
gVUmDZy3DWI,129520,132160,had a worker burned to death in over 230
gVUmDZy3DWI,132160,133440,days
gVUmDZy3DWI,133440,134640,it's super hot i don't know if you guys
gVUmDZy3DWI,134640,137360,could tell oh almost 50 50. yeah there
gVUmDZy3DWI,137360,137980,you go
gVUmDZy3DWI,137980,141200,[Music]
gVUmDZy3DWI,141200,143200,oh some parts doughy some parts kind of
