vid,start,end,text
gbgeLrKUS2o,0,3000,o Janderson
gbgeLrKUS2o,7320,9420,é isso para arrebentar o comentarista
gbgeLrKUS2o,9420,13260,não foi e o narrador Twitter vende-lo
gbgeLrKUS2o,13260,16219,ontem a bala dizia tá frango
gbgeLrKUS2o,16219,20270,dois bons goleiros da equipe tricolor
gbgeLrKUS2o,20270,24300,toque esquisita errado atrapalhado urso
gbgeLrKUS2o,24300,27769,te ver de fora do Biel o rebote do Juba
gbgeLrKUS2o,27769,30109,entrega pelo Giovanni outra vez Jujuba
gbgeLrKUS2o,30109,32550,canhotinha na bola ali eu tô querendo
gbgeLrKUS2o,32550,34290,que dá certinho para bater com a perna
gbgeLrKUS2o,34290,36210,aqui não é o Grêmio você insistir um
gbgeLrKUS2o,36210,37830,pouco mais a jogada para não fazer
gbgeLrKUS2o,37830,40170,aquilo que o Sport quer olha só olha só
gbgeLrKUS2o,40170,42030,o Janderson avançando tocando na
gbgeLrKUS2o,42030,43829,esquerda para o Nícolas seca cruzando
gbgeLrKUS2o,43829,47129,levantou praia é o sol na cabeça a bola
gbgeLrKUS2o,47129,50370,vai pela linha de fundo a bola direto
gbgeLrKUS2o,50370,53050,área latereio um
gbgeLrKUS2o,53050,56350,é de cabeça Welson cama cantor dormido a
gbgeLrKUS2o,56350,60059,bola Sobra para o Edilson
gbgeLrKUS2o,61079,64018,Olá tudo ela de Gigantes bola viajando
gbgeLrKUS2o,64018,66060,para a área a defesa corta com Geromel
gbgeLrKUS2o,66060,67640,no rebote
gbgeLrKUS2o,67640,69920,um pouquinho mais atrás de o Vânia que
gbgeLrKUS2o,69920,72229,ela aceitou numa boa lá do vigilante
gbgeLrKUS2o,72229,74930,tentou Thiago Santos perdeu agora aqui
gbgeLrKUS2o,74930,78560,com Sandra bem o esporte arrumou Bruno
gbgeLrKUS2o,78560,82150,farmácia Google Bruno Matias
gbgeLrKUS2o,82150,85280,será que vai mandar aquela pomba na
gbgeLrKUS2o,85280,88070,direção do Gol vai associado no esporte
gbgeLrKUS2o,88070,88810,vai
gbgeLrKUS2o,88810,92710,Gilson bateu direto
gbgeLrKUS2o,92980,96640,e lá vai Janderson a direita levantou lá
gbgeLrKUS2o,96640,100159,dentro de café pensa
gbgeLrKUS2o,100159,101560,é
gbgeLrKUS2o,101560,104210,uma chega no Giovani Ele Ajeita para
gbgeLrKUS2o,104210,107479,Fabinho eu aconselho dela cachorro
gbgeLrKUS2o,107479,110858,Geovani lá
gbgeLrKUS2o,111470,116660,e vamos até 47 primeiro tempo o Sport
gbgeLrKUS2o,116660,118970,chega Pomar bola tá pensando uma outra
gbgeLrKUS2o,118970,121390,cor
gbgeLrKUS2o,123630,125490,o que aproveitar também a nossa
gbgeLrKUS2o,125490,126869,observação aqui no intervalo de jogo
gbgeLrKUS2o,126869,128789,Caíque foi o jogador do Sport mais
gbgeLrKUS2o,128789,131480,criticado veio varado por muita gente
gbgeLrKUS2o,131480,133760,é bem Esporte já fala colocar na foi
gbgeLrKUS2o,133760,136510,chata só a roubar teus filhos
gbgeLrKUS2o,136510,140140,o fogo vamos ver quem cobra Edilson o
gbgeLrKUS2o,140140,143739,Nicolas é o Nícolas 5 a Google a bola
gbgeLrKUS2o,143739,146159,passa à esquerda do Mailson
gbgeLrKUS2o,146159,150060,ficou em cima da linha lateral
gbgeLrKUS2o,151390,153069,e tenta partir para o contra-ataque
gbgeLrKUS2o,153069,154870,obreiro agora com espaço só falar para
gbgeLrKUS2o,154870,157270,ele as fotos na frente está pensando nos
gbgeLrKUS2o,157270,161709,problemas cima do Railson mandar para
gbgeLrKUS2o,161709,164400,dentro da área
gbgeLrKUS2o,164640,167550,e vai voltando na entrada da área o
gbgeLrKUS2o,167550,169650,esporte tentar tirar sobrando ele toca
gbgeLrKUS2o,169650,171959,todo esquisito atrás bateu bateu
gbgeLrKUS2o,171959,174870,trabalhando fica com o esporte mas eu
gbgeLrKUS2o,174870,178280,passo aí errado chega Thiago Santos
gbgeLrKUS2o,178280,183270,Filho fundo amarelo e
gbgeLrKUS2o,185470,188470,E aí
gbgeLrKUS2o,191430,203258,[Música]
