vid,start,end,text
gmfIJiKKi58,820,1649,em
gmfIJiKKi58,1649,4690,Santana 17 que você quer então você
gmfIJiKKi58,4690,6690,tomba em
gmfIJiKKi58,6690,9730,[Música]
gmfIJiKKi58,12200,16039,[Aplausos]
gmfIJiKKi58,23100,26159,[Música]
gmfIJiKKi58,37550,40890,[Música]
gmfIJiKKi58,51380,54419,[Música]
gmfIJiKKi58,60829,63679,e você pensa estava seca Leite solta
gmfIJiKKi58,63679,68689,piranha piranha na 17 tu vai senta na
gmfIJiKKi58,68689,70430,hora do lanche você quer leite solta
gmfIJiKKi58,70430,73479,piranha piranha
gmfIJiKKi58,73479,77350,17 tu vai senta
gmfIJiKKi58,82520,84770,[Música]
gmfIJiKKi58,84770,87819,[Aplausos]
gmfIJiKKi58,87990,93190,[Música]
gmfIJiKKi58,93190,95710,senta ah
gmfIJiKKi58,95710,111400,[Música]
gmfIJiKKi58,115080,120840,[Música]
gmfIJiKKi58,120840,123840,E aí
gmfIJiKKi58,125110,128110,E aí
gmfIJiKKi58,128440,130890,E aí
gmfIJiKKi58,131860,133860,e
gmfIJiKKi58,134310,138810,não manda para ela que eu fiz um
