vid,start,end,text
gpLoMzonCX0,1630,2410,[Applause]
gpLoMzonCX0,2410,2840,[Music]
gpLoMzonCX0,2840,5600,[Applause]
gpLoMzonCX0,5600,8600,so
gpLoMzonCX0,11050,18160,[Music]
gpLoMzonCX0,18160,19600,i haven't tried capital boarding in a
gpLoMzonCX0,19600,20800,long time
gpLoMzonCX0,20800,23279,and i forgot how tiring it was because
gpLoMzonCX0,23279,25199,oh my god anyway what's good everyone
gpLoMzonCX0,25199,26880,new zealand is currently in a lockdown
gpLoMzonCX0,26880,28400,which is why i was capable in the first
gpLoMzonCX0,28400,30960,place that and also it's a pretty crappy
gpLoMzonCX0,30960,33198,day
gpLoMzonCX0,33600,34960,but if you don't remember a few weeks
gpLoMzonCX0,34960,37360,ago tech deck sent me a bunch of ramps
gpLoMzonCX0,37360,39120,which is actually what the camera is
gpLoMzonCX0,39120,40399,sitting on right now
gpLoMzonCX0,40399,42160,technic sent me all of these ramps so
gpLoMzonCX0,42160,43520,today i want to try and make the
gpLoMzonCX0,43520,45760,ultimate tech deck skate park out of
gpLoMzonCX0,45760,47440,tech deck ramps i've done this three
gpLoMzonCX0,47440,49360,times in the past but tech keeps sending
gpLoMzonCX0,49360,50960,me more stuff which means the skate
gpLoMzonCX0,50960,54399,parks will only get more and more
gpLoMzonCX0,54399,57039,ultimate until i have a whole ping pong
gpLoMzonCX0,57039,61199,stadium full of tech deck ramps
gpLoMzonCX0,61840,63199,that took a lot longer than i thought it
gpLoMzonCX0,63199,64320,would
gpLoMzonCX0,64320,68360,ramps you're coming with me
gpLoMzonCX0,70060,73109,[Music]
gpLoMzonCX0,73119,74320,i just want to say thank you to tech
gpLoMzonCX0,74320,75680,deck for sending me all this stuff the
gpLoMzonCX0,75680,78159,first time i made a tech deck skate park
gpLoMzonCX0,78159,79920,i bought all the ramps myself so it's
gpLoMzonCX0,79920,81759,just cool to see that tech deck is
gpLoMzonCX0,81759,83200,hooking it up because if i had to pay
gpLoMzonCX0,83200,85880,for all of this myself i would be
gpLoMzonCX0,85880,90640,[Music]
gpLoMzonCX0,90640,92240,i wouldn't actually broke but i really
gpLoMzonCX0,92240,93600,appreciate the technique sent me all the
gpLoMzonCX0,93600,94560,stuff
gpLoMzonCX0,94560,96000,when you're in lockdown you can't
gpLoMzonCX0,96000,97840,experience what nature has to offer it
gpLoMzonCX0,97840,99200,really just makes you appreciate all the
gpLoMzonCX0,99200,100960,little things you missed
gpLoMzonCX0,100960,102720,before
gpLoMzonCX0,102720,104720,you couldn't do those things anymore
gpLoMzonCX0,104720,108159,like the smell of the fresh breeze
gpLoMzonCX0,111520,113360,unboxing time they sent me a bunch of
gpLoMzonCX0,113360,115439,duplicates of the same ramps which i'm
gpLoMzonCX0,115439,116640,actually pretty stoked about because
gpLoMzonCX0,116640,118079,that means i can put them all together
gpLoMzonCX0,118079,119840,and make something sick especially these
gpLoMzonCX0,119840,121680,bowl pieces since i have four of these
gpLoMzonCX0,121680,122880,including the one right there i should
gpLoMzonCX0,122880,126840,be able to make an actual bowl
gpLoMzonCX0,126990,145120,[Music]
gpLoMzonCX0,145120,148599,nigel boosting
gpLoMzonCX0,149110,152149,[Music]
gpLoMzonCX0,155140,157040,[Music]
gpLoMzonCX0,157040,158720,look at all the tech decks that came
gpLoMzonCX0,158720,160400,with it perfect to add to my
gpLoMzonCX0,160400,162319,ever-growing collection that's not even
gpLoMzonCX0,162319,163920,counting all the ramps that i already
gpLoMzonCX0,163920,165120,have so this is going to be a pretty
gpLoMzonCX0,165120,166959,wild tech deck pack but the cool thing
gpLoMzonCX0,166959,168239,about these new ones is that they have
gpLoMzonCX0,168239,170400,these little x marks
gpLoMzonCX0,170400,172400,which everything can kind of fit into so
gpLoMzonCX0,172400,173920,you can customize the ramps way better
gpLoMzonCX0,173920,175360,than you could on the old tech deck
gpLoMzonCX0,175360,177040,ramps starting with the bowl i want to
gpLoMzonCX0,177040,179030,try and make a bowl
gpLoMzonCX0,179030,182580,[Music]
gpLoMzonCX0,184000,185840,yeah dude look at this ball
gpLoMzonCX0,185840,187200,like that's pretty sick then there's
gpLoMzonCX0,187200,188640,this bank to wall ride this is kind of
gpLoMzonCX0,188640,190720,in the back so you can roll up go into
gpLoMzonCX0,190720,192959,the ball do some stuff come back out of
gpLoMzonCX0,192959,194560,the ball this is actually way more fun
gpLoMzonCX0,194560,196239,than it should be it's like putting lego
gpLoMzonCX0,196239,197840,together but their miniature skateboard
gpLoMzonCX0,197840,200840,ramps
gpLoMzonCX0,213920,215360,the majority of the park's done but
gpLoMzonCX0,215360,216799,there's still a bunch of areas which
