vid,start,end,text
h6AkvAj_hao,500,6170,"MATT: Hello everyone,  and welcome to tonight's episode of Critical Role,  where a bunch of us nerdy-ass voice actors  sit around and play Dungeons & Dragons."
h6AkvAj_hao,6170,13433,"ALL: (hollering) We play Dungeons & Dragons.  MATT: Sometimes, we're also a little slow  on the exit there before we go live."
h6AkvAj_hao,14750,21473,"But before we jump into our game tonight,  we do have some announcements to get through,  including our sponsor for tonight:  Beadle & Grimm's. Sam."
h6AkvAj_hao,21473,28630,"SAM: Oh, hey, all you tripping billies.  It's me, Bob Matthews, Dave Matthews' younger brother,"
h6AkvAj_hao,28630,34210,"and two-stepping into this ♪ satellite ♪  is Rick Matthews Bronstein,"
h6AkvAj_hao,34210,41559,"Dave Matthews' estranged second cousin once removed.  SAM and ROBBIE: ♪ Ooh, family! ♪"
h6AkvAj_hao,41560,48600,"SAM: Oh, yes, this episode is sponsored by Beadle & Grimm's  and their brand new, amazing boxed edition"
h6AkvAj_hao,48600,55489,"of our own Tal'Dorei Campaign Setting Reborn.  Now, B&G wanted to hire DMB to promote"
h6AkvAj_hao,55490,60940,"their fantastic product, but Dave's a little too busy  chilling with Jack Johnson, Hootie,"
h6AkvAj_hao,60940,67952,and several of the Blowfish.  ROBBIE: ♪ But we were available ♪  (laughter)
h6AkvAj_hao,67952,74740,"SAM: Thanks, cousin Rick.  ♪ (light guitar music) ♪  Anyhoo, this box is packed with exclusive items,"
h6AkvAj_hao,74740,80030,"including battle maps. That's not it.  That's a battle map, maybe.  Maybe."
h6AkvAj_hao,80030,85483,"In-world handouts.  Dude, this is fabric.  That's very--  LAURA: Whoa. MARISHA: That's very nice."
h6AkvAj_hao,85483,91964,"SAM: Expensive-feeling, yes.  (laughter)  SAM: Jewelry and coins."
h6AkvAj_hao,91964,98110,"Encounter and magic item cards,  a GM screen down there somewhere."
h6AkvAj_hao,98110,105640,I'm an old man.  (laughter)  SAM: ♪ And four bonus adventures ♪
h6AkvAj_hao,105640,112720,"In fact, me and my second cousin wanted  to sing a song about it right now.  However, we are currently under a cease and desist order"
h6AkvAj_hao,112720,120969,"from Dave's lawyers.  (laughter)  And we are not allowed to sing any of his songs,  so instead, we are literally going to make"
h6AkvAj_hao,120970,127608,"a song up on the spot.  Here we go.  LIAM: Sing it, Waterboy."
h6AkvAj_hao,127609,133604,SAM: ♪ Oh yeah ♪  ♪ It's in the air ♪  ♪ It's airborne ♪
h6AkvAj_hao,133604,139734,"♪ Yeah, Tal'Dorei ♪  ♪ And Tal'Dorei Reborn ♪  ♪ Oh ♪"
h6AkvAj_hao,139734,146957,"ROBBIE: ♪ You can be the coolest kid on the scene ♪  SAM: ♪ Yes, you can ♪  ROBBIE: ♪ With your brand-new custom GM screen ♪"
h6AkvAj_hao,146957,153940,"(cheering)  SAM: ♪ I got some jewels ♪  ♪ I got some coins ♪  ♪ You better gird ♪ your loins, oh! ♪"
h6AkvAj_hao,153940,160327,"ROBBIE: ♪ Oh, crap! ♪  ♪ How do I beat that? ♪  ♪ How about with a ♪ new sweet battle map? ♪  (cheering)"
h6AkvAj_hao,160327,165506,SAM: ♪ Beadle & Grimm's ♪  SAM and ROBBIE: ♪ Beadle & Grimm's ♪  ♪ Beadle & Grimm's ♪  ♪ Beadle & Grimm's ♪
h6AkvAj_hao,165506,174187,(laughter)  SAM: ♪ Beadle & Grimm's ♪  (laughter) (cheering)
h6AkvAj_hao,174187,179660,"ROBBIE: I'm so mad at you right now.  SAM: Well, this premium tabletop experience"
h6AkvAj_hao,179660,184823,"is available in three tiers.  Oh, there's more.  The first tier is--"
h6AkvAj_hao,185912,191823,"SAM and ROBBIE: ♪ Arcane ♪ (laughter)  SAM: Arcane, where you get this awesome box, and then--"
h6AkvAj_hao,192813,199330,"SAM and ROBBIE: ♪ Awakened ♪  SAM: Terrible. Where you get this box,  plus either the badge pack,"
h6AkvAj_hao,199330,203060,"the badge pack or the map vault.  I don't know what this is, or--"
h6AkvAj_hao,204512,210130,"SAM and ROBBIE: ♪ Exalted ♪  SAM: Terrible, possibly the worst.  (laughter)"
h6AkvAj_hao,210130,216770,SAM: Where you get both.  Check out everything right now yourself at bit.ly/TDRBoxed.
h6AkvAj_hao,216986,225504,"♪ And thanks for ♪ supporting the show ♪  ROBBIE: ♪ Crash to you, Matt. ♪  (laughter)"
h6AkvAj_hao,225504,232280,"(cheering)  MATT: Oh wow.  Thank you, both of you.  ROBBIE: Thank you, Sam."
h6AkvAj_hao,232280,237735,"SAM: Thank you, Robert.  I mean, Rick.  MATT: I appreciate that Robbie diverted into Creed"
h6AkvAj_hao,237735,242956,while Sam just turned into  full Adam Sandler character from the late 90s.
h6AkvAj_hao,242956,249080,"TRAVIS: ♪ Sloppy joe, sloppy, sloppy joe ♪  SAM: But really, this is great box, everybody."
h6AkvAj_hao,249080,254772,You should really check it out.  LIAM: This is Bobby Boucher. (laughter)  ASHLEY: Bobby Boucher.
h6AkvAj_hao,254772,260359,"TRAVIS: I love my mama.  MATT: Thank you, Sam. Thank you, Beadle & Grimm.  It's super awesome what you guys have done with the book."
h6AkvAj_hao,260359,266550,"Yeah, it's awesome.  Check it out.  Laura, you got some announcements.  LAURA: Oh, shit."
h6AkvAj_hao,266550,273259,"Okay.  This is more of a train wreck than normal, because--"
h6AkvAj_hao,273260,281230,"TRAVIS: More than what we just saw?  LAURA: That was amazing.  I am here to tell you we have merch in our store,"
h6AkvAj_hao,281230,288860,"but I don't have it to show, because I might have it  in the dirty laundry, because I was wearing it.  (laughter)"
h6AkvAj_hao,288860,295887,"Imagine, if you will.  ASHLEY: Whoa!  LAURA: Of legend,  The Legend of Vox Machina t-shirt."
h6AkvAj_hao,295887,301440,SAM: Not just A Legend of Vox Machina.  LAURA: It's The Legend of Vox Machina t-shirt.  It's black. It's got white picture on it.
h6AkvAj_hao,301440,306580,"Oh, it's beautiful.  Check it out in our store.  Oh, and we also have this amazing black hoodie,"
h6AkvAj_hao,306580,314261,"of The Legend of Vox Machina.  ASHLEY: Ooh, can I put it on?  LIAM: We're going to paste it in, right?  LAURA: Can you post-- put this in my hand?"
h6AkvAj_hao,314261,320227,MARISHA: I'll talk to Schapiro.  (laughter)  TRAVIS: Stop wearing the merch at home.
h6AkvAj_hao,320227,326380,"LAURA: Ooh, and the back, it's got cool purple stuff on it.  SAM: Wait, there's a bag?  LAURA: It's a back. SAM: Oh, that's a back.  LAURA: Check it out in the store."
h6AkvAj_hao,326380,331975,"MARISHA: Can't you tell? SAM: I'm sorry.  LAURA: ♪ shop.critrole.com ♪  TALIESIN: Improv is not miming, apparently."
h6AkvAj_hao,331976,338250,TRAVIS: Nobody's going to do this for us.  LIAM: Now try it on.  MATT: Space work's like a seven.  TRAVIS: Arms out like a scarecrow.
h6AkvAj_hao,338250,345139,"TALIESIN: Oh god. SAM: Wow.  LIAM: Looks good. TALIESIN: Yeah.  MATT: What I am excited about is even when it's not  actually here, Ashley still manages to put it on wrong"
