vid,start,end,text
hjzLs_6mqA8,2720,4720,in a restaurant setting this almost
hjzLs_6mqA8,4720,6240,doesn't exist how much you think they're
hjzLs_6mqA8,6240,8480,gonna charge for that 550
hjzLs_6mqA8,8480,10000,final answer i'll give you one more
hjzLs_6mqA8,10000,12639,chance to go way higher 1000 bucks
hjzLs_6mqA8,12639,15599,more wow
hjzLs_6mqA8,15599,17680,good morning and welcome to miami i'm
hjzLs_6mqA8,17680,19199,enjoying this beautiful top-down
hjzLs_6mqA8,19199,20960,convertible pretending that i'm rich but
hjzLs_6mqA8,20960,22160,just for one week and then i have to
hjzLs_6mqA8,22160,23920,give it back so someone else can pretend
hjzLs_6mqA8,23920,25599,they're rich too today i'm very excited
hjzLs_6mqA8,25599,27599,because on this second channel video we
hjzLs_6mqA8,27599,29519,have a very special guest his channel
hjzLs_6mqA8,29519,32880,name is guga foods his name is guga this
hjzLs_6mqA8,32880,35440,guy is the mad food scientist of all
hjzLs_6mqA8,35440,38079,things steak and meat no joke once he
hjzLs_6mqA8,38079,40640,cooked a whole half of a wagyu cow he's
hjzLs_6mqA8,40640,43040,done dry aged steak in peanut butter
hjzLs_6mqA8,43040,44719,he's really out of his mind right now
hjzLs_6mqA8,44719,46000,i'm headed to his house and he's going
hjzLs_6mqA8,46000,47680,to cook me up some steak so i'm going to
hjzLs_6mqA8,47680,51920,call you about 2500 worth of meat today
hjzLs_6mqA8,51920,53600,so i'm gonna get to see what nobody
hjzLs_6mqA8,53600,55440,really has seen before how does he
hjzLs_6mqA8,55440,57440,operate this is the kitchen we never use
hjzLs_6mqA8,57440,58640,the kitchen and i'm actually going to
hjzLs_6mqA8,58640,60800,get to try the food usually you have to
hjzLs_6mqA8,60800,62480,take his word for it and he said he's
hjzLs_6mqA8,62480,64320,made something great and delicious but i
hjzLs_6mqA8,64320,66640,get to find out if mr guger foods is the
hjzLs_6mqA8,66640,68560,real deal i'm gonna get there shake the
hjzLs_6mqA8,68560,71439,man's hand and introduce you to google
hjzLs_6mqA8,71439,74320,of cougar foods
hjzLs_6mqA8,75280,77040,right now i've arrived to the front door
hjzLs_6mqA8,77040,79040,of the googleplex this is where all the
hjzLs_6mqA8,79040,81040,meat making goes down and filming and
hjzLs_6mqA8,81040,84320,editing everything like that
hjzLs_6mqA8,84880,87439,hey what's up sonny welcome nice to meet
hjzLs_6mqA8,87439,89840,you we already met
hjzLs_6mqA8,89840,91439,please come on in we got all my guys
hjzLs_6mqA8,91439,93040,here they're editing a few videos right
hjzLs_6mqA8,93040,95119,now top secret by the way i make the
hjzLs_6mqA8,95119,96560,videos they make it look good that's
hjzLs_6mqA8,96560,97840,pretty much it and how long does it take
hjzLs_6mqA8,97840,99280,them to edit one video in average
hjzLs_6mqA8,99280,101119,between four days to a week and some
hjzLs_6mqA8,101119,103040,videos take up to a month what's the
hjzLs_6mqA8,103040,104320,video that you put out and you were
hjzLs_6mqA8,104320,106240,super hyped for it and then it just like
hjzLs_6mqA8,106240,108399,oh i know you're gonna come sometimes i
hjzLs_6mqA8,108399,110880,make a video i have no effort whatsoever
