vid,start,end,text
iyrGbko49lY,160,5200,wow these are interesting oh i'm the  king of the world
iyrGbko49lY,5200,10400,boring  oh so many buttons
iyrGbko49lY,11840,17359,it doesn't work  where am i
iyrGbko49lY,17359,22720,finally will  will  where are you
iyrGbko49lY,22720,29160,he's in game  hey come with me my baby
iyrGbko49lY,30400,33460,[Music]
iyrGbko49lY,39440,45760,yes  newcomer  no no no no stop excuse me sir there's
iyrGbko49lY,45760,49920,been a mistake your bad wow
iyrGbko49lY,52239,60399,what  you're a cheater  [Music]  i want something your snacks oh
iyrGbko49lY,60399,69280,thanks  nice work  ah life is perfect huh what's wrong
iyrGbko49lY,69280,74960,where am i  what the what's going on
iyrGbko49lY,75600,78600,okay
iyrGbko49lY,96720,100280,i got it
iyrGbko49lY,106720,111240,ready let's get you out of here
iyrGbko49lY,114720,119759,it's time for lunch  lunch
iyrGbko49lY,120320,127280,your lunch thank you  what about me  oh i don't know
iyrGbko49lY,127280,132480,egg huh  water  i'll tell on you mommy
iyrGbko49lY,132480,138319,the best food for him now  got it  your lunch
iyrGbko49lY,138319,147200,that's better  [Music]
iyrGbko49lY,147200,155080,oh do you want a burger  one minute oh i have a special for you
iyrGbko49lY,159310,167239,[Music]
iyrGbko49lY,167599,174300,oh that's my boy  [Music]
iyrGbko49lY,177840,180640,take it easy
iyrGbko49lY,183680,188239,what is that  you first
iyrGbko49lY,190959,197720,oh no  you lost your luck
iyrGbko49lY,198480,206400,mommy help me  ah she doesn't hear me huh
iyrGbko49lY,208990,213229,[Music]
iyrGbko49lY,220610,228560,[Music]  not this time body oh no
iyrGbko49lY,230319,233879,your next challenge
iyrGbko49lY,236540,241680,[Music]
iyrGbko49lY,241680,247280,wow it was so delicious  hey look
iyrGbko49lY,249360,253560,yeah i won huh
iyrGbko49lY,266560,268960,i will be
iyrGbko49lY,278880,283869,thanks  [Music]
iyrGbko49lY,288940,296680,[Music]  oh
iyrGbko49lY,298810,304400,[Music]  wow i'm so rich
iyrGbko49lY,304400,313199,i'm in  want to get rich  stop what what about this
iyrGbko49lY,313199,321199,giga rich  [Music]  i'm gigger rich
iyrGbko49lY,321199,327919,i'm in  [Music]  get in  oh
iyrGbko49lY,327919,331758,your dream  thanks
iyrGbko49lY,333360,337478,you're right cool
iyrGbko49lY,340000,346300,huh it's broken  ah  wait
iyrGbko49lY,346300,353419,[Music]  [Applause]  welcome miss  [Music]
iyrGbko49lY,358500,365230,[Music]  my precious
iyrGbko49lY,365230,371440,[Applause]  your outfit  it's not my level
iyrGbko49lY,371440,378319,ah  wow  wow best outfit of my life
iyrGbko49lY,378319,384639,no  no  no  i want this
iyrGbko49lY,384639,389759,okay boss  [Music]  oh
iyrGbko49lY,389759,394880,good  alfred i need number one
iyrGbko49lY,394880,397440,yes miss
iyrGbko49lY,400880,407560,what  perfect
iyrGbko49lY,408080,414880,it's even better  your number
iyrGbko49lY,414880,422590,go  [Music]  the winner gets everything huh
iyrGbko49lY,422590,427809,[Music]
iyrGbko49lY,431199,435080,my strength is money
iyrGbko49lY,441830,453360,[Music]
iyrGbko49lY,458080,463790,[Music]  what is this
iyrGbko49lY,463790,469860,[Music]
iyrGbko49lY,476800,482080,wow  casey is the winner
iyrGbko49lY,483919,489840,yes  i'll be giggle rich  next
iyrGbko49lY,489840,493440,stand here ah
iyrGbko49lY,494879,502759,what oh it's awful can i ever take it  next
iyrGbko49lY,504330,515378,[Music]
iyrGbko49lY,521590,526179,[Music]
iyrGbko49lY,527360,535560,i need it  [Music]  i know
iyrGbko49lY,535839,550800,ah  nice  [Music]
iyrGbko49lY,550800,557399,oh so comfy  finally  a place to sleep
iyrGbko49lY,562160,575360,it's too early  [Music]
iyrGbko49lY,575360,579959,we oh need no measures
iyrGbko49lY,580450,601920,[Music]
iyrGbko49lY,601920,605839,i would wear a shoe
iyrGbko49lY,608160,613680,hit the target  but i've never done it before  [Music]
iyrGbko49lY,613680,618120,there's no chance to win
iyrGbko49lY,621350,628600,[Music]  don't fail
iyrGbko49lY,636000,644800,[Music]
iyrGbko49lY,644800,647800,haha
iyrGbko49lY,650250,655360,[Music]  i need information
iyrGbko49lY,655360,661680,okie dokie  she's gonna win with her money
iyrGbko49lY,661680,667480,oh  i know what to do  [Music]
iyrGbko49lY,669360,676640,oh lovebirds  oh maybe this one
iyrGbko49lY,676720,683680,i need to move on  here is the plan
iyrGbko49lY,683680,688720,what is that  oh i have to see it
iyrGbko49lY,688720,694079,perfect  yeah  [Music]
iyrGbko49lY,694079,697279,now i know everything
iyrGbko49lY,701440,708500,now i know what to do  green light  [Music]
iyrGbko49lY,708800,716680,i'm rich now  fun time
iyrGbko49lY,718160,726469,oh  no don't do it steve  light  [Music]
iyrGbko49lY,728880,731839,i can do it
iyrGbko49lY,733920,737040,[Music]
iyrGbko49lY,740000,745839,green light  [Music]  let's go
iyrGbko49lY,749450,752589,[Music]
