vid,start,end,text
izaXC2IvZaU,900,4040,with another
izaXC2IvZaU,5130,19050,[Music]
izaXC2IvZaU,19160,22699,DM I'm in her mouth
izaXC2IvZaU,24140,27800,can't wait to get together
izaXC2IvZaU,38660,45649,[Music]
izaXC2IvZaU,49460,53579,I'm still fly I know
izaXC2IvZaU,53579,58038,life is a Winding Road
izaXC2IvZaU,58100,60290,telling where it goes
izaXC2IvZaU,60290,61620,[Music]
izaXC2IvZaU,61620,66320,driving through days and nights
izaXC2IvZaU,81560,84979,I don't understand
izaXC2IvZaU,86040,88680,foreign
izaXC2IvZaU,88680,90780,you have six seconds to like And
izaXC2IvZaU,90780,93600,subscribe or your whippy will be slow oh
izaXC2IvZaU,93600,95640,and join the Discord server for memes
izaXC2IvZaU,95640,98430,competitions and free ad
izaXC2IvZaU,98430,101119,[Music]
izaXC2IvZaU,101119,105360,you wanna ride on my way just because
izaXC2IvZaU,105360,109500,it's fun you wanna be in my space too
izaXC2IvZaU,109500,113840,close to the sun don't seem to care
izaXC2IvZaU,116120,120159,[Music]
izaXC2IvZaU,122159,125159,foreign
izaXC2IvZaU,125200,135219,[Music]
izaXC2IvZaU,145560,199760,[Music]
izaXC2IvZaU,199760,202770,I'm trying to sleep
izaXC2IvZaU,202770,212449,[Music]
izaXC2IvZaU,219810,226080,[Music]
izaXC2IvZaU,230250,233300,[Music]
izaXC2IvZaU,236459,238640,foreign
izaXC2IvZaU,246560,249599,[Music]
izaXC2IvZaU,253780,274079,[Music]
izaXC2IvZaU,278900,282979,don't give me anything
izaXC2IvZaU,283560,288060,it's pure mathematics
izaXC2IvZaU,289170,301150,[Music]
izaXC2IvZaU,302900,304919,in case you were wondering what I had
izaXC2IvZaU,304919,306660,planned for the texture and flashy
izaXC2IvZaU,306660,309000,element on the octopus it's this I'll
izaXC2IvZaU,309000,310440,post another video before it's finished
izaXC2IvZaU,310440,312060,to show you how I made these these were
izaXC2IvZaU,312060,314280,faux leather pieces that were all blue I
izaXC2IvZaU,314280,316199,decided I didn't like the color so I
izaXC2IvZaU,316199,317940,painted them once the painting is close
izaXC2IvZaU,317940,319440,to finish I'll attach them to the
