vid,start,end,text
jV72OqYZGTs,5520,7839,hey guys what's up it's me princess and
jV72OqYZGTs,7839,10480,girl and for this video as you can see
jV72OqYZGTs,10480,11840,we're walking
jV72OqYZGTs,11840,14080,anyway it's what time is it it's
jV72OqYZGTs,14080,18560,currently 8 57 fair go missy camino 7
jV72OqYZGTs,18560,19359,7
jV72OqYZGTs,19359,20960,for this vlog we're just going to share
jV72OqYZGTs,20960,24080,with you guys our live our last my last
jV72OqYZGTs,24080,26800,day of school
jV72OqYZGTs,26800,29279,last night
jV72OqYZGTs,34270,37309,[Music]
jV72OqYZGTs,39640,49859,[Music]
jV72OqYZGTs,51600,54840,thank you
jV72OqYZGTs,67640,71370,[Music]
jV72OqYZGTs,78410,81599,[Music]
jV72OqYZGTs,81600,84840,hi guys
jV72OqYZGTs,87640,90790,[Music]
jV72OqYZGTs,95360,98360,foreign
jV72OqYZGTs,99120,102219,[Music]
jV72OqYZGTs,110720,113720,um
jV72OqYZGTs,144390,147460,[Music]
jV72OqYZGTs,173760,179319,[Music]
jV72OqYZGTs,209440,211040,tell
jV72OqYZGTs,211040,212599,figured it me
jV72OqYZGTs,230319,231510,amazing
jV72OqYZGTs,231510,234590,[Music]
jV72OqYZGTs,239790,241519,[Music]
jV72OqYZGTs,241519,244519,hello
jV72OqYZGTs,259100,262160,[Music]
jV72OqYZGTs,262320,264400,but there's clouds over your head every
jV72OqYZGTs,264400,266639,time and they keep following you with no
jV72OqYZGTs,266639,269040,clue of what to do i can make them
jV72OqYZGTs,269040,271360,vanish if you let me shine you like to
jV72OqYZGTs,271360,273520,put somebody else's happiness before
jV72OqYZGTs,273520,275919,your own i see the weight of atlas on
jV72OqYZGTs,275919,277680,your shoulder ways to turn i'm trying to
jV72OqYZGTs,277680,279840,be the bowling light an energy for you
jV72OqYZGTs,279840,282240,to grow you see you're just a flower who
jV72OqYZGTs,282240,284320,has never seen the sun you're stronger
jV72OqYZGTs,284320,286320,than you know there's power in your
jV72OqYZGTs,286320,287100,bones the
jV72OqYZGTs,287100,288759,[Music]
jV72OqYZGTs,288759,291600,flowers you say you're growing old one
jV72OqYZGTs,291600,294130,day you're gonna fold amazing
jV72OqYZGTs,294130,302040,[Music]
jV72OqYZGTs,324880,328029,[Music]
jV72OqYZGTs,329039,332039,huh
jV72OqYZGTs,335270,340939,[Music]
jV72OqYZGTs,351360,353600,we're planning to launch this by next
jV72OqYZGTs,353600,356880,week next next end of the month so we
jV72OqYZGTs,356880,359199,need to finalize the intelligent hello
jV72OqYZGTs,359199,361520,hello since the busy office school
jV72OqYZGTs,361520,363280,actually guys and shared a number to say
jV72OqYZGTs,363280,366880,before but like from the school
jV72OqYZGTs,375500,378699,[Music]
jV72OqYZGTs,378720,381720,is
jV72OqYZGTs,393120,397919,them for work so individual yes
jV72OqYZGTs,397919,402240,you know members yeah businesses
jV72OqYZGTs,404240,406319,may access nations i bring up summit
jV72OqYZGTs,406319,409319,business
jV72OqYZGTs,414750,417829,[Music]
jV72OqYZGTs,426660,429749,[Music]
jV72OqYZGTs,436120,439220,[Music]
jV72OqYZGTs,442660,445739,[Music]
jV72OqYZGTs,448800,453680,workspace so america mood board yeah
jV72OqYZGTs,453680,455599,scorpion beauty
jV72OqYZGTs,455599,458720,board so for my ideas
jV72OqYZGTs,461120,465039,suppose transfer transfer with
jV72OqYZGTs,512960,516099,[Music]
jV72OqYZGTs,517120,518880,i will take this opportunity to promote
jV72OqYZGTs,518880,521279,our business
jV72OqYZGTs,521279,522959,coming on july
jV72OqYZGTs,522959,527640,2022 bye on choppy
jV72OqYZGTs,528660,531899,[Music]
jV72OqYZGTs,535200,543480,[Music]
jV72OqYZGTs,543920,548480,okay guys we're heading out to our car
jV72OqYZGTs,574399,575850,yes
jV72OqYZGTs,575850,578979,[Music]
jV72OqYZGTs,581010,584710,[Music]
jV72OqYZGTs,588780,589920,[Music]
jV72OqYZGTs,589920,592470,okay guys
jV72OqYZGTs,592470,609319,[Music]
jV72OqYZGTs,613180,622640,[Music]
jV72OqYZGTs,622640,625640,oh
jV72OqYZGTs,628800,637330,[Music]
jV72OqYZGTs,638320,641320,is
jV72OqYZGTs,642740,645869,[Music]
jV72OqYZGTs,647550,650808,[Applause]
jV72OqYZGTs,651120,652910,oh
jV72OqYZGTs,652910,654910,[Applause]
jV72OqYZGTs,654910,663488,[Music]
jV72OqYZGTs,671120,674249,[Music]
jV72OqYZGTs,679040,681700,first
jV72OqYZGTs,681700,690980,[Music]
jV72OqYZGTs,700010,701570,[Music]
jV72OqYZGTs,701570,704759,[Applause]
jV72OqYZGTs,705370,712029,[Music]
jV72OqYZGTs,712850,715899,[Applause]
jV72OqYZGTs,723920,726920,is
jV72OqYZGTs,730970,734178,[Music]
jV72OqYZGTs,737990,741120,[Music]
jV72OqYZGTs,741120,745480,you read between these lines
jV72OqYZGTs,746060,755029,[Music]
jV72OqYZGTs,755120,758120,baby
