vid,start,end,text
jZ1VqXXBa14,2560,8400,it's time to play your favorite  non-canadian motorcycle game show  ctxp
jZ1VqXXBa14,8400,14960,and here's your host bob spencer  hello hello and welcome to another
jZ1VqXXBa14,14960,20640,episode of ctxp where we answer  questions about motorcycling that nobody
jZ1VqXXBa14,20640,26160,asked on today's episode we've got two  players duking it out to determine which
jZ1VqXXBa14,26160,31679,one is faster sport bikes or sport  touring bikes let's meet the contestants
jZ1VqXXBa14,31679,38160,first up it's the internet's favorite  sport bike bro he likes to do rolling  burnouts in your neighborhood at 2am
jZ1VqXXBa14,38160,44960,everybody give a round of applause to  barry henning  real proud to be here representing best
jZ1VqXXBa14,44960,50079,motorcycles on the planet sport bikes um  i do appreciate this show ctxp i did
jZ1VqXXBa14,50079,55680,hear that uh i could potentially win a  free set of slicks which would be great  going riding with the bros this weekend
jZ1VqXXBa14,55680,60800,and you know it's just like i always  said and it's just like the sticker on  my windscreen if you're not riding a
jZ1VqXXBa14,60800,66720,redline you're not living right go sport  bikes  all right barry does sound very fast but
jZ1VqXXBa14,66720,73600,he has some stiff competition and i mean  that literally it's a geriatric  adrenaline junkie representing teams
jZ1VqXXBa14,73600,79040,sport touring everybody jack courts  thanks for having me bob do appreciate
jZ1VqXXBa14,79040,84960,it i just like fast bikes i always have  always will i think um and i just like
jZ1VqXXBa14,84960,91520,that my hands to be warm from some  heated grips wind protection luggage for  some for some layers if it gets chilly i
jZ1VqXXBa14,91520,97840,think other people probably understand  that  and a little more comfort from my back  after that construction accident
jZ1VqXXBa14,97840,105280,really got to me  but again thanks for having me i just  said like to say hello to my brother  steve in the audience i think
jZ1VqXXBa14,108240,115840,all right sounds like a fierce  competition on our hands so let's get  down to it let's play
jZ1VqXXBa14,116750,121980,[Applause]
jZ1VqXXBa14,121980,125669,[Music]
jZ1VqXXBa14,135840,142879,some people think that sport touring  bikes are big and heavy and well kind of  lame but nowadays you can actually get
jZ1VqXXBa14,142879,150480,some pretty freaking fast sport touring  machines a few are even built around the  engines and or chassis of actual
jZ1VqXXBa14,150480,156800,superbikes so  that makes us wonder  just how quick are they
jZ1VqXXBa14,156800,163840,what we have here are three examples of  modern sport touring motorcycles all  related to superbikes in one way or
jZ1VqXXBa14,163840,171079,another  kawasaki's ninja 1000 sx
jZ1VqXXBa14,171519,175239,bmw's s1000xr
