vid,start,end,text
jdbfW3BZi3w,1599,4960,hey why are you out of class
jdbfW3BZi3w,5200,6720,okay don't look down looking around like
jdbfW3BZi3w,6720,7839,you don't know why i'm talking to you
jdbfW3BZi3w,7839,10000,okay where's your hall pass
jdbfW3BZi3w,10000,13200,i work here nice try what are you 14 i
jdbfW3BZi3w,13200,14480,don't know why you kids think you could
jdbfW3BZi3w,14480,16480,just do whatever you want all the time
jdbfW3BZi3w,16480,19359,i literally have a badge and whose desk
jdbfW3BZi3w,19359,21359,did you swipe that from i knew you
jdbfW3BZi3w,21359,22720,looked like trouble stealing from a
jdbfW3BZi3w,22720,24560,teacher oh hey youtube hope y'all are
jdbfW3BZi3w,24560,26480,having a nice day mr principal the
jdbfW3BZi3w,26480,27680,student's trying to convince me they're
jdbfW3BZi3w,27680,30160,a teacher can you believe
jdbfW3BZi3w,30160,32398,that's miss rogers she's worked here for
jdbfW3BZi3w,32398,33760,like two years
jdbfW3BZi3w,33760,36559,oh oh i'm so sorry i guess i haven't met
jdbfW3BZi3w,36559,39040,you yet i really hope you can forgive me
jdbfW3BZi3w,39040,41440,yeah no worries um but i would like to
jdbfW3BZi3w,41440,43120,talk about how you spoke to me when you
jdbfW3BZi3w,43120,45039,thought i was a student do you talk to
jdbfW3BZi3w,45039,48239,all the kids that way
