vid,start,end,text
k2oYiIxdo8o,250,8400,[Music]  it's all come down to this
k2oYiIxdo8o,8400,14799,that moment in your life when everything  could change  [Music]
k2oYiIxdo8o,14799,20080,for a player this is game seven in the  nba finals
k2oYiIxdo8o,20080,25119,it's the world series  it's the super bowl
k2oYiIxdo8o,25119,30480,for a grill master this is what they've  been waiting for
k2oYiIxdo8o,30480,37010,it's what they've been training for  it's what they've been  grilling for
k2oYiIxdo8o,37010,42079,[Music]  sure
k2oYiIxdo8o,42079,48239,all of these guys can master a hot piece  of meat on a flaming grill
k2oYiIxdo8o,48239,53760,but  can they take the heat  of a fierce competition they say
k2oYiIxdo8o,53760,59520,pressure will bust the pipe and in this  case it'll bust up these men too if
k2oYiIxdo8o,59520,65600,they're not careful out here today  so  let the games begin
k2oYiIxdo8o,65600,71600,the people are here  the smoke is in the air it's grill up or
k2oYiIxdo8o,71600,78240,shut up  this is the country style grill off  somebody's gonna win
k2oYiIxdo8o,78240,84320,and somebody's gotta get  let's go baby
k2oYiIxdo8o,84320,90040,[Applause]  move
k2oYiIxdo8o,92799,106379,okay  [Music]
k2oYiIxdo8o,109680,116320,can you smell the country air  country style family art finale back
k2oYiIxdo8o,116320,122000,with you again  it's on can you believe it the grill off
k2oYiIxdo8o,122000,129119,is here this is what we've been waiting  for we've got 40 count em 40 grill
k2oYiIxdo8o,129119,134640,masters from all over the country right  here in the yard they're from all over
k2oYiIxdo8o,134640,139680,and your local favorites are here as  well  let me tell you what they're doing
k2oYiIxdo8o,139680,146000,they're grilling brisket  they're grilling
k2oYiIxdo8o,146000,152080,chicken  [Music]  and of course
k2oYiIxdo8o,152080,157440,they're grilling ribs  of ribs
k2oYiIxdo8o,157440,165760,juicy ribs fiery ribs smoky ribs  oh yeah i can taste it now
k2oYiIxdo8o,165760,169080,how's that
k2oYiIxdo8o,175440,182400,all right but first let's go back  earlier in the day when these grill  masters were doing their prep work
k2oYiIxdo8o,182400,189200,getting their meats ready for the judges  is it right down in there is that what  you're doing yes sir you're moving that
k2oYiIxdo8o,189200,195360,that flavor on down into me yeah see uh  split each bowl man yeah  why sho
k2oYiIxdo8o,195360,201120,nice  it's gonna be  what you want it to be that's right  that's how they do it down there in
k2oYiIxdo8o,201120,206560,ridgeville south carolina  it's time let's go let's do it let's go
k2oYiIxdo8o,206560,213360,and start with jizzle man  all right  meantime navy boy rick the co-chair and
k2oYiIxdo8o,213360,219120,a retired leader in the u.s navy is  running a tight ship giving out the
k2oYiIxdo8o,219120,224640,judging times  boom  three four
k2oYiIxdo8o,224640,231040,two  [Music]
k2oYiIxdo8o,231040,236360,do not mess up the time this year
k2oYiIxdo8o,240940,247749,[Music]
k2oYiIxdo8o,260670,267080,[Music]  hey
k2oYiIxdo8o,276600,281670,[Music]
k2oYiIxdo8o,286470,289959,[Music]
k2oYiIxdo8o,292920,298479,[Music]  320 damn fans 320. shake it up check it
k2oYiIxdo8o,298479,304000,out what you got  bring up that time say it live
k2oYiIxdo8o,304000,310240,yeah  what time is it  3 30.  hey this here m time from memphis
k2oYiIxdo8o,310240,315440,tennessee barbecue baby hey come on  stick your hand in there baby do that  baby bro
k2oYiIxdo8o,315440,320560,do that thing dog come on damn you got  baby what time you got let me see it
k2oYiIxdo8o,320560,324960,don't be hot let me see that thing don't  be trying to hide
k2oYiIxdo8o,342910,354089,[Music]
k2oYiIxdo8o,364800,369850,all right baby get big water pick that  tower okay  there you go
k2oYiIxdo8o,369850,375560,[Music]  read the time out loud two o'clock
k2oYiIxdo8o,383560,392449,[Music]
k2oYiIxdo8o,411660,414729,[Music]
k2oYiIxdo8o,420160,425530,jacksonville florida right now please  please to be here thank you for being  here
k2oYiIxdo8o,425530,430639,[Music]  2 50 p.m
k2oYiIxdo8o,431919,437240,this is columbia corner columbia honors
k2oYiIxdo8o,443840,449759,you know i got to say kessler and i got  everything from my hood right there you  see it you're bringing it back
k2oYiIxdo8o,449759,455840,hey let's get that number get that time  baby stick your hand in there get that  time  let's start it off for the columbia road
k2oYiIxdo8o,455840,462080,what you got baby what you got we got  time out loud  240. 2 2 40.
k2oYiIxdo8o,462080,464960,kill somebody shove
k2oYiIxdo8o,467380,471399,[Music]
k2oYiIxdo8o,479480,482519,[Music]
k2oYiIxdo8o,487390,495199,[Music]  all right  [Music]
k2oYiIxdo8o,517839,521399,hey here we go
k2oYiIxdo8o,531440,537440,good luck good luck  oh he's coming up with hardware
k2oYiIxdo8o,537440,543540,oh he's got hardware which which time do  i need now  where's that
k2oYiIxdo8o,543540,564729,[Music]
k2oYiIxdo8o,567720,570798,[Music]
k2oYiIxdo8o,573350,582699,[Music]
k2oYiIxdo8o,588480,595040,don't get nervous  250 16.
k2oYiIxdo8o,595040,600320,250 lizard man be ready now lay down  which way you come babe okay all right  all right
k2oYiIxdo8o,600320,605600,over  over here who is this guy right here
k2oYiIxdo8o,605600,609360,who is this guy where is that guy
k2oYiIxdo8o,611040,616839,hey baby hey baby this is cj this is  chris jordan with cj's barbecue and more
k2oYiIxdo8o,616839,622959,llc mobile catering  my food is blessed and highly flavored  let me tell you what i got over here let
k2oYiIxdo8o,622959,630640,me tell you what i got i know ain't  nobody else got this i got 50 two and a  half pound flintstones swag flintstone
k2oYiIxdo8o,630640,638460,at that  [Music]
k2oYiIxdo8o,638959,647279,and then i'm also going to be selling  samples of some real chicken lives and  some beef soloing
k2oYiIxdo8o,656670,659740,[Applause]
k2oYiIxdo8o,665440,670959,it says  number 35 judges group b at 4 00 p.m 12
k2oYiIxdo8o,670959,674560,p.m that's the only time i won't
k2oYiIxdo8o,680480,687279,i'm convinced my food is blessed and  highly flavored baby  meantime while the cooks are doing their
k2oYiIxdo8o,687279,695040,thing  let's go meet the crowd  it's a lot of people out here
k2oYiIxdo8o,695040,698759,i found them y'all
k2oYiIxdo8o,702670,707760,[Music]  and oh by the way while we're out here
k2oYiIxdo8o,707760,713200,we're also looking for our 10th  trisolator the number 10 who's gonna win
k2oYiIxdo8o,713200,725760,a grand prize  [Music]
k2oYiIxdo8o,729990,733279,[Music]
k2oYiIxdo8o,742720,747309,in the  [Music]
k2oYiIxdo8o,749700,756650,[Music]  oh
k2oYiIxdo8o,756650,759740,[Music]
k2oYiIxdo8o,762100,765149,[Music]
k2oYiIxdo8o,767420,774000,[Music]  hey cheers to see you again want mom
k2oYiIxdo8o,774000,781769,back from my open from ohio  [Music]
k2oYiIxdo8o,786480,794020,how are you doing  good to see you too  okay here we go right here
k2oYiIxdo8o,794020,809360,[Music]
k2oYiIxdo8o,809360,831850,texas  [Music]
k2oYiIxdo8o,836880,843000,what did you want to ask me did you get  your ten yet what changed
k2oYiIxdo8o,844450,854399,[Music]
k2oYiIxdo8o,854399,857639,what's up
k2oYiIxdo8o,859990,865040,[Music]  i know but in bristol it's not this hot
k2oYiIxdo8o,865040,872800,man but we had to come my uncle passed  and he wanted to come so we came for him  nice yeah what's his name james tommy
k2oYiIxdo8o,872800,879360,james tommy  okay  rest in peace we love you yeah
k2oYiIxdo8o,879360,885240,yes  yes man i'm glad y'all here
k2oYiIxdo8o,890670,898580,[Music]  congratulations  [Applause]
k2oYiIxdo8o,907840,913320,[Music]  yes
k2oYiIxdo8o,922320,927580,all right  [Music]
k2oYiIxdo8o,929570,932709,[Applause]
k2oYiIxdo8o,942910,951349,[Music]
k2oYiIxdo8o,952800,959600,y'all beautiful all the way from  california california man in the house  all day every day man get a picture of
k2oYiIxdo8o,959600,965440,pretty brown eyes on you feel me  what's going on
k2oYiIxdo8o,965440,971839,mississippi  jackson mississippi jackson mississippi
k2oYiIxdo8o,971839,977240,jackson  mississippi guys
k2oYiIxdo8o,987600,996440,you and all your brothers and all the  wonderful cooks and the food is amazing  what is that chicken
k2oYiIxdo8o,1000330,1005880,[Music]  philly
k2oYiIxdo8o,1014010,1017870,[Music]
k2oYiIxdo8o,1021759,1029199,my people from arkansas mississippi we  country  who's in the house buffalo new york in  the house
k2oYiIxdo8o,1031520,1038439,and  that's it you got it no one love respect  all right
k2oYiIxdo8o,1042060,1051159,[Music]  you know how are you doing
k2oYiIxdo8o,1056600,1059710,[Applause]
k2oYiIxdo8o,1064960,1069799,a good try yes it is number five
k2oYiIxdo8o,1089120,1095280,these young men right here yeah they  introduced me to doing this so they they  turned you on the country all the way
k2oYiIxdo8o,1095280,1100960,around the country oh my goodness well  these are my guys right here what's up  fellas right there what's up what's up
k2oYiIxdo8o,1100960,1107919,drizzle yeah  drizzle drizzy  but wait but but but
k2oYiIxdo8o,1116270,1122160,[Music]  tell me this ain't the sharpest couple
k2oYiIxdo8o,1122160,1127520,out there come on my brother come on my  father ain't nothing  doing their thing
k2oYiIxdo8o,1127520,1135440,all right what's going on  tennessee  oh my goodness welcome welcome welcome
k2oYiIxdo8o,1135440,1142080,how do you like being down here in the  country i love it we from the sticks oh  man we're young country too
k2oYiIxdo8o,1142080,1149160,yes sir oh man i love you  back home
k2oYiIxdo8o,1150390,1154289,[Music]
k2oYiIxdo8o,1158240,1165559,[Music]  wow
k2oYiIxdo8o,1169120,1174320,he watches you from sun up to sunset  and i i had to bring him here this is
k2oYiIxdo8o,1174320,1180240,father's day gift i want to thank you  for all that you do thank you so much
k2oYiIxdo8o,1180240,1184799,he's really one of your biggest stars
k2oYiIxdo8o,1186400,1191600,together  yes
k2oYiIxdo8o,1192780,1197519,[Music]
k2oYiIxdo8o,1203840,1210000,wait  do i see barbecue sauce all over your  lips all over your chin
k2oYiIxdo8o,1210000,1215840,you got you just been having some good  stuff yeah oh my goodness you too
k2oYiIxdo8o,1215840,1221679,where y'all from i'm from pennsylvania  i'm from atlanta  nice
k2oYiIxdo8o,1221679,1226880,welcome to south carolina little fella  wait a minute give me something right  here
k2oYiIxdo8o,1226880,1233280,right there  right there country style the other  fours oh it looks good
k2oYiIxdo8o,1233280,1240159,what's your name kevin glover sir oh and  you're from where central south carolina  south carolina we're so glad of you that
k2oYiIxdo8o,1240159,1246320,you're here and we're proud of you  thanks for coming okay  bye  [Music]
k2oYiIxdo8o,1246320,1249799,what who y'all
k2oYiIxdo8o,1256750,1264000,[Music]  try okay good try i'm not number 10. no
