vid,start,end,text
k6mLuyL-XbY,0,3030,Bom dia
k6mLuyL-XbY,5350,8490,[Música]
k6mLuyL-XbY,10380,11240,o
k6mLuyL-XbY,11240,16559,campeonato vai fazendo a casca e
k6mLuyL-XbY,18380,20360,E aí
k6mLuyL-XbY,20360,22380,E aí
k6mLuyL-XbY,22380,24140,e
k6mLuyL-XbY,24140,49590,[Música]
k6mLuyL-XbY,54470,57720,agora eu peguei esse objeto ficar pronto
k6mLuyL-XbY,57720,59100,vamos ver se eu quero quanto pesa
k6mLuyL-XbY,59100,62339,Rodrigues desfilada isso me dizer que tu
k6mLuyL-XbY,62339,65309,não toma toma você pode vir embora que
k6mLuyL-XbY,65309,67619,eu praticamente troquei de aparelho e do
k6mLuyL-XbY,67619,71250,levou o único jeito dele de Orgulho e eu
k6mLuyL-XbY,71250,73350,tenho levar pela tinta que eu também não
k6mLuyL-XbY,73350,75390,aguento mais você tem umas eu começo de
k6mLuyL-XbY,75390,78630,crescimento tem muita peça para Facebook
k6mLuyL-XbY,78630,81720,orar esse remédio ele se foi quando uma
k6mLuyL-XbY,81720,84270,home é
k6mLuyL-XbY,84270,86770,como se fosse feito um pouquinho
k6mLuyL-XbY,86770,89290,sensível me aproximei numa peça entra
k6mLuyL-XbY,89290,91690,não vem agora não tá Tchau pessoal bem
k6mLuyL-XbY,91690,94360,de Braga pega para ir para a cama que
k6mLuyL-XbY,94360,97620,seja na caminhada
k6mLuyL-XbY,97980,111060,[Música]
k6mLuyL-XbY,111060,114750,curta instrumento de fuga ao
k6mLuyL-XbY,114750,117430,lá vamos usar por todas as marcas
k6mLuyL-XbY,117430,118740,precisam
k6mLuyL-XbY,118740,121660,aprender a
k6mLuyL-XbY,121660,138210,[Música]
k6mLuyL-XbY,142370,142989,o
k6mLuyL-XbY,142989,145640,mercado Climatempo que tem que ter algum
k6mLuyL-XbY,145640,148879,motivo para ele 30 40 o campeonato da
k6mLuyL-XbY,148879,150890,Igreja Plenitude todos nós estamos
k6mLuyL-XbY,150890,154060,caminhando banco
k6mLuyL-XbY,158950,162950,animal é
k6mLuyL-XbY,167610,187099,[Música]
k6mLuyL-XbY,189500,200100,[Música]
k6mLuyL-XbY,202380,204410,Oi
k6mLuyL-XbY,206750,209840,Sergio bom
