vid,start,end,text
k8RkyaSHFLM,47,1200,- You might not like it
k8RkyaSHFLM,1200,4040,but this is what peak performance looks like
k8RkyaSHFLM,4040,6859,"And it is chonky, yeah."
k8RkyaSHFLM,6860,9225,Kind of reminds me of a stubby G4 Cube.
k8RkyaSHFLM,9225,11910,The Mac studio and matching studio display
k8RkyaSHFLM,11910,14050,are the two latest announcements out of Apple
k8RkyaSHFLM,14050,15235,and of everything they announced today
k8RkyaSHFLM,15235,18699,they're easily the most exciting
k8RkyaSHFLM,18700,20660,both powered by Apple Silicon
k8RkyaSHFLM,20660,23300,they're set to usher in a new era performance
k8RkyaSHFLM,23300,25509,for apple enthusiasts
k8RkyaSHFLM,25510,27170,but the way Apple's gone about this
k8RkyaSHFLM,27170,30130,makes things so much more complicated
k8RkyaSHFLM,30130,32040,unlike our sponsor Ridge wallet.
k8RkyaSHFLM,32040,34390,Thanks to Ridge wallet for sponsoring today's video.
k8RkyaSHFLM,34390,36260,Ridge wallet holds up to 12 cards
k8RkyaSHFLM,36260,38219,comes with a cash strap or a money clip
k8RkyaSHFLM,38220,40520,and is available in tons of different colors
k8RkyaSHFLM,40520,42160,celebrate Ridge's ninth anniversary
k8RkyaSHFLM,42160,43270,and use offer code Linus
k8RkyaSHFLM,43270,45768,for 15% off site wide until March 18th
k8RkyaSHFLM,45768,47194,at the link below.
k8RkyaSHFLM,47194,50611,(playful cheerful music)
k8RkyaSHFLM,57210,59629,The new max studio is in every way
k8RkyaSHFLM,59630,62290,what we all feared the Mac pro would become
k8RkyaSHFLM,62290,65040,when apple started the transition to Apple Silicon
k8RkyaSHFLM,65040,66980,an entirely unexpandable design
k8RkyaSHFLM,66980,69630,with fully solder components in a Mac mini enclosure
k8RkyaSHFLM,69630,71939,that decided to make a little taller than usual
k8RkyaSHFLM,71940,75040,cooled by two beefy fans that pull air up
k8RkyaSHFLM,75040,76220,through the bottom of the chassis
k8RkyaSHFLM,76220,77610,and out to the rear grill
k8RkyaSHFLM,77610,79670,something Apple says is nearly silent
k8RkyaSHFLM,79670,82479,there's actually a lot going for this design.
k8RkyaSHFLM,82480,85810,For starters you get 10 gigabit ethernet as standard.
k8RkyaSHFLM,85810,87448,Thank you Apple.
k8RkyaSHFLM,87448,90210,Now the rest of the rear IO is rearranged
k8RkyaSHFLM,90210,92450,but looks basically the same as the Intel Mac mini
k8RkyaSHFLM,92450,95200,with a high impedance pro audio output
k8RkyaSHFLM,95200,96689,that I suspect is the same
k8RkyaSHFLM,96690,98150,as on the new MacBook pros
k8RkyaSHFLM,98150,99610,turn it around however
k8RkyaSHFLM,99610,101730,and you'll see that Apple has finally
k8RkyaSHFLM,101730,105040,acquiesced added front facing connectors
k8RkyaSHFLM,105040,107070,two USB type C 10 gigabit ports
k8RkyaSHFLM,107070,109180,and an SDX C reader
k8RkyaSHFLM,109180,111730,while support from a brand new SD express format
k8RkyaSHFLM,111730,112830,would've been nice to see
k8RkyaSHFLM,112830,115020,as a future proofing measure
k8RkyaSHFLM,115020,118188,what we're getting tracks with the larger MacBook pros.
k8RkyaSHFLM,118189,121410,If you pick up an M1 ultra equipped max studio
k8RkyaSHFLM,121410,122420,those types C ports
k8RkyaSHFLM,122420,125220,up front turn into Thunderbolt ports
k8RkyaSHFLM,125220,126053,wait
k8RkyaSHFLM,127114,129246,M1 ultra
k8RkyaSHFLM,129246,132120,Yeah turns out Apple's been holding out on us
k8RkyaSHFLM,132120,135190,and their M1 max chips had an unused interconnect
k8RkyaSHFLM,135190,136370,called ultra fusion
k8RkyaSHFLM,136370,138099,that allows for a chip style connection
k8RkyaSHFLM,138100,141708,between two M1 maxes to make up an M1 ultra
k8RkyaSHFLM,141708,143969,the effective result is a single SOC
k8RkyaSHFLM,143970,145212,as far as software is concerned
k8RkyaSHFLM,145212,149280,and gives a metric bug load of CPU and GPU cores
k8RkyaSHFLM,149280,151920,double the already very impressive media engine
