vid,start,end,text
kJ6rmY2ImqU,3919,5600,well i want like it just is there like a
kJ6rmY2ImqU,5600,8559,juicy question i want like a saucy juicy
kJ6rmY2ImqU,8559,12160,question i want sexier pride questions
kJ6rmY2ImqU,12160,14920,should we ask people right now
kJ6rmY2ImqU,14920,17920,yeah where's my phone come on in welcome
kJ6rmY2ImqU,17920,19920,welcome hi everybody we're doing an
kJ6rmY2ImqU,19920,21279,episode of the youtube today that's
kJ6rmY2ImqU,21279,22800,called queer school and it's going to be
kJ6rmY2ImqU,22800,25039,all about like queer gorgeous questions
kJ6rmY2ImqU,25039,27359,but can you guys please submit to me
kJ6rmY2ImqU,27359,29760,questions right now about like some sexy
kJ6rmY2ImqU,29760,31359,queer school questions just something
kJ6rmY2ImqU,31359,34559,like drama i want drama i want juicy
kJ6rmY2ImqU,34559,37440,queer school stuff okay thank you very
kJ6rmY2ImqU,37440,39200,much this is i've never had so much fun
kJ6rmY2ImqU,39200,40399,in the light before
kJ6rmY2ImqU,40399,42239,love you bye bye we've just got off the
kJ6rmY2ImqU,42239,44480,instagram live we're ready for our new
kJ6rmY2ImqU,44480,48878,revamp to sexier queer questions
kJ6rmY2ImqU,50320,52480,they they're having a hard time getting
kJ6rmY2ImqU,52480,54800,kinky and experimenting and like getting
kJ6rmY2ImqU,54800,55920,sexy
kJ6rmY2ImqU,55920,57760,they want to do it but they're just kind
kJ6rmY2ImqU,57760,61519,of having a hard time getting into it
kJ6rmY2ImqU,62719,64000,yes
kJ6rmY2ImqU,64000,67439,or like what sexy movies
kJ6rmY2ImqU,67439,69680,should you watch oh the part in
kJ6rmY2ImqU,69680,73280,zoolander when all of the guys like
kJ6rmY2ImqU,73280,74880,seeing wake me up before you go go and
kJ6rmY2ImqU,74880,76320,have the gasoline fight right before
kJ6rmY2ImqU,76320,78159,they blow up they were all so cute
kJ6rmY2ImqU,78159,79360,jordan first time posted that the other
kJ6rmY2ImqU,79360,80320,day and said that that was a sexual
kJ6rmY2ImqU,80320,81600,awakening and i was like oh my god me
kJ6rmY2ImqU,81600,82479,too
kJ6rmY2ImqU,82479,84240,the beginning of top gun
kJ6rmY2ImqU,84240,85759,when they're playing volleyball it's
kJ6rmY2ImqU,85759,87759,kind of old school
kJ6rmY2ImqU,87759,91040,benjamin bratt and miss congeniality
kJ6rmY2ImqU,91040,92880,he really does it for me too
kJ6rmY2ImqU,92880,95040,he makes me feel kinky benjamin well how
kJ6rmY2ImqU,95040,97119,kinky is kinky
kJ6rmY2ImqU,97119,99360,i think they should start trying things
kJ6rmY2ImqU,99360,100560,outdoors
kJ6rmY2ImqU,100560,102640,in public oh really
kJ6rmY2ImqU,102640,104880,that feels
kJ6rmY2ImqU,104880,106399,unnecessary like what if someone's just
kJ6rmY2ImqU,106399,107439,like trying to find their own business
kJ6rmY2ImqU,107439,109520,and then you're over there
kJ6rmY2ImqU,109520,111119,and someone in public and you're like
kJ6rmY2ImqU,111119,112720,can you not like i'm just trying to have
kJ6rmY2ImqU,112720,114399,brunch and you're like over your f in
kJ6rmY2ImqU,114399,115520,public you
kJ6rmY2ImqU,115520,116719,nightmare
kJ6rmY2ImqU,116719,117840,i'm just trying to hike and you're over
kJ6rmY2ImqU,117840,118799,here
kJ6rmY2ImqU,118799,120560,and also you know i also say where is
