vid,start,end,text
kO5FURUKTi4,80,1987,- [Shopper] They are so cute
kO5FURUKTi4,1987,3873,"and they even smell like the cereal, y'all."
kO5FURUKTi4,3873,5730,"- [Narrator] , Crocs the colorful shoe"
kO5FURUKTi4,5730,8490,"that first became popular in the early 2000s,"
kO5FURUKTi4,8490,10760,hit its peak in 2021.
kO5FURUKTi4,10760,13240,The company reported a record annual revenue
kO5FURUKTi4,13240,16340,"of $2.3 billion in 2021,"
kO5FURUKTi4,16340,19220,up over 60% from the previous year.
kO5FURUKTi4,19220,21880,And its stock reached record highs.
kO5FURUKTi4,21880,24150,- The past few years for Crocs has been this moment
kO5FURUKTi4,24150,27830,"of heavy collaboration, constant releases."
kO5FURUKTi4,27830,29880,They're really trying to put themselves
kO5FURUKTi4,29880,30939,in front of people
kO5FURUKTi4,30940,33384,that might not have considered Crocs prior.
kO5FURUKTi4,33384,34829,(upbeat music)
kO5FURUKTi4,34830,36610,- [Narrator] The company's success coincided
kO5FURUKTi4,36610,37620,"with the pandemic,"
kO5FURUKTi4,37620,40770,"leading some to credit the shoes' popularity to timing,"
kO5FURUKTi4,40770,43100,especially as its stock price has been dropping
kO5FURUKTi4,43100,45300,since the pandemic boom has waned.
kO5FURUKTi4,45300,47230,But other comfortable footwear brands
kO5FURUKTi4,47230,49430,didn't take off the way Crocs did.
kO5FURUKTi4,49430,50930,So how did Crocs make a name
kO5FURUKTi4,50930,52470,for itself during the pandemic?
kO5FURUKTi4,52470,54520,And how did it find success as one
kO5FURUKTi4,54520,57120,of fashion's most divisive shoes?
kO5FURUKTi4,57120,59593,This is The Economics of Crocs.
kO5FURUKTi4,60550,62940,"The company was founded in 2002,"
kO5FURUKTi4,62940,65729,the same year it debuted its classic clog.
kO5FURUKTi4,65730,67340,The name Crocs was inspired
kO5FURUKTi4,67340,71079,by crocodiles who live on land and in water.
kO5FURUKTi4,71080,72050,"- When Crocs were first released,"
kO5FURUKTi4,72050,74070,they were intended for a consumer
kO5FURUKTi4,74070,75810,"that was looking at them as a functional thing,"
kO5FURUKTi4,75810,78960,"so probably gardeners, people that were on boats,"
kO5FURUKTi4,78960,80960,"people that worked all day on their feet,"
kO5FURUKTi4,80960,82930,people that worked on a line at a kitchen.
kO5FURUKTi4,82930,84570,- [Narrator] Part of what makes them so functional
kO5FURUKTi4,84570,85490,"is the material,"
kO5FURUKTi4,85490,88640,a proprietary closed-cell resin called Croslite
kO5FURUKTi4,88640,89970,"that's slip resistant,"
kO5FURUKTi4,89970,92340,lightweight and easy to clean.
kO5FURUKTi4,92340,93399,- Producing a molded shoe
kO5FURUKTi4,93400,95500,is certainly simpler in a lot of ways
kO5FURUKTi4,95500,97050,than assembling a sneaker.
kO5FURUKTi4,97050,99270,The most underrated advantage they have
