vid,start,end,text
kcJUwtyAgBU,240,2800,baby bust
kcJUwtyAgBU,2800,5920,click here to subscribe
kcJUwtyAgBU,5920,8160,wow
kcJUwtyAgBU,10320,12880,everyone sit tight
kcJUwtyAgBU,12880,17240,oh hey mr whale shark
kcJUwtyAgBU,21770,24840,[Music]
kcJUwtyAgBU,27039,30880,daddy this is so much fun
kcJUwtyAgBU,30880,33360,we'll be arriving at the underwater park
kcJUwtyAgBU,33360,37840,soon please get ready to get off
kcJUwtyAgBU,38559,41600,underwater park
kcJUwtyAgBU,42399,45600,i'm the fastest one in the sea
kcJUwtyAgBU,45600,47520,move move move
kcJUwtyAgBU,47520,50239,oh okay
kcJUwtyAgBU,52000,54719,i'll go first
kcJUwtyAgBU,54719,58039,be careful
kcJUwtyAgBU,58399,61399,oh
kcJUwtyAgBU,70300,75069,[Music]
kcJUwtyAgBU,78640,81040,wow good job rudolph
kcJUwtyAgBU,81040,82000,yay
kcJUwtyAgBU,82000,84720,nobody can beat me in the water good job
kcJUwtyAgBU,84720,86320,rudolph
kcJUwtyAgBU,86320,87320,oh
kcJUwtyAgBU,87320,89520,[Music]
kcJUwtyAgBU,89520,90720,emergency
kcJUwtyAgBU,90720,95629,[Music]
kcJUwtyAgBU,98120,101309,[Music]
kcJUwtyAgBU,104079,106880,whale shark the largest fish in the
kcJUwtyAgBU,106880,107920,ocean
kcJUwtyAgBU,107920,111040,works as the undersea tour bus
kcJUwtyAgBU,111040,114399,but he had a traffic accident and got
kcJUwtyAgBU,114399,117759,seriously injured
kcJUwtyAgBU,117840,121360,he needs your help we're on it super
kcJUwtyAgBU,121360,125560,rescue team let's go
kcJUwtyAgBU,128289,131559,[Music]
kcJUwtyAgBU,133950,138720,[Music]
kcJUwtyAgBU,138720,141720,cool
kcJUwtyAgBU,146830,150049,[Music]
kcJUwtyAgBU,152080,155229,[Music]
kcJUwtyAgBU,164480,167480,uh
kcJUwtyAgBU,170890,174030,[Music]
kcJUwtyAgBU,179030,181200,[Music]
kcJUwtyAgBU,181200,185200,super rescue team
kcJUwtyAgBU,185200,187840,mr whale shark can't breathe please help
kcJUwtyAgBU,187840,188959,him
kcJUwtyAgBU,188959,192239,don't worry leave it to us
kcJUwtyAgBU,192239,195700,start analyzing
kcJUwtyAgBU,195700,206668,[Music]
kcJUwtyAgBU,208879,211680,here is the result mr whale shark hurt
kcJUwtyAgBU,211680,214720,his tail so he can't swim but he has to
kcJUwtyAgBU,214720,216720,keep swimming to make water go through
kcJUwtyAgBU,216720,219040,his skills to get oxygen
kcJUwtyAgBU,219040,220000,ah
kcJUwtyAgBU,220000,222560,that's why he can't breathe
kcJUwtyAgBU,222560,224480,mr whale shark hang in there just a
kcJUwtyAgBU,224480,227680,little longer
kcJUwtyAgBU,227680,231480,propellers start
kcJUwtyAgBU,238870,241599,[Music]
kcJUwtyAgBU,241599,244959,super recovery machine
kcJUwtyAgBU,246930,252319,[Music]
kcJUwtyAgBU,252319,254690,it's all done
kcJUwtyAgBU,254690,257750,[Music]
kcJUwtyAgBU,259840,263120,i feel much better
kcJUwtyAgBU,263120,264880,great
kcJUwtyAgBU,264880,267680,thank you super rescue team
kcJUwtyAgBU,267680,269280,no problem
kcJUwtyAgBU,269280,272320,i'm all right now so please enjoy the
kcJUwtyAgBU,272320,274320,underwater park
kcJUwtyAgBU,274320,276639,okay
kcJUwtyAgBU,277280,281360,wow it's so beautiful here
kcJUwtyAgBU,281360,284240,look over there it's a really big pearl
kcJUwtyAgBU,284240,286560,whoa
kcJUwtyAgBU,289840,290800,huh
kcJUwtyAgBU,290800,294639,what's that sound over there oh
kcJUwtyAgBU,294639,296880,oh no
kcJUwtyAgBU,296880,298040,watch out
kcJUwtyAgBU,298040,301410,[Music]
kcJUwtyAgBU,301520,306918,it's collapsing help get out of here
kcJUwtyAgBU,311360,314320,daddy i'm scared
kcJUwtyAgBU,314320,316160,be careful everyone call the
kcJUwtyAgBU,316160,318400,headquarters
kcJUwtyAgBU,318400,320800,kaka we have a new problem we need
kcJUwtyAgBU,320800,322880,rudolph's help right now
kcJUwtyAgBU,322880,324960,copy that
kcJUwtyAgBU,324960,328000,rudolph kiki needs your help
kcJUwtyAgBU,328000,331600,please move out right now
kcJUwtyAgBU,331600,334080,got it rudolph is up to any challenge
kcJUwtyAgBU,334080,337170,from the sea
kcJUwtyAgBU,337170,346130,[Music]
kcJUwtyAgBU,362639,365199,marine bus is here
kcJUwtyAgBU,365199,367919,rudolph people are stuck in the tunnel
kcJUwtyAgBU,367919,370160,we need to save them
kcJUwtyAgBU,370160,373280,let me scan first
kcJUwtyAgBU,376160,378400,rudolph here's the safest spot for the
kcJUwtyAgBU,378400,380400,operation
kcJUwtyAgBU,380400,384600,okay no problem
kcJUwtyAgBU,394800,395910,almost done
kcJUwtyAgBU,395910,399009,[Music]
kcJUwtyAgBU,399840,402160,what's happening outside
kcJUwtyAgBU,402160,403090,huh
kcJUwtyAgBU,403090,405440,[Music]
kcJUwtyAgBU,405440,409199,oh someone's here to save us oh great
kcJUwtyAgBU,409199,412479,i'm gonna get out first
kcJUwtyAgBU,414160,418000,come back it's not safe there yet
kcJUwtyAgBU,418880,420880,hey hurry up
kcJUwtyAgBU,420880,424000,don't move it's dangerous hey i'm
kcJUwtyAgBU,424000,426240,getting out of here
kcJUwtyAgBU,426240,428560,oh no the rocks are starting to collapse
kcJUwtyAgBU,428560,429520,again
kcJUwtyAgBU,429520,432240,what's wrong
kcJUwtyAgBU,434639,436880,i'm
kcJUwtyAgBU,447759,448960,oh no
kcJUwtyAgBU,448960,451840,it's getting worse
kcJUwtyAgBU,453280,456000,what should i do
kcJUwtyAgBU,457199,459759,the water is getting murky geeky
kcJUwtyAgBU,459759,461680,i can't see anything think about what we
kcJUwtyAgBU,461680,464919,can do
kcJUwtyAgBU,467440,468860,let me try
kcJUwtyAgBU,468860,470240,[Music]
kcJUwtyAgBU,470240,473440,mr whale shark
kcJUwtyAgBU,474960,477790,wow
kcJUwtyAgBU,477790,481259,[Music]
kcJUwtyAgBU,488720,493319,wow mr whale shark is amazing
kcJUwtyAgBU,495520,498720,[Music]
kcJUwtyAgBU,499039,503280,great now i can see clearly
kcJUwtyAgBU,504160,508639,and it's my turn watch me
kcJUwtyAgBU,509980,513379,[Music]
kcJUwtyAgBU,517839,520640,huh someone's there
kcJUwtyAgBU,520640,522240,yeah
kcJUwtyAgBU,522240,526240,you're safe now come out everyone
kcJUwtyAgBU,526240,531160,it's the super rescue team yay
kcJUwtyAgBU,534060,537190,[Music]
kcJUwtyAgBU,539519,541790,mr whale shark here was a great help
kcJUwtyAgBU,541790,542959,[Music]
kcJUwtyAgBU,542959,545450,i'm so happy that everyone's safe
kcJUwtyAgBU,545450,547360,[Music]
