vid,start,end,text
lMHqRSfM2TE,1839,3439,hi everyone welcome back to my channel
lMHqRSfM2TE,3439,5839,this has been imam in south korea it's
lMHqRSfM2TE,5839,8639,my birthday today
lMHqRSfM2TE,8639,12080,so it's a happy day for me
lMHqRSfM2TE,14240,18400,birthday greetings and well wishes
lMHqRSfM2TE,18960,21279,thank you so much tonight
lMHqRSfM2TE,21279,26400,franco and of course uh relatives
lMHqRSfM2TE,35200,38239,anyway i just decided to have a simple
lMHqRSfM2TE,38239,41760,celebration today with my korean family
lMHqRSfM2TE,41760,43950,so habika milan
lMHqRSfM2TE,43950,46999,[Music]
lMHqRSfM2TE,49320,50830,[Music]
lMHqRSfM2TE,50830,53880,[Applause]
lMHqRSfM2TE,76430,79579,[Music]
lMHqRSfM2TE,85119,88240,farm to celebrate with my korean in-laws
lMHqRSfM2TE,88240,91438,see mr sheen
lMHqRSfM2TE,95280,98840,surprise palace
lMHqRSfM2TE,113030,116090,[Music]
lMHqRSfM2TE,119680,122240,like birthdays or anniversaries so i
lMHqRSfM2TE,122240,124799,gave him time i'm sure
lMHqRSfM2TE,124799,128360,babati indiana
lMHqRSfM2TE,150360,155760,anniversaries or any special occasions
lMHqRSfM2TE,156280,159969,[Music]
lMHqRSfM2TE,168959,170959,i think if you feel bad or if you feel
lMHqRSfM2TE,170959,173599,disappointed
lMHqRSfM2TE,177200,181040,anyway mr sheen is already home pupunta
lMHqRSfM2TE,181040,185120,para melenang juice and
lMHqRSfM2TE,207200,208450,oh
lMHqRSfM2TE,208450,213400,[Music]
lMHqRSfM2TE,218340,220560,[Music]
lMHqRSfM2TE,220560,226200,we're gonna buy cake at twosome place
lMHqRSfM2TE,231840,234909,[Music]
lMHqRSfM2TE,247500,253159,[Music]
lMHqRSfM2TE,255170,264479,[Music]
lMHqRSfM2TE,264479,266120,nothing
lMHqRSfM2TE,266120,269189,[Music]
lMHqRSfM2TE,272240,273680,i have another
lMHqRSfM2TE,273680,275759,bouquet of flowers
lMHqRSfM2TE,275759,279280,from a good friend of mine
lMHqRSfM2TE,279840,282080,happy birthday my dear friend wishing
lMHqRSfM2TE,282080,284800,you more happiness and blessed life
lMHqRSfM2TE,284800,286720,frank
lMHqRSfM2TE,286720,288160,thank you wow
lMHqRSfM2TE,288160,290560,every year the bahamae flowers from you
lMHqRSfM2TE,290560,293120,last year merunden thank you
lMHqRSfM2TE,293120,296479,you are the sweetest
lMHqRSfM2TE,303950,308160,[Music]
lMHqRSfM2TE,308160,311840,thank you thank you thank you so much
lMHqRSfM2TE,312080,313600,i love it
